Batch	m_SP	2	W1	Pr2	
7.652397000000e+34	7.966126000000e-01	1.000000000000e-01	7.652397000000e+34	1.016937000000e-01	1.000000000000e-01
1.170896000000e+35	7.124411000000e-01	1.000000000000e-01	1.170896000000e+35	1.437794000000e-01	1.000000000000e-01
1.650382000000e+35	6.283172000000e-01	1.000000000000e-01	1.650382000000e+35	1.858414000000e-01	1.000000000000e-01
2.276631000000e+35	5.378357000000e-01	1.000000000000e-01	2.276631000000e+35	2.310821000000e-01	1.000000000000e-01
2.902879000000e+35	4.640978000000e-01	1.000000000000e-01	2.902879000000e+35	2.679511000000e-01	1.000000000000e-01
3.529127000000e+35	4.031195000000e-01	1.000000000000e-01	3.529127000000e+35	2.984402000000e-01	1.000000000000e-01
4.258156000000e+35	3.445026000000e-01	1.000000000000e-01	4.258156000000e+35	3.277487000000e-01	1.000000000000e-01
5.012880000000e+35	2.946645000000e-01	1.000000000000e-01	5.012880000000e+35	3.526677000000e-01	1.000000000000e-01
5.767604000000e+35	2.533952000000e-01	1.000000000000e-01	5.767604000000e+35	3.733024000000e-01	1.000000000000e-01
6.522328000000e+35	2.188830000000e-01	1.000000000000e-01	6.522328000000e+35	3.905585000000e-01	1.000000000000e-01
7.277052000000e+35	1.897831000000e-01	1.000000000000e-01	7.277052000000e+35	4.051084000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314788000000e+35	1.884508000000e-01	1.000000000000e-01	7.314788000000e+35	4.057746000000e-01	1.000000000000e-01
7.314789000000e+35	1.884508000000e-01	1.000000000000e-01	7.314789000000e+35	4.057746000000e-01	1.000000000000e-01
7.314789000000e+35	1.884508000000e-01	1.000000000000e-01	7.314789000000e+35	4.057746000000e-01	1.000000000000e-01
7.314789000000e+35	1.884508000000e-01	1.000000000000e-01	7.314789000000e+35	4.057746000000e-01	1.000000000000e-01
7.314790000000e+35	1.884507000000e-01	1.000000000000e-01	7.314790000000e+35	4.057746000000e-01	1.000000000000e-01
