Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
0.0009892965	0.9888781	0.1	0.0009892965	1.219386e-05	0.1	0.0009892965	0.002738437	0.1	0.0009892965	0.002810207	0.1	0.0009892965	6.217423e-06	0.1
0.001834712	0.9795291	0.1	0.001834712	1.207934e-05	0.1	0.001834712	0.005048362	0.1	0.001834712	0.005174891	0.1	0.001834712	6.173406e-06	0.1
0.00331419	0.9634839	0.1	0.00331419	1.188386e-05	0.1	0.00331419	0.00901253	0.1	0.00331419	0.00923346	0.1	0.00331419	6.097782e-06	0.1
0.005850437	0.9368789	0.1	0.005850437	1.156279e-05	0.1	0.005850437	0.01558458	0.1	0.005850437	0.01596421	0.1	0.005850437	5.972157e-06	0.1
0.01007752	0.8949159	0.1	0.01007752	1.106447e-05	0.1	0.01007752	0.02594531	0.1	0.01007752	0.02658545	0.1	0.01007752	5.773388e-06	0.1
0.01853167	0.8189863	0.1	0.01853167	1.01899e-05	0.1	0.01853167	0.04466081	0.1	0.01853167	0.04583552	0.1	0.01853167	5.411536e-06	0.1
0.02769955	0.7470073	0.1	0.02769955	9.396178e-06	0.1	0.02769955	0.06233156	0.1	0.02769955	0.06415504	0.1	0.02769955	5.065436e-06	0.1
0.03793801	0.6772195	0.1	0.03793801	8.662981e-06	0.1	0.03793801	0.0793464	0.1	0.03793801	0.08203477	0.1	0.03793801	4.72638e-06	0.1
0.05080837	0.6024681	0.1	0.05080837	7.921113e-06	0.1	0.05080837	0.09735526	0.1	0.05080837	0.1014024	0.1	0.05080837	4.358464e-06	0.1
0.06367874	0.539417	0.1	0.06367874	7.332831e-06	0.1	0.06367874	0.1122665	0.1	0.06367874	0.1180173	0.1	0.06367874	4.043347e-06	0.1
0.07654911	0.4858056	0.1	0.07654911	6.860533e-06	0.1	0.07654911	0.1246363	0.1	0.07654911	0.1324537	0.1	0.07654911	3.771074e-06	0.1
0.08941947	0.4398995	0.1	0.08941947	6.476209e-06	0.1	0.08941947	0.1348988	0.1	0.08941947	0.1451446	0.1	0.08941947	3.534016e-06	0.1
