Batch	m_SP	4	N7a_L	T1a_L	T4a_L	N1a_L					
2.724425e-11	9.743788420333998e-06	0.1	2.724425e-11	3.6931243500000006e-11	0.1	2.724425e-11	2.5296040300000004e-07	0.1	2.724425e-11	4.9223726e-16	0.1
5.774246e-11	9.465204892116e-06	0.1	5.774246e-11	7.7238653e-11	0.1	5.774246e-11	5.2821615e-07	0.1	5.774246e-11	2.15743236e-15	0.1
1.302424e-10	8.835426687932e-06	0.1	1.302424e-10	1.68858632e-10	0.1	1.302424e-10	1.1504459300000002e-06	0.1	1.302424e-10	1.0357156e-14	0.1
2.409881e-10	7.955468087456e-06	0.1	2.409881e-10	2.98193342e-10	0.1	2.409881e-10	2.0197880000000002e-06	0.1	2.409881e-10	3.24872969e-14	0.1
3.802234e-10	6.975315790893999e-06	0.1	3.802234e-10	4.4445614400000003e-10	0.1	3.802234e-10	2.9880006e-06	0.1	3.802234e-10	7.2588635e-14	0.1
5.478511e-10	5.957404549526e-06	0.1	5.478511e-10	5.9953017e-10	0.1	5.478511e-10	3.9933521e-06	0.1	5.478511e-10	1.32704741e-13	0.1
7.29292e-10	5.0253271714463995e-06	0.1	7.29292e-10	7.4537545e-10	0.1	7.29292e-10	4.9137421e-06	0.1	7.29292e-10	2.05660031e-13	0.1
9.659861e-10	4.0282814827589995e-06	0.1	9.659861e-10	9.072631799999999e-10	0.1	9.659861e-10	5.898011e-06	0.1	9.659861e-10	3.04642169e-13	0.1
1.20268e-09	3.2315909068892e-06	0.1	1.20268e-09	1.04321796e-09	0.1	1.20268e-09	6.684195199999999e-06	0.1	1.20268e-09	4.0123812300000006e-13	0.1
1.439374e-09	2.5942278544052e-06	0.1	1.439374e-09	1.1586095400000002e-09	0.1	1.439374e-09	7.312860600000001e-06	0.1	1.439374e-09	4.91393971e-13	0.1
1.676069e-09	2.0838331625032003e-06	0.1	1.676069e-09	1.2576862800000002e-09	0.1	1.676069e-09	7.816007e-06	0.1	1.676069e-09	5.7324134e-13	0.1
1.912763e-09	1.6747915834984002e-06	0.1	1.912763e-09	1.3438174e-09	0.1	1.912763e-09	8.218958599999998e-06	0.1	1.912763e-09	6.462384199999999e-13	0.1
2.159119e-09	1.3348520424251998e-06	0.1	2.159119e-09	1.42259322e-09	0.1	2.159119e-09	8.5535457e-06	0.1	2.159119e-09	7.1306686e-13	0.1
2.444124e-09	1.0274708301724e-06	0.1	2.444124e-09	1.5029651299999998e-09	0.1	2.444124e-09	8.8557241e-06	0.1	2.444124e-09	7.7970077e-13	0.1
2.729129e-09	7.915454067752399e-07	0.1	2.729129e-09	1.5745177700000003e-09	0.1	2.729129e-09	9.087272799999998e-06	0.1	2.729129e-09	8.3629477e-13	0.1
3.014135e-09	6.1038370608172e-07	0.1	3.014135e-09	1.63945106e-09	0.1	3.014135e-09	9.2646946e-06	0.1	3.014135e-09	8.8439938e-13	0.1
3.335236e-09	4.5607675428248e-07	0.1	3.335236e-09	1.70675746e-09	0.1	3.335236e-09	9.415373600000002e-06	0.1	3.335236e-09	9.3024461e-13	0.1
3.6804e-09	3.341036827927e-07	0.1	3.6804e-09	1.7741552000000001e-09	0.1	3.6804e-09	9.533965500000001e-06	0.1	3.6804e-09	9.7166627e-13	0.1
4.025565e-09	2.4542953331116e-07	0.1	4.025565e-09	1.8380129700000001e-09	0.1	4.025565e-09	9.619657899999999e-06	0.1	4.025565e-09	1.0067879799999999e-12	0.1
4.37073e-09	1.8095056491632003e-07	0.1	4.37073e-09	1.8995125799999997e-09	0.1	4.37073e-09	9.6814512e-06	0.1	4.37073e-09	1.03711998e-12	0.1
4.788203e-09	1.2598807518809998e-07	0.1	4.788203e-09	1.9719409600000003e-09	0.1	4.788203e-09	9.7334556e-06	0.1	4.788203e-09	1.0690674199999999e-12	0.1
