Batch	m_SP	5	C5H5	T1a_L	T4a_L	N1a_L	N7a_L							
1.266773e-10	0.9860617	0.1	1.266773e-10	0.0139382359	0.1	1.266773e-10	1.1519533179000001e-10	0.1	1.266773e-10	2.52161919e-08	0.1	1.266773e-10	3.5591591e-13	0.1
2.043704e-10	0.9777037	0.1	2.043704e-10	0.0222961653	0.1	2.043704e-10	1.8427362156e-10	0.1	2.043704e-10	4.03368423e-08	0.1	2.043704e-10	5.6933745e-13	0.1
3.073268e-10	0.9668438	0.1	3.073268e-10	0.033155968699999996	0.1	3.073268e-10	2.7403284408e-10	0.1	3.073268e-10	5.99837232e-08	0.1	3.073268e-10	8.466448099999999e-13	0.1
4.292405e-10	0.9542923	0.1	4.292405e-10	0.04570744	0.1	4.292405e-10	3.7777861171e-10	0.1	4.292405e-10	8.269107410000001e-08	0.1	4.292405e-10	1.1671496199999999e-12	0.1
5.701163e-10	0.9401884	0.1	5.701163e-10	0.059811284	0.1	5.701163e-10	4.943617173e-10	0.1	5.701163e-10	1.082068744e-07	0.1	5.701163e-10	1.5272943700000001e-12	0.1
7.10992e-10	0.9264953	0.1	7.10992e-10	0.07350431	0.1	7.10992e-10	6.07555394e-10	0.1	7.10992e-10	1.3297946769999998e-07	0.1	7.10992e-10	1.87694878e-12	0.1
8.687957e-10	0.9116228	0.1	8.687957e-10	0.08837666699999999	0.1	8.687957e-10	7.305059663000001e-10	0.1	8.687957e-10	1.5988564010000002e-07	0.1	8.687957e-10	2.25671841e-12	0.1
1.037885e-09	0.8962077	0.1	1.037885e-09	0.103791676	0.1	1.037885e-09	8.579517579999999e-10	0.1	1.037885e-09	1.877735264e-07	0.1	1.037885e-09	2.6503436e-12	0.1
1.206974e-09	0.8813053	0.1	1.206974e-09	0.118694036	0.1	1.206974e-09	9.811685388e-10	0.1	1.206974e-09	2.1473387450000002e-07	0.1	1.206974e-09	3.0308786999999998e-12	0.1
1.376062e-09	0.8668903	0.1	1.376062e-09	0.133108906	0.1	1.376062e-09	1.1003639423e-09	0.1	1.376062e-09	2.40812394e-07	0.1	1.376062e-09	3.3989664999999996e-12	0.1
1.579767e-09	0.8501385	0.1	1.579767e-09	0.14986063900000002	0.1	1.579767e-09	1.2388955342999998e-09	0.1	1.579767e-09	2.7111858e-07	0.1	1.579767e-09	3.8267259e-12	0.1
1.783472e-09	0.8340218	0.1	1.783472e-09	0.16597720800000001	0.1	1.783472e-09	1.3721883269999998e-09	0.1	1.783472e-09	3.00275647e-07	0.1	1.783472e-09	4.238266e-12	0.1
1.987176e-09	0.8185049	0.1	1.987176e-09	0.18149408400000003	0.1	1.987176e-09	1.5005351659999997e-09	0.1	1.987176e-09	3.2834787e-07	0.1	1.987176e-09	4.6344932e-12	0.1
2.199104e-09	0.8029627	0.1	2.199104e-09	0.19703618600000003	0.1	2.199104e-09	1.6291053842000001e-09	0.1	2.199104e-09	3.5646563299999995e-07	0.1	2.199104e-09	5.0313654e-12	0.1
2.443926e-09	0.7857271	0.1	2.443926e-09	0.214271633	0.1	2.443926e-09	1.7717020605999999e-09	0.1	2.443926e-09	3.87647e-07	0.1	2.443926e-09	5.4714772e-12	0.1
2.688748e-09	0.769216	0.1	2.688748e-09	0.23078270200000003	0.1	2.688748e-09	1.9083253009e-09	0.1	2.688748e-09	4.17517766e-07	0.1	2.688748e-09	5.893092e-12	0.1
2.93357e-09	0.7533844	0.1	2.93357e-09	0.246614146	0.1	2.93357e-09	2.0393445238000003e-09	0.1	2.93357e-09	4.46159046e-07	0.1	2.93357e-09	6.2973523e-12	0.1
3.188554e-09	0.7375741	0.1	3.188554e-09	0.262424387	0.1	3.188554e-09	2.1702092086999997e-09	0.1	3.188554e-09	4.74761967e-07	0.1	3.188554e-09	6.7010713e-12	0.1
3.484183e-09	0.7200544	0.1	3.484183e-09	0.27994398099999995	0.1	3.484183e-09	2.3152482585e-09	0.1	3.484183e-09	5.06457233e-07	0.1	3.484183e-09	7.1484377000000005e-12	0.1
