	T[K]	P2	P5
600 0.99703 0.00000
700 0.99711 0.00004
800 0.99702 0.00020
900 0.99602 0.00067
1000 0.99507 0.00164
1100 0.99238 0.00313
1200 0.99206 0.00494
1300 0.99080 0.00686
1400 0.98634 0.00865
1500 0.98631 0.01027
1600 0.98570 0.01164
1700 0.98474 0.01280
1800 0.98337 0.01375
1900 0.98276 0.01452
2000 0.98199 0.01518
2100 0.98159 0.01569
2200 0.98090 0.01622
2300 0.98069 0.01657
2400 0.98034 0.01685
2500 0.98025 0.01704
