	T[K]	P2	P5
600 1.00000 0.00000
700 1.00000 0.00000
800 0.99948 0.00000
900 0.99812 0.00000
1000 0.99791 0.00001
1100 0.99648 0.00002
1200 0.99632 0.00006
1300 0.99699 0.00015
1400 0.99696 0.00034
1500 0.99692 0.00071
1600 0.99450 0.00130
1700 0.99345 0.00217
1800 0.99426 0.00333
1900 0.99233 0.00470
2000 0.98964 0.00626
2100 0.98939 0.00780
2200 0.98782 0.00934
2300 0.98628 0.01074
2400 0.98339 0.01197
2500 0.98412 0.01303
