	T[K]	P2	P5
600 0.99762 0.00000
700 0.99748 0.00000
800 0.99663 0.00003
900 0.99634 0.00012
1000 0.99691 0.00040
1100 0.99443 0.00102
1200 0.99524 0.00211
1300 0.99214 0.00364
1400 0.99045 0.00551
1500 0.98926 0.00750
1600 0.98792 0.00939
1700 0.98593 0.01104
1800 0.98460 0.01243
1900 0.98198 0.01356
2000 0.98272 0.01455
2100 0.98191 0.01524
2200 0.98135 0.01581
2300 0.98086 0.01629
2400 0.98041 0.01689
2500 0.98008 0.01708
