Batch	m_SP	5	N1a_L	C5H5	T1a_L	T4a_L	N7a_L							
1.669079e-11	9.747221602146301e-06	0.1	1.669079e-11	3.294421e-07	0.1	1.669079e-11	8.750895e-08	0.1	1.669079e-11	3.8536070750000005e-11	0.1	1.669079e-11	8.1517059e-14	0.1
3.577633e-11	9.466217131891211e-06	0.1	3.577633e-11	6.959573e-07	0.1	3.577633e-11	1.84869987e-07	0.1	3.577633e-11	8.23509804e-11	0.1	3.577633e-11	3.7043124e-13	0.1
7.98288e-11	8.84816465434704e-06	0.1	7.98288e-11	1.502062e-06	0.1	7.98288e-11	3.99020527e-07	0.1	7.98288e-11	1.824843485e-10	0.1	7.98288e-11	1.7983489e-12	0.1
1.591232e-10	7.83562411405548e-06	0.1	1.591232e-10	2.822627e-06	0.1	1.591232e-10	7.4989752e-07	0.1	1.591232e-10	3.593375986e-10	0.1	1.591232e-10	6.831612599999999e-12	0.1
2.59578e-10	6.71758473809628e-06	0.1	2.59578e-10	4.280684e-06	0.1	2.59578e-10	1.1373946199999999e-06	0.1	2.59578e-10	5.77460596e-10	0.1	2.59578e-10	1.7191381e-11	0.1
3.682661e-10	5.686928035084441e-06	0.1	3.682661e-10	5.624678e-06	0.1	3.682661e-10	1.49467303e-06	0.1	3.682661e-10	8.06471709e-10	0.1	3.682661e-10	3.2609658e-11	0.1
4.947282e-10	4.6851078973769995e-06	0.1	4.947282e-10	6.930955e-06	0.1	4.947282e-10	1.84202941e-06	0.1	4.947282e-10	1.0644037449999998e-09	0.1	4.947282e-10	5.5011918e-11	0.1
6.330398e-10	3.7903889284824003e-06	0.1	6.330398e-10	8.097469e-06	0.1	6.330398e-10	2.15232595e-06	0.1	6.330398e-10	1.3367114950000002e-09	0.1	6.330398e-10	8.3817927e-11	0.1
7.713513e-10	3.066593676614155e-06	0.1	7.713513e-10	9.041043e-06	0.1	7.713513e-10	2.40340923e-06	0.1	7.713513e-10	1.599463898e-09	0.1	7.713513e-10	1.1602148699999999e-10	0.1
9.096628e-10	2.481058090115237e-06	0.1	9.096628e-10	9.804301e-06	0.1	9.096628e-10	2.6065837300000002e-06	0.1	9.096628e-10	1.8532454190000001e-09	0.1	9.096628e-10	1.507079e-10	0.1
1.059114e-09	1.973403588976336e-06	0.1	1.059114e-09	1.046597e-05	0.1	1.059114e-09	2.7827830500000004e-06	0.1	1.059114e-09	2.117952899e-09	0.1	1.059114e-09	1.9013510000000002e-10	0.1
1.225273e-09	1.5299977840616e-06	0.1	1.225273e-09	1.104385e-05	0.1	1.225273e-09	2.93673057e-06	0.1	1.225273e-09	2.4012861109999997e-09	0.1	1.225273e-09	2.3548058e-10	0.1
1.391433e-09	1.186254052487322e-06	0.1	1.391433e-09	1.149179e-05	0.1	1.391433e-09	3.0561166399999996e-06	0.1	1.391433e-09	2.6736752729999997e-09	0.1	1.391433e-09	2.8166565e-10	0.1
1.557593e-09	9.19764547481217e-07	0.1	1.557593e-09	1.183903e-05	0.1	1.557593e-09	3.14870437e-06	0.1	1.557593e-09	2.9356655259999996e-09	0.1	1.557593e-09	3.2809698e-10	0.1
1.723753e-09	7.13161306004088e-07	0.1	1.723753e-09	1.210821e-05	0.1	1.723753e-09	3.2205121100000004e-06	0.1	1.723753e-09	3.1877363339999998e-09	0.1	1.723753e-09	3.7432794999999996e-10	0.1
1.923225e-09	5.25489071825592e-07	0.1	1.923225e-09	1.235271e-05	0.1	1.923225e-09	3.28576806e-06	0.1	1.923225e-09	3.4778479449999998e-09	0.1	1.923225e-09	4.2909971e-10	0.1
2.122697e-09	3.8721951585889e-07	0.1	2.122697e-09	1.253284e-05	0.1	2.122697e-09	3.33387043e-06	0.1	2.122697e-09	3.754959173e-09	0.1	2.122697e-09	4.8269382e-10	0.1
2.322169e-09	2.8534402425478727e-07	0.1	2.322169e-09	1.266555e-05	0.1	2.322169e-09	3.36933188e-06	0.1	2.322169e-09	4.019689152e-09	0.1	2.322169e-09	5.3483142e-10	0.1
2.529947e-09	2.0762433657280482e-07	0.1	2.529947e-09	1.27668e-05	0.1	2.529947e-09	3.39640213e-06	0.1	2.529947e-09	4.282886978e-09	0.1	2.529947e-09	5.8739794e-10	0.1
2.770951e-09	1.435923280624584e-07	0.1	2.770951e-09	1.285022e-05	0.1	2.770951e-09	3.41872269e-06	0.1	2.770951e-09	4.572909377e-09	0.1	2.770951e-09	6.4598909e-10	0.1
