	T[K]	N7a	N7b	N7c
600 0.41394 0.52891 0.05353
700 0.42247 0.52822 0.04537
800 0.76388 0.13371 0.09913
900 0.32760 0.66127 0.00511
1000 0.36817 0.57971 0.04780
1100 0.06023 0.85969 0.07583
1200 0.10414 0.77296 0.11902
1300 0.90867 0.06389 0.02238
1400 0.00833 0.78599 0.20178
1500 0.42963 0.49894 0.06676
1600 0.15366 0.78690 0.05461
1700 0.35896 0.46730 0.16982
1800 0.08380 0.27602 0.63987
1900 0.06656 0.26079 0.67261
2000 0.07320 0.26016 0.66657
