Batch	m_SP	5	Pr2	W1	W2	Pr1	Pr3							
0.0	9.9999e-06	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
0.002804483	9.9999e-06	0.1	0.002804483	5.245613e-14	0.1	0.002804483	6.608293e-18	0.1	0.002804483	1.411925e-13	0.1	0.002804483	4.698278e-14	0.1
0.04940394	9.99989600004e-06	0.1	0.04940394	5.223105e-14	0.1	0.04940394	6.58329e-18	0.1	0.04940394	2.910684e-12	0.1	0.04940394	8.392888e-13	0.1
1.13637	9.99981300087e-06	0.1	1.13637	5.069449e-14	0.1	1.13637	6.412634e-18	0.1	1.13637	6.750934e-11	0.1	1.13637	1.931964e-11	0.1
11.32668	9.99903500865e-06	0.1	11.32668	5.06956e-14	0.1	11.32668	6.412799e-18	0.1	11.32668	6.735268e-10	0.1	11.32668	1.918134e-10	0.1
28.19183	9.99774902151e-06	0.1	28.19183	5.071457e-14	0.1	28.19183	6.415331e-18	0.1	28.19183	1.680649e-09	0.1	28.19183	4.700761e-10	0.1
56.30041	9.99562504275e-06	0.1	56.30041	5.078276e-14	0.1	56.30041	6.424364e-18	0.1	56.30041	3.384805e-09	0.1	56.30041	8.899023e-10	0.1
101.806	9.99225807642e-06	0.1	101.806	5.092624e-14	0.1	101.806	6.443342e-18	0.1	101.806	6.244595e-09	0.1	101.806	1.397243e-09	0.1
147.3115	9.98897710923e-06	0.1	147.3115	5.10376e-14	0.1	147.3115	6.458089e-18	0.1	147.3115	9.226266e-09	0.1	147.3115	1.696425e-09	0.1
205.145	9.9848901501e-06	0.1	205.145	5.110732e-14	0.1	205.145	6.467378e-18	0.1	205.145	1.31308e-08	0.1	205.145	1.879256e-09	0.1
237.2748	9.98264117259e-06	0.1	237.2748	5.112166e-14	0.1	237.2748	6.469326e-18	0.1	237.2748	1.533047e-08	0.1	237.2748	1.928025e-09	0.1
301.5343	9.978167217330001e-06	0.1	301.5343	5.112354e-14	0.1	301.5343	6.469694e-18	0.1	301.5343	1.975905e-08	0.1	301.5343	1.973501e-09	0.1
387.2414	9.972221276790001e-06	0.1	387.2414	5.110299e-14	0.1	387.2414	6.467152e-18	0.1	387.2414	2.568813e-08	0.1	387.2414	1.990971e-09	0.1
492.2682	9.96494634954e-06	0.1	492.2682	5.106828e-14	0.1	492.2682	6.462784e-18	0.1	492.2682	3.295924e-08	0.1	492.2682	1.994845e-09	0.1
631.0704	9.95534244558e-06	0.1	631.0704	5.101958e-14	0.1	631.0704	6.456644e-18	0.1	631.0704	4.256361e-08	0.1	631.0704	1.99472e-09	0.1
841.6792	9.9407865970413e-06	0.1	841.6792	5.094517e-14	0.1	841.6792	6.447267e-18	0.1	841.6792	5.711961e-08	0.1	841.6792	1.99336e-09	0.1
1192.694	9.9165768415623e-06	0.1	1192.694	5.08214e-14	0.1	1192.694	6.431697e-18	0.1	1192.694	8.133231e-08	0.1	1192.694	1.990951e-09	0.1
1894.723	9.8683333288267e-06	0.1	1894.723	5.057505e-14	0.1	1894.723	6.400803e-18	0.1	1894.723	1.295804e-07	0.1	1894.723	1.986126e-09	0.1
3298.782	9.7725533189394e-06	0.1	3298.782	5.008716e-14	0.1	3298.782	6.340003e-18	0.1	3298.782	2.2537e-07	0.1	3298.782	1.976551e-09	0.1
6106.899	9.5837983274608e-06	0.1	6106.899	4.913038e-14	0.1	6106.899	6.222269e-18	0.1	6106.899	4.14144e-07	0.1	6106.899	1.957684e-09	0.1
11723.13	9.217335451702e-06	0.1	11723.13	4.729062e-14	0.1	11723.13	6.001585e-18	0.1	11723.13	7.80644e-07	0.1	11723.13	1.92106e-09	0.1
21832.36	8.5937140305432e-06	0.1	21832.36	4.421386e-14	0.1	21832.36	5.649997e-18	0.1	21832.36	1.404329e-06	0.1	21832.36	1.858755e-09	0.1
34536.78	7.872514741419e-06	0.1	34536.78	4.074052e-14	0.1	34536.78	5.281029e-18	0.1	34536.78	2.125604e-06	0.1	34536.78	1.786737e-09	0.1
