Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
5.020472	0.989161287	0.1	5.020472	5.652252e-07	0.1	5.020472	4.059338e-07	0.1	5.020472	0.004773655	0.1	5.020472	1.494037352e-06	0.1	5.020472	3.252398e-08	0.1	5.020472	1.464207e-11	0.1
5.693444	0.987881174	0.1	5.693444	6.389566e-07	0.1	5.693444	4.055405e-07	0.1	5.693444	0.005414151	0.1	5.693444	1.492590085e-06	0.1	5.693444	3.249246e-08	0.1	5.693444	1.661309e-11	0.1
6.539193	0.986275731	0.1	6.539193	7.309332e-07	0.1	6.539193	4.050472e-07	0.1	6.539193	0.006217337	0.1	6.539193	1.490774224e-06	0.1	6.539193	3.245294e-08	0.1	6.539193	1.908395e-11	0.1
7.554153	0.984354305	0.1	7.554153	8.403124e-07	0.1	7.554153	4.044567e-07	0.1	7.554153	0.007178645	0.1	7.554153	1.4886008150000001e-06	0.1	7.554153	3.240563e-08	0.1	7.554153	2.203987e-11	0.1
8.780624	0.982039989	0.1	8.780624	9.710442e-07	0.1	8.780624	4.037453e-07	0.1	8.780624	0.008336552	0.1	8.780624	1.4859824790000001e-06	0.1	8.780624	3.234863e-08	0.1	8.780624	2.559787e-11	0.1
10.40191	0.9789929740000001	0.1	10.40191	1.141467e-06	0.1	10.40191	4.028086e-07	0.1	10.40191	0.009860972	0.1	10.40191	1.482534552e-06	0.1	10.40191	3.227357e-08	0.1	10.40191	3.02771e-11	0.1
13.08552	0.973980498	0.1	13.08552	1.417661e-06	0.1	13.08552	4.01267e-07	0.1	13.08552	0.01236875	0.1	13.08552	1.476860987e-06	0.1	13.08552	3.215005e-08	0.1	13.08552	3.795916e-11	0.1
17.80423	0.965259286	0.1	17.80423	1.885945e-06	0.1	17.80423	3.985831e-07	0.1	17.80423	0.01673205	0.1	17.80423	1.46698222e-06	0.1	17.80423	3.193501e-08	0.1	17.80423	5.126289e-11	0.1
26.26095	0.9499180429999999	0.1	26.26095	2.672295e-06	0.1	26.26095	3.938568e-07	0.1	26.26095	0.02440745	0.1	26.26095	1.449586908e-06	0.1	26.26095	3.155633e-08	0.1	26.26095	7.438594e-11	0.1
42.5206	0.921421894	0.1	42.5206	4.008934e-06	0.1	42.5206	3.850598e-07	0.1	42.5206	0.0386644	0.1	42.5206	1.417208728e-06	0.1	42.5206	3.085148e-08	0.1	42.5206	1.158491e-10	0.1
66.86911	0.88105678	0.1	66.86911	5.635938e-06	0.1	66.86911	3.725555e-07	0.1	66.86911	0.05885971	0.1	66.86911	1.371185473e-06	0.1	66.86911	2.984959e-08	0.1	66.86911	1.694042e-10	0.1
98.85562	0.831859463	0.1	98.85562	7.219024e-06	0.1	98.85562	3.572398e-07	0.1	98.85562	0.08347411	0.1	98.85562	1.314814419e-06	0.1	98.85562	2.862244e-08	0.1	98.85562	2.230305e-10	0.1
137.2505	0.777911263	0.1	137.2505	8.486387e-06	0.1	137.2505	3.403373e-07	0.1	137.2505	0.1104657	0.1	137.2505	1.25260308e-06	0.1	137.2505	2.726816e-08	0.1	137.2505	2.642215e-10	0.1
194.7991	0.706016054	0.1	194.7991	9.490635e-06	0.1	194.7991	3.176065e-07	0.1	194.7991	0.1464369	0.1	194.7991	1.168940867e-06	0.1	194.7991	2.544689e-08	0.1	194.7991	2.912555e-10	0.1
257.1361	0.638297069	0.1	257.1361	9.815418e-06	0.1	257.1361	2.959371e-07	0.1	257.1361	0.180319	0.1	257.1361	1.0891835669999999e-06	0.1	257.1361	2.371065e-08	0.1	257.1361	2.941425e-10	0.1
332.051	0.56828679	0.1	332.051	9.626035e-06	0.1	332.051	2.732055e-07	0.1	332.051	0.2153478	0.1	332.051	1.0055183409999999e-06	0.1	332.051	2.188932e-08	0.1	332.051	2.828405e-10	0.1
