Batch	m_SP	2	R	W4_L	
1.977221000000e-13	9.817260826410e-06	1.000000000000e-01	1.977221000000e-13	1.826410300000e-07	1.000000000000e-01
4.786857000000e-13	9.563452364520e-06	1.000000000000e-01	4.786857000000e-13	4.364511500000e-07	1.000000000000e-01
1.075527000000e-12	9.045860540490e-06	1.000000000000e-01	1.075527000000e-12	9.540470000000e-07	1.000000000000e-01
2.159085000000e-12	8.176716232020e-06	1.000000000000e-01	2.159085000000e-12	1.823198200000e-06	1.000000000000e-01
3.707026000000e-12	7.077928220010e-06	1.000000000000e-01	3.707026000000e-12	2.921995300000e-06	1.000000000000e-01
4.741462000000e-12	6.427232727030e-06	1.000000000000e-01	4.741462000000e-12	3.572696200000e-06	1.000000000000e-01
5.971835000000e-12	5.730715692270e-06	1.000000000000e-01	5.971835000000e-12	4.269218100000e-06	1.000000000000e-01
7.496111000000e-12	4.971577283730e-06	1.000000000000e-01	7.496111000000e-12	5.028363000000e-06	1.000000000000e-01
1.023157000000e-11	3.852489474720e-06	1.000000000000e-01	1.023157000000e-11	6.147459000000e-06	1.000000000000e-01
1.296702000000e-11	2.985305146650e-06	1.000000000000e-01	1.296702000000e-11	7.014650000000e-06	1.000000000000e-01
1.570248000000e-11	2.313321866550e-06	1.000000000000e-01	1.570248000000e-11	7.686640000000e-06	1.000000000000e-01
1.843793000000e-11	1.792599073830e-06	1.000000000000e-01	1.843793000000e-11	8.207365000000e-06	1.000000000000e-01
2.117339000000e-11	1.389090108960e-06	1.000000000000e-01	2.117339000000e-11	8.610877000000e-06	1.000000000000e-01
2.390885000000e-11	1.076410235790e-06	1.000000000000e-01	2.390885000000e-11	8.923561000000e-06	1.000000000000e-01
2.664430000000e-11	8.341133587830e-07	1.000000000000e-01	2.664430000000e-11	9.165859000000e-06	1.000000000000e-01
2.981869000000e-11	6.204416955210e-07	1.000000000000e-01	2.981869000000e-11	9.379532000000e-06	1.000000000000e-01
3.310281000000e-11	4.568083318710e-07	1.000000000000e-01	3.310281000000e-11	9.543167000000e-06	1.000000000000e-01
3.638693000000e-11	3.363310366560e-07	1.000000000000e-01	3.638693000000e-11	9.663645000000e-06	1.000000000000e-01
3.967105000000e-11	2.476281236940e-07	1.000000000000e-01	3.967105000000e-11	9.752349000000e-06	1.000000000000e-01
4.363517000000e-11	1.711201887810e-07	1.000000000000e-01	4.363517000000e-11	9.828858000000e-06	1.000000000000e-01
4.759929000000e-11	1.182504174840e-07	1.000000000000e-01	4.759929000000e-11	9.881728000000e-06	1.000000000000e-01
