Batch	m_SP	4	Pr2	W1	Pr1	Pr3					
1836009000.0	9.75531444588e-06	0.1	1836009000.0	2.443729e-07	0.1	1836009000.0	1.854866e-10	0.1	1836009000.0	3.192449e-11	0.1
4186259000.0	9.45093448971e-06	0.1	4186259000.0	5.484888e-07	0.1	4186259000.0	4.1632e-10	0.1	4186259000.0	7.16537e-11	0.1
8103343000.0	8.96459135319e-06	0.1	8103343000.0	1.034409e-06	0.1	8103343000.0	7.851483e-10	0.1	8103343000.0	1.351335e-10	0.1
15937510000.0	8.0656993422e-06	0.1	15937510000.0	1.93252e-06	0.1	15937510000.0	1.466842e-09	0.1	15937510000.0	2.524613e-10	0.1
26785670000.0	6.967856320740001e-06	0.1	26785670000.0	3.029409e-06	0.1	26785670000.0	2.299415e-09	0.1	26785670000.0	3.957572e-10	0.1
39643170000.0	5.858503414380001e-06	0.1	39643170000.0	4.137798e-06	0.1	39643170000.0	3.140717e-09	0.1	39643170000.0	5.405553e-10	0.1
55120450000.0	4.7547624519e-06	0.1	55120450000.0	5.24058e-06	0.1	55120450000.0	3.977762e-09	0.1	55120450000.0	6.846209e-10	0.1
74527430000.0	3.65976240201e-06	0.1	74527430000.0	6.334628e-06	0.1	74527430000.0	4.808179e-09	0.1	74527430000.0	8.275457e-10	0.1
93934410000.0	2.8169358303600003e-06	0.1	93934410000.0	7.176723e-06	0.1	93934410000.0	5.447355e-09	0.1	93934410000.0	9.375555e-10	0.1
113341400000.0	2.1682083176999997e-06	0.1	113341400000.0	7.824887e-06	0.1	113341400000.0	5.939331e-09	0.1	113341400000.0	1.022231e-09	0.1
132748400000.0	1.66888031103e-06	0.1	132748400000.0	8.323781e-06	0.1	132748400000.0	6.318008e-09	0.1	132748400000.0	1.087405e-09	0.1
152155400000.0	1.2845441544300001e-06	0.1	152155400000.0	8.707783e-06	0.1	152155400000.0	6.609477e-09	0.1	152155400000.0	1.137571e-09	0.1
171562300000.0	9.88719812703e-07	0.1	171562300000.0	9.00335e-06	0.1	171562300000.0	6.833822e-09	0.1	171562300000.0	1.176183e-09	0.1
190969300000.0	7.610220897029999e-07	0.1	190969300000.0	9.23085e-06	0.1	190969300000.0	7.006501e-09	0.1	190969300000.0	1.205903e-09	0.1
210376300000.0	5.85762242319e-07	0.1	210376300000.0	9.405958e-06	0.1	210376300000.0	7.139413e-09	0.1	210376300000.0	1.228779e-09	0.1
232205000000.0	4.36375136205e-07	0.1	232205000000.0	9.555215e-06	0.1	232205000000.0	7.252704e-09	0.1	232205000000.0	1.248278e-09	0.1
255648300000.0	3.1808391912899997e-07	0.1	255648300000.0	9.673403e-06	0.1	255648300000.0	7.342413e-09	0.1	255648300000.0	1.263718e-09	0.1
279091500000.0	2.3185878138900002e-07	0.1	279091500000.0	9.759554e-06	0.1	279091500000.0	7.407803e-09	0.1	279091500000.0	1.274972e-09	0.1
302534800000.0	1.6900720991100002e-07	0.1	302534800000.0	9.822351e-06	0.1	302534800000.0	7.455468e-09	0.1	302534800000.0	1.283176e-09	0.1
330708800000.0	1.15578244206e-07	0.1	330708800000.0	9.875733e-06	0.1	330708800000.0	7.495987e-09	0.1	330708800000.0	1.29015e-09	0.1
