	T[K]	P2	P5
600 0.99839 0.00044
700 0.99744 0.00137
800 0.99571 0.00312
900 0.99314 0.00566
1000 0.99006 0.00870
1100 0.98678 0.01189
1200 0.98380 0.01489
1300 0.98044 0.01778
1400 0.97770 0.02034
1500 0.97539 0.02278
1600 0.97395 0.02485
1700 0.97102 0.02680
1800 0.96920 0.02862
1900 0.96745 0.03034
2000 0.96571 0.03205
2100 0.96488 0.03352
