	T[K]	P2	P5
600 0.99839 0.00044
700 0.99737 0.00141
800 0.99544 0.00338
900 0.99208 0.00663
1000 0.98737 0.01132
1100 0.98137 0.01735
1200 0.97426 0.02435
1300 0.96670 0.03205
1400 0.95894 0.03966
1500 0.95177 0.04683
1600 0.94481 0.05370
1700 0.93790 0.05984
1800 0.93261 0.06572
1900 0.92733 0.07040
2000 0.92374 0.07494
2100 0.91929 0.07917
2200 0.91534 0.08284
2300 0.91176 0.08641
2400 0.90872 0.08944
2500 0.90549 0.09265
