	T[K]	N1a	N1b	N1c
600 0.67761 0.27556 0.04139
700 0.33661 0.41150 0.24647
800 0.40500 0.25947 0.33015
900 0.34951 0.51366 0.13148
1000 0.62371 0.24807 0.12292
1100 0.03238 0.36460 0.59688
1200 0.01494 0.69950 0.27942
1300 0.45858 0.14966 0.38531
1400 0.36812 0.14251 0.48291
1500 0.03633 0.43018 0.52703
1600 0.10312 0.82268 0.06804
1700 0.15181 0.67752 0.16469
1800 0.13194 0.61274 0.24930
1900 0.27105 0.58964 0.13333
2000 0.44302 0.18906 0.36194
