	T[K]	N7a	N7b	N7c
600 0.00000 0.99621 0.00379
700 0.00000 0.99653 0.00347
800 0.00000 0.99705 0.00295
900 0.00000 0.99713 0.00287
1000 0.00000 0.99718 0.00282
1100 0.00000 0.99720 0.00280
1200 0.00000 0.99720 0.00279
1300 0.00001 0.99717 0.00282
1400 0.00001 0.99711 0.00288
1500 0.00002 0.99699 0.00299
1600 0.00003 0.99682 0.00315
1700 0.00004 0.99655 0.00340
1800 0.00006 0.99607 0.00378
1900 0.00009 0.99550 0.00431
2000 0.00014 0.99468 0.00510
