	T[K]	N7a	N7b	N7c
600 0.02833 0.13497 0.83670
700 0.03308 0.14692 0.82000
800 0.03737 0.15545 0.80718
900 0.04119 0.16102 0.79780
1000 0.03671 0.16771 0.79558
1100 0.02140 0.25982 0.71877
1200 0.02686 0.26072 0.71242
1300 0.03249 0.26081 0.70669
1400 0.03816 0.25993 0.70191
1500 0.04367 0.25702 0.69932
1600 0.04799 0.24290 0.70911
1700 0.05108 0.18679 0.76213
1800 0.05368 0.18273 0.76359
1900 0.05621 0.18039 0.76340
2000 0.05906 0.17905 0.76189
