Batch	m_SP	7	P2_L	R	W4_L	W3	P1	P3	P4											
6.933322e-13	9.880469086666e-06	0.1	6.933322e-13	3.965988e-10	0.1	6.933322e-13	9.9899127e-08	0.1	6.933322e-13	5.599635e-12	0.1	6.933322e-13	2.10913e-09	0.1	6.933322e-13	4.721078e-10	0.1	6.933322e-13	3.554352e-14	0.1
2.425183e-12	9.625567084808e-06	0.1	2.425183e-12	1.369331e-09	0.1	2.425183e-12	3.4491559999999997e-07	0.1	2.425183e-12	1.933213e-11	0.1	2.425183e-12	7.279089e-09	0.1	2.425183e-12	1.630041e-09	0.1	2.425183e-12	1.227201e-13	0.1
5.301357e-12	9.216696462384e-06	0.1	5.301357e-12	2.929739e-09	0.1	5.301357e-12	7.3794411e-07	0.1	5.301357e-12	4.135609e-11	0.1	5.301357e-12	1.556321e-08	0.1	5.301357e-12	3.487539e-09	0.1	5.301357e-12	2.625624e-13	0.1
9.231242e-12	8.685985976806001e-06	0.1	9.231242e-12	4.955354e-09	0.1	9.231242e-12	1.2481201300000001e-06	0.1	9.231242e-12	6.993674e-11	0.1	9.231242e-12	2.629971e-08	0.1	9.231242e-12	5.898821e-09	0.1	9.231242e-12	4.44093e-13	0.1
1.574906e-11	7.87235054984e-06	0.1	1.574906e-11	8.061322e-09	0.1	1.574906e-11	2.0303348000000003e-06	0.1	1.574906e-11	1.137395e-10	0.1	1.574906e-11	4.272302e-08	0.1	1.574906e-11	9.596156e-09	0.1	1.574906e-11	7.224346e-13	0.1
2.732875e-11	6.6103501292917005e-06	0.1	2.732875e-11	1.288012e-08	0.1	2.732875e-11	3.2437604e-06	0.1	2.732875e-11	1.816441e-10	0.1	2.732875e-11	6.810332e-08	0.1	2.732875e-11	1.533246e-08	0.1	2.732875e-11	1.154253e-12	0.1
4.013734e-11	5.44882077650097e-06	0.1	4.013734e-11	1.731674e-08	0.1	4.013734e-11	4.360765899999999e-06	0.1	4.013734e-11	2.441005e-10	0.1	4.013734e-11	9.135456e-08	0.1	4.013734e-11	2.061383e-08	0.1	4.013734e-11	1.551801e-12	0.1
5.478926e-11	4.36833279474594e-06	0.1	5.478926e-11	2.144518e-08	0.1	5.478926e-11	5.4000125e-06	0.1	5.478926e-11	3.021592e-10	0.1	5.478926e-11	1.128804e-07	0.1	5.478926e-11	2.552837e-08	0.1	5.478926e-11	1.921714e-12	0.1
6.944118e-11	3.5021999043669704e-06	0.1	6.944118e-11	2.475566e-08	0.1	6.944118e-11	6.233222099999999e-06	0.1	6.944118e-11	3.486686e-10	0.1	6.944118e-11	1.300557e-07	0.1	6.944118e-11	2.946921e-08	0.1	6.944118e-11	2.21832e-12	0.1
8.409311e-11	2.8078697298857098e-06	0.1	8.409311e-11	2.741025e-08	0.1	8.409311e-11	6.901255499999999e-06	0.1	8.409311e-11	3.859303e-10	0.1	8.409311e-11	1.437666e-07	0.1	8.409311e-11	3.262928e-08	0.1	8.409311e-11	2.456149e-12	0.1
