Batch	m_SP	7	R	W4_L	W3	P1	P2_L	P3	P4											
3.804358e-13	9.84805751844e-06	0.1	3.804358e-13	1.4974109000000003e-07	0.1	3.804358e-13	3.680711e-12	0.1	3.804358e-13	3.125063e-10	0.1	3.804358e-13	1.2188804900000001e-09	0.1	3.804358e-13	4.459319e-10	0.1	3.804358e-13	3.220619e-14	0.1
1.024354e-12	9.59628803616e-06	0.1	1.024354e-12	3.9802677000000006e-07	0.1	1.024354e-12	9.783716e-12	0.1	1.024354e-12	8.306729e-10	0.1	1.024354e-12	3.2399066e-09	0.1	1.024354e-12	1.185332e-09	0.1	1.024354e-12	8.560728e-14	0.1
2.498581e-12	9.043841560680002e-06	0.1	2.498581e-12	9.428281299999999e-07	0.1	2.498581e-12	2.317533e-11	0.1	2.498581e-12	1.967661e-09	0.1	2.498581e-12	7.6745455e-09	0.1	2.498581e-12	2.80776e-09	0.1	2.498581e-12	2.027827e-13	0.1
5.206033e-12	8.110765891530002e-06	0.1	5.206033e-12	1.8629909999999997e-06	0.1	5.206033e-12	4.579389e-11	0.1	5.206033e-12	3.888024e-09	0.1	5.206033e-12	1.5164605e-08	0.1	5.206033e-12	5.548025e-09	0.1	5.206033e-12	4.006907e-13	0.1
7.526706e-12	7.387996119300001e-06	0.1	7.526706e-12	2.5757590000000003e-06	0.1	7.526706e-12	6.331476e-11	0.1	7.526706e-12	5.375557e-09	0.1	7.526706e-12	2.0966474e-08	0.1	7.526706e-12	7.670661e-09	0.1	7.526706e-12	5.539922e-13	0.1
9.843264e-12	6.7307486918399995e-06	0.1	9.843264e-12	3.2239121e-06	0.1	9.843264e-12	7.924756e-11	0.1	9.843264e-12	6.728241e-09	0.1	9.843264e-12	2.6242389e-08	0.1	9.843264e-12	9.600872e-09	0.1	9.843264e-12	6.933963e-13	0.1
1.310708e-11	5.902747381649299e-06	0.1	1.310708e-11	4.0404545e-06	0.1	1.310708e-11	9.932016e-11	0.1	1.310708e-11	8.432355e-09	0.1	1.310708e-11	3.2888973e-08	0.1	1.310708e-11	1.203255e-08	0.1	1.310708e-11	8.690177e-13	0.1
1.786398e-11	4.8748987630252005e-06	0.1	1.786398e-11	5.054080100000001e-06	0.1	1.786398e-11	1.242385e-10	0.1	1.786398e-11	1.054778e-08	0.1	1.786398e-11	4.1139808e-08	0.1	1.786398e-11	1.505115e-08	0.1	1.786398e-11	1.087028e-12	0.1
2.262087e-11	4.026029336693e-06	0.1	2.262087e-11	5.8912026e-06	0.1	2.262087e-11	1.448188e-10	0.1	2.262087e-11	1.229485e-08	0.1	2.262087e-11	4.7953919000000004e-08	0.1	2.262087e-11	1.754412e-08	0.1	2.262087e-11	1.267075e-12	0.1
2.956883e-11	3.0445062501763e-06	0.1	2.956883e-11	6.8591433e-06	0.1	2.956883e-11	1.686172e-10	0.1	2.956883e-11	1.431495e-08	0.1	2.956883e-11	5.5832868e-08	0.1	2.956883e-11	2.042666e-08	0.1	2.956883e-11	1.475259e-12	0.1
3.65168e-11	2.3022727468104e-06	0.1	3.65168e-11	7.5911052e-06	0.1	3.65168e-11	1.866159e-10	0.1	3.65168e-11	1.584257e-08	0.1	3.65168e-11	6.1790988e-08	0.1	3.65168e-11	2.260646e-08	0.1	3.65168e-11	1.632689e-12	0.1
4.346476e-11	1.7409924157989999e-06	0.1	4.346476e-11	8.144619e-06	0.1	4.346476e-11	2.002289e-10	0.1	4.346476e-11	1.699778e-08	0.1	4.346476e-11	6.6296544e-08	0.1	4.346476e-11	2.425483e-08	0.1	4.346476e-11	1.751738e-12	0.1
5.041272e-11	1.3165487027238e-06	0.1	5.041272e-11	8.5631891e-06	0.1	5.041272e-11	2.105253e-10	0.1	5.041272e-11	1.787136e-08	0.1	5.041272e-11	6.970367000000001e-08	0.1	5.041272e-11	2.550134e-08	0.1	5.041272e-11	1.841764e-12	0.1
5.736069e-11	9.9558134452686e-07	0.1	5.736069e-11	8.8797151e-06	0.1	5.736069e-11	2.183138e-10	0.1	5.736069e-11	1.853198e-08	0.1	5.736069e-11	7.2280162e-08	0.1	5.736069e-11	2.644396e-08	0.1	5.736069e-11	1.909842e-12	0.1
6.430865e-11	7.5286429599381e-07	0.1	6.430865e-11	9.1190732e-06	0.1	6.430865e-11	2.242057e-10	0.1	6.430865e-11	1.903156e-08	0.1	6.430865e-11	7.422852099999999e-08	0.1	6.430865e-11	2.715678e-08	0.1	6.430865e-11	1.961323e-12	0.1
7.125661e-11	5.693202498073999e-07	0.1	7.125661e-11	9.3000765e-06	0.1	7.125661e-11	2.286634e-10	0.1	7.125661e-11	1.940935e-08	0.1	7.125661e-11	7.570188e-08	0.1	7.125661e-11	2.769581e-08	0.1	7.125661e-11	2.000254e-12	0.1
7.820457e-11	4.3052325167124e-07	0.1	7.820457e-11	9.4369532e-06	0.1	7.820457e-11	2.320366e-10	0.1	7.820457e-11	1.969505e-08	0.1	7.820457e-11	7.6816041e-08	0.1	7.820457e-11	2.810343e-08	0.1	7.820457e-11	2.029693e-12	0.1
8.657891e-11	3.0741299509739003e-07	0.1	8.657891e-11	9.5583608e-06	0.1	8.657891e-11	2.350315e-10	0.1	8.657891e-11	1.994847e-08	0.1	8.657891e-11	7.780428400000001e-08	0.1	8.657891e-11	2.846498e-08	0.1	8.657891e-11	2.055805e-12	0.1
9.495324e-11	2.1950668296010999e-07	0.1	9.495324e-11	9.6450492e-06	0.1	9.495324e-11	2.371731e-10	0.1	9.495324e-11	2.012944e-08	0.1	9.495324e-11	7.850993399999999e-08	0.1	9.495324e-11	2.872315e-08	0.1	9.495324e-11	2.074451e-12	0.1
1.033276e-10	1.5673771693307e-07	0.1	1.033276e-10	9.706950299999998e-06	0.1	1.033276e-10	2.387055e-10	0.1	1.033276e-10	2.025868e-08	0.1	1.033276e-10	7.9013791e-08	0.1	1.033276e-10	2.890749e-08	0.1	1.033276e-10	2.087764e-12	0.1
1.127209e-10	1.0742351501154e-07	0.1	1.127209e-10	9.7555816e-06	0.1	1.127209e-10	2.399132e-10	0.1	1.127209e-10	2.036023e-08	0.1	1.127209e-10	7.9409655e-08	0.1	1.127209e-10	2.905231e-08	0.1	1.127209e-10	2.098224e-12	0.1
