Batch	m_SP	5	C5H5	T1a_L	T4a_L	N1a_L	N7a_L							
7.29848e-11	0.9871534	0.1	7.29848e-11	0.0128466033	0.1	7.29848e-11	1.2856202667000001e-11	0.1	7.29848e-11	3.849691061e-09	0.1	7.29848e-11	1.51421829e-14	0.1
1.144022e-10	0.9800089	0.1	1.144022e-10	0.0199910461	0.1	1.144022e-10	2.0006005454e-11	0.1	1.144022e-10	5.9906385499999994e-09	0.1	1.144022e-10	2.35632712e-14	0.1
1.798509e-10	0.9689275	0.1	1.798509e-10	0.031072431999999997	0.1	1.798509e-10	3.1095729993e-11	0.1	1.798509e-10	9.311353099999998e-09	0.1	1.798509e-10	3.66248e-14	0.1
2.60205e-10	0.9556605	0.1	2.60205e-10	0.0443394785	0.1	2.60205e-10	4.4372823609e-11	0.1	2.60205e-10	1.328703732e-08	0.1	2.60205e-10	5.2262556000000003e-14	0.1
3.504961e-10	0.9411797	0.1	3.504961e-10	0.058820262	0.1	3.504961e-10	5.886464113700001e-11	0.1	3.504961e-10	1.762643391e-08	0.1	3.504961e-10	6.9330928e-14	0.1
4.407871e-10	0.9271312	0.1	4.407871e-10	0.072868747	0.1	4.407871e-10	7.2923903066e-11	0.1	4.407871e-10	2.183628856e-08	0.1	4.407871e-10	8.588975000000001e-14	0.1
5.346948e-10	0.9129581	0.1	5.346948e-10	0.087041824	0.1	5.346948e-10	8.710794589e-11	0.1	5.346948e-10	2.608347991e-08	0.1	5.346948e-10	1.02595442e-13	0.1
6.430689e-10	0.8971309	0.1	6.430689e-10	0.10286899999999999	0.1	6.430689e-10	1.0294745829000001e-10	0.1	6.430689e-10	3.0826352789999996e-08	0.1	6.430689e-10	1.21250793e-13	0.1
7.51443e-10	0.8818431	0.1	7.51443e-10	0.11815675299999999	0.1	7.51443e-10	1.1824722670999998e-10	0.1	7.51443e-10	3.540757324e-08	0.1	7.51443e-10	1.39270301e-13	0.1
8.59817e-10	0.8670676	0.1	8.59817e-10	0.13293222	0.1	8.59817e-10	1.3303441786e-10	0.1	8.59817e-10	3.983527082e-08	0.1	8.59817e-10	1.56686051e-13	0.1
9.815762e-10	0.851047	0.1	9.815762e-10	0.148952838	0.1	9.815762e-10	1.490678895e-10	0.1	9.815762e-10	4.463611802e-08	0.1	9.815762e-10	1.75569393e-13	0.1
1.112259e-09	0.8344981	0.1	1.112259e-09	0.16550170099999997	0.1	1.112259e-09	1.6563018752e-10	0.1	1.112259e-09	4.95952424e-08	0.1	1.112259e-09	1.95075433e-13	0.1
1.242941e-09	0.8185805	0.1	1.242941e-09	0.181419236	0.1	1.242941e-09	1.8156079013e-10	0.1	1.242941e-09	5.436518379999999e-08	0.1	1.242941e-09	2.1383725699999998e-13	0.1
1.373624e-09	0.8032588	0.1	1.373624e-09	0.196740886	0.1	1.373624e-09	1.9689521012e-10	0.1	1.373624e-09	5.8956576200000004e-08	0.1	1.373624e-09	2.31896767e-13	0.1
