Batch	m_SP	8	W1_L	R	P1	P2	P3	P4	P5	P6													
2.861435e-08	0.99999996047	0.1	2.861435e-08	0.0	0.1	2.861435e-08	0.0	0.1	2.861435e-08	0.0	0.1	2.861435e-08	0.0	0.1	2.861435e-08	0.0	0.1	2.861435e-08	0.0	0.1	2.861435e-08	0.0	0.1
1.084622e-07	1.0000000788199999	0.1	1.084622e-07	0.0	0.1	1.084622e-07	0.0	0.1	1.084622e-07	0.0	0.1	1.084622e-07	0.0	0.1	1.084622e-07	0.0	0.1	1.084622e-07	0.0	0.1	1.084622e-07	0.0	0.1
1.987928e-07	0.9999999814	0.1	1.987928e-07	0.0	0.1	1.987928e-07	0.0	0.1	1.987928e-07	0.0	0.1	1.987928e-07	0.0	0.1	1.987928e-07	0.0	0.1	1.987928e-07	0.0	0.1	1.987928e-07	0.0	0.1
3.396589e-07	0.9999999931999999	0.1	3.396589e-07	0.0	0.1	3.396589e-07	0.0	0.1	3.396589e-07	0.0	0.1	3.396589e-07	0.0	0.1	3.396589e-07	0.0	0.1	3.396589e-07	0.0	0.1	3.396589e-07	0.0	0.1
5.293423e-07	0.9999999833000001	0.1	5.293423e-07	0.0	0.1	5.293423e-07	0.0	0.1	5.293423e-07	0.0	0.1	5.293423e-07	0.0	0.1	5.293423e-07	0.0	0.1	5.293423e-07	0.0	0.1	5.293423e-07	0.0	0.1
7.487049e-07	1.0000000382	0.1	7.487049e-07	0.0	0.1	7.487049e-07	0.0	0.1	7.487049e-07	0.0	0.1	7.487049e-07	0.0	0.1	7.487049e-07	0.0	0.1	7.487049e-07	0.0	0.1	7.487049e-07	0.0	0.1
9.680674e-07	0.99999996552	0.1	9.680674e-07	0.0	0.1	9.680674e-07	0.0	0.1	9.680674e-07	0.0	0.1	9.680674e-07	0.0	0.1	9.680674e-07	0.0	0.1	9.680674e-07	0.0	0.1	9.680674e-07	0.0	0.1
1.233334e-06	0.99999998075	0.1	1.233334e-06	0.0	0.1	1.233334e-06	0.0	0.1	1.233334e-06	0.0	0.1	1.233334e-06	0.0	0.1	1.233334e-06	0.0	0.1	1.233334e-06	0.0	0.1	1.233334e-06	0.0	0.1
1.543338e-06	0.9999999875600001	0.1	1.543338e-06	0.0	0.1	1.543338e-06	0.0	0.1	1.543338e-06	0.0	0.1	1.543338e-06	0.0	0.1	1.543338e-06	0.0	0.1	1.543338e-06	0.0	0.1	1.543338e-06	0.0	0.1
1.913343e-06	0.9999999897599999	0.1	1.913343e-06	0.0	0.1	1.913343e-06	0.0	0.1	1.913343e-06	0.0	0.1	1.913343e-06	0.0	0.1	1.913343e-06	0.0	0.1	1.913343e-06	0.0	0.1	1.913343e-06	0.0	0.1
