Batch	m_SP	1	P1	
0.000000000000e+00	9.999900000000e-06	1.000000000000e-01
4.370616000000e-05	9.999895000050e-06	1.000000000000e-01
4.262507000000e-04	9.999860000400e-06	1.000000000000e-01
9.917258000000e-04	9.999835000650e-06	1.000000000000e-01
1.670125000000e-03	9.999823000770e-06	1.000000000000e-01
2.531564000000e-03	9.999818000820e-06	1.000000000000e-01
3.699889000000e-03	9.999817000830e-06	1.000000000000e-01
5.451592000000e-03	9.999817000830e-06	1.000000000000e-01
8.837007000000e-03	9.999817000830e-06	1.000000000000e-01
1.936941000000e-02	9.999817000830e-06	1.000000000000e-01
