	T[K]	N1a	N1b	N1c
700 0.00004 0.93691 0.06145
800 0.00014 0.91114 0.08723
900 0.00040 0.88431 0.11390
1000 0.00089 0.85702 0.14023
1100 0.00172 0.83117 0.16570
1200 0.00294 0.80596 0.18970
1300 0.00460 0.78193 0.21209
1400 0.00671 0.75904 0.23276
1500 0.00926 0.73758 0.25180
1600 0.01224 0.71720 0.26913
1700 0.01558 0.69763 0.28470
1800 0.01927 0.68025 0.29915
1900 0.02324 0.66318 0.31181
2000 0.02743 0.64705 0.32309
