Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4											
2.299394e-13	9.79519309222e-06	0.1	2.299394e-13	6.744374e-08	0.1	2.299394e-13	2.743995e-10	0.1	2.299394e-13	1.346281e-08	0.1	2.299394e-13	5.745299e-08	0.1	2.299394e-13	2.822097e-08	0.1	2.299394e-13	1.414968e-10	0.1
5.560202e-13	9.5604738306134e-06	0.1	5.560202e-13	1.617111e-07	0.1	5.560202e-13	6.569063e-10	0.1	5.560202e-13	3.230359e-08	0.1	5.560202e-13	1.373366e-07	0.1	5.560202e-13	6.615793e-08	0.1	5.560202e-13	3.389149e-10	0.1
1.278107e-12	9.062292031737199e-06	0.1	1.278107e-12	3.648033e-07	0.1	1.278107e-12	1.477023e-09	0.1	1.278107e-12	7.298623e-08	0.1	1.278107e-12	3.07817e-07	0.1	1.278107e-12	1.419985e-07	0.1	1.278107e-12	7.628691e-10	0.1
2.45223e-12	8.3116239458228e-06	0.1	2.45223e-12	6.788365e-07	0.1	2.45223e-12	2.73491e-09	0.1	2.45223e-12	1.361306e-07	0.1	2.45223e-12	5.672331e-07	0.1	2.45223e-12	2.437821e-07	0.1	2.45223e-12	1.41489e-09	0.1
3.964551e-12	7.4425849581437995e-06	0.1	3.964551e-12	1.055035e-06	0.1	3.964551e-12	4.226473e-09	0.1	3.964551e-12	2.12139e-07	0.1	3.964551e-12	8.717001e-07	0.1	3.964551e-12	3.417464e-07	0.1	3.964551e-12	2.190717e-09	0.1
5.655322e-12	6.585637064350801e-06	0.1	5.655322e-12	1.440106e-06	0.1	5.655322e-12	5.737286e-09	0.1	5.655322e-12	2.903292e-07	0.1	5.655322e-12	1.176769e-06	0.1	5.655322e-12	4.159685e-07	0.1	5.655322e-12	2.9794e-09	0.1
6.712053e-12	6.1043055336953994e-06	0.1	6.712053e-12	1.662877e-06	0.1	6.712053e-12	6.604549e-09	0.1	6.712053e-12	3.357346e-07	0.1	6.712053e-12	1.350444e-06	0.1	6.712053e-12	4.472685e-07	0.1	6.712053e-12	3.433366e-09	0.1
8.190857e-12	5.4928117047892e-06	0.1	8.190857e-12	1.952949e-06	0.1	8.190857e-12	7.726993e-09	0.1	8.190857e-12	3.950376e-07	0.1	8.190857e-12	1.573729e-06	0.1	8.190857e-12	4.756057e-07	0.1	8.190857e-12	4.022179e-09	0.1
1.004958e-11	4.815072621485999e-06	0.1	1.004958e-11	2.284096e-06	0.1	1.004958e-11	8.999752e-09	0.1	1.004958e-11	4.629774e-07	0.1	1.004958e-11	1.824984e-06	0.1	1.004958e-11	4.912231e-07	0.1	1.004958e-11	4.691488e-09	0.1
1.231991e-11	4.1049902251242005e-06	0.1	1.231991e-11	2.642488e-06	0.1	1.231991e-11	1.036811e-08	0.1	1.231991e-11	5.367843e-07	0.1	1.231991e-11	2.092984e-06	0.1	1.231991e-11	4.885879e-07	0.1	1.231991e-11	5.412871e-09	0.1
1.468543e-11	3.48082028739e-06	0.1	1.468543e-11	2.967682e-06	0.1	1.468543e-11	1.160278e-08	0.1	1.468543e-11	6.039965e-07	0.1	1.468543e-11	2.333081e-06	0.1	1.468543e-11	4.690898e-07	0.1	1.468543e-11	6.065225e-09	0.1
1.743171e-11	2.8782062240664e-06	0.1	1.743171e-11	3.29109e-06	0.1	1.743171e-11	1.282557e-08	0.1	1.743171e-11	6.71067e-07	0.1	1.743171e-11	2.569447e-06	0.1	1.743171e-11	4.339288e-07	0.1	1.743171e-11	6.712476e-09	0.1
2.017799e-11	2.3827950030014997e-06	0.1	2.017799e-11	3.56418e-06	0.1	2.017799e-11	1.385542e-08	0.1	2.017799e-11	7.278844e-07	0.1	2.017799e-11	2.767579e-06	0.1	2.017799e-11	3.922005e-07	0.1	2.017799e-11	7.258351e-09	0.1
2.292426e-11	1.9745582018615003e-06	0.1	2.292426e-11	3.794245e-06	0.1	2.292426e-11	1.472219e-08	0.1	2.292426e-11	7.758909e-07	0.1	2.292426e-11	2.933795e-06	0.1	2.292426e-11	3.485794e-07	0.1	2.292426e-11	7.71819e-09	0.1
2.61336e-11	1.58673757606555e-06	0.1	2.61336e-11	4.017071e-06	0.1	2.61336e-11	1.556217e-08	0.1	2.61336e-11	8.225296e-07	0.1	2.61336e-11	3.094516e-06	0.1	2.61336e-11	2.989678e-07	0.1	2.61336e-11	8.164037e-09	0.1
2.94587e-11	1.2661153858838101e-06	0.1	2.94587e-11	4.204422e-06	0.1	2.94587e-11	1.627001e-08	0.1	2.94587e-11	8.618796e-07	0.1	2.94587e-11	3.229779e-06	0.1	2.94587e-11	2.51613e-07	0.1	2.94587e-11	8.539791e-09	0.1
3.27838e-11	1.0109127353197599e-06	0.1	3.27838e-11	4.35552e-06	0.1	3.27838e-11	1.684312e-08	0.1	3.27838e-11	8.937398e-07	0.1	3.27838e-11	3.33925e-06	0.1	3.27838e-11	2.09604e-07	0.1	3.27838e-11	8.843944e-09	0.1
3.677754e-11	7.7190044236344e-07	0.1	3.677754e-11	4.498513e-06	0.1	3.677754e-11	1.738878e-08	0.1	3.677754e-11	9.240436e-07	0.1	3.677754e-11	3.443511e-06	0.1	3.677754e-11	1.666126e-07	0.1	3.677754e-11	9.133357e-09	0.1
4.077129e-11	5.896990109930399e-07	0.1	4.077129e-11	4.608344e-06	0.1	4.077129e-11	1.781165e-08	0.1	4.077129e-11	9.474808e-07	0.1	4.077129e-11	3.524375e-06	0.1	4.077129e-11	1.313492e-07	0.1	4.077129e-11	9.357405e-09	0.1
4.493856e-11	4.4547058570325004e-07	0.1	4.493856e-11	4.695633e-06	0.1	4.493856e-11	1.815171e-08	0.1	4.493856e-11	9.662788e-07	0.1	4.493856e-11	3.58948e-06	0.1	4.493856e-11	1.018264e-07	0.1	4.493856e-11	9.53733e-09	0.1
4.97999e-11	3.2135469448003997e-07	0.1	4.97999e-11	4.770784e-06	0.1	4.97999e-11	1.844946e-08	0.1	4.97999e-11	9.826824e-07	0.1	4.97999e-11	3.646558e-06	0.1	4.97999e-11	7.521942e-08	0.1	4.97999e-11	9.694568e-09	0.1
5.466124e-11	2.3201266914552001e-07	0.1	5.466124e-11	4.824665e-06	0.1	5.466124e-11	1.866814e-08	0.1	5.466124e-11	9.946821e-07	0.1	5.466124e-11	3.688527e-06	0.1	5.466124e-11	5.533796e-08	0.1	5.466124e-11	9.809755e-09	0.1
5.992051e-11	1.63322605831992e-07	0.1	5.992051e-11	4.865694e-06	0.1	5.992051e-11	1.884038e-08	0.1	5.992051e-11	1.004092e-06	0.1	5.992051e-11	3.721604e-06	0.1	5.992051e-11	3.960919e-08	0.1	5.992051e-11	9.900177e-09	0.1
6.577667e-11	1.10759044184034e-07	0.1	6.577667e-11	4.896518e-06	0.1	6.577667e-11	1.897656e-08	0.1	6.577667e-11	1.011498e-06	0.1	6.577667e-11	3.747754e-06	0.1	6.577667e-11	2.729312e-08	0.1	6.577667e-11	9.971357e-09	0.1
