Batch	m_SP	4	W1_L	Pr1	Pr2	Pr3					
2.615015e+16	0.999999963	0.1	2.615015e+16	0.0	0.1	2.615015e+16	0.0	0.1	2.615015e+16	0.0	0.1
2.697338e+16	1.000000005	0.1	2.697338e+16	0.0	0.1	2.697338e+16	0.0	0.1	2.697338e+16	0.0	0.1
2.782958e+16	1.000000019	0.1	2.782958e+16	0.0	0.1	2.782958e+16	0.0	0.1	2.782958e+16	0.0	0.1
2.881765e+16	1.000000023	0.1	2.881765e+16	0.0	0.1	2.881765e+16	0.0	0.1	2.881765e+16	0.0	0.1
2.980573e+16	1.000000026	0.1	2.980573e+16	0.0	0.1	2.980573e+16	0.0	0.1	2.980573e+16	0.0	0.1
3.079381e+16	1.000000045	0.1	3.079381e+16	0.0	0.1	3.079381e+16	0.0	0.1	3.079381e+16	0.0	0.1
3.178189e+16	0.999999981	0.1	3.178189e+16	0.0	0.1	3.178189e+16	0.0	0.1	3.178189e+16	0.0	0.1
3.276996e+16	0.999999985	0.1	3.276996e+16	0.0	0.1	3.276996e+16	0.0	0.1	3.276996e+16	0.0	0.1
3.375804e+16	1.000000046	0.1	3.375804e+16	0.0	0.1	3.375804e+16	0.0	0.1	3.375804e+16	0.0	0.1
3.474612e+16	1.0000000249	0.1	3.474612e+16	0.0	0.1	3.474612e+16	0.0	0.1	3.474612e+16	0.0	0.1
3.577397e+16	1.0000000401	0.1	3.577397e+16	0.0	0.1	3.577397e+16	0.0	0.1	3.577397e+16	0.0	0.1
3.696093e+16	0.9999999918	0.1	3.696093e+16	0.0	0.1	3.696093e+16	0.0	0.1	3.696093e+16	0.0	0.1
3.814789e+16	1.0000000479	0.1	3.814789e+16	0.0	0.1	3.814789e+16	0.0	0.1	3.814789e+16	0.0	0.1
3.933485e+16	0.9999999757	0.1	3.933485e+16	0.0	0.1	3.933485e+16	0.0	0.1	3.933485e+16	0.0	0.1
4.052181e+16	0.9999999711	0.1	4.052181e+16	0.0	0.1	4.052181e+16	0.0	0.1	4.052181e+16	0.0	0.1
4.170877e+16	1.0000000101	0.1	4.170877e+16	0.0	0.1	4.170877e+16	0.0	0.1	4.170877e+16	0.0	0.1
4.294375e+16	0.9999999559	0.1	4.294375e+16	0.0	0.1	4.294375e+16	0.0	0.1	4.294375e+16	0.0	0.1
4.437082e+16	0.9999999934	0.1	4.437082e+16	0.0	0.1	4.437082e+16	0.0	0.1	4.437082e+16	0.0	0.1
4.579789e+16	0.9999999911	0.1	4.579789e+16	0.0	0.1	4.579789e+16	0.0	0.1	4.579789e+16	0.0	0.1
4.722495e+16	1.0000000371	0.1	4.722495e+16	0.0	0.1	4.722495e+16	0.0	0.1	4.722495e+16	0.0	0.1
4.865202e+16	1.00000000743	0.1	4.865202e+16	0.0	0.1	4.865202e+16	0.0	0.1	4.865202e+16	0.0	0.1
5.019338e+16	1.00000004624	0.1	5.019338e+16	0.0	0.1	5.019338e+16	0.0	0.1	5.019338e+16	0.0	0.1
