Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4											
3.023138e-11	9.7537299460874e-06	0.1	3.023138e-11	1.623803e-08	0.1	3.023138e-11	2.489775e-10	0.1	3.023138e-11	2.972341e-08	0.1	3.023138e-11	1.336757e-07	0.1	3.023138e-11	4.780214e-08	0.1	3.023138e-11	4.825025e-10	0.1
6.370336e-11	9.5083289770034e-06	0.1	6.370336e-11	3.389836e-08	0.1	6.370336e-11	5.195075e-10	0.1	6.370336e-11	6.21898e-08	0.1	6.370336e-11	2.784104e-07	0.1	6.370336e-11	9.754445e-08	0.1	6.370336e-11	1.0073e-09	0.1
1.452569e-10	8.9405989257712e-06	0.1	1.452569e-10	7.556439e-08	0.1	1.452569e-10	1.156739e-09	0.1	1.452569e-10	1.393536e-07	0.1	1.452569e-10	6.172549e-07	0.1	1.452569e-10	2.057244e-07	0.1	1.452569e-10	2.245601e-09	0.1
2.740296e-10	8.1240281420772e-06	0.1	2.740296e-10	1.375937e-07	0.1	2.740296e-10	2.10283e-09	0.1	2.740296e-10	2.556582e-07	0.1	2.740296e-10	1.1151e-06	0.1	2.740296e-10	3.433256e-07	0.1	2.740296e-10	4.089516e-09	0.1
3.958872e-10	7.4314012487484e-06	0.1	3.958872e-10	1.923033e-07	0.1	3.958872e-10	2.934877e-09	0.1	3.958872e-10	3.595998e-07	0.1	3.958872e-10	1.547961e-06	0.1	3.958872e-10	4.419827e-07	0.1	3.958872e-10	5.716339e-09	0.1
4.896651e-10	6.9453921143019e-06	0.1	4.896651e-10	2.319273e-07	0.1	4.896651e-10	3.536188e-09	0.1	4.896651e-10	4.356439e-07	0.1	4.896651e-10	1.858012e-06	0.1	4.896651e-10	5.00493e-07	0.1	4.896651e-10	6.894935e-09	0.1
6.184569e-10	6.3371775090584e-06	0.1	6.184569e-10	2.830465e-07	0.1	6.184569e-10	4.310442e-09	0.1	6.184569e-10	5.346568e-07	0.1	6.184569e-10	2.253966e-06	0.1	6.184569e-10	5.603292e-07	0.1	6.184569e-10	8.415976e-09	0.1
7.956953e-10	5.5983809948192e-06	0.1	7.956953e-10	3.475888e-07	0.1	7.956953e-10	5.285822e-09	0.1	7.956953e-10	6.610621e-07	0.1	7.956953e-10	2.747822e-06	0.1	7.956953e-10	6.114311e-07	0.1	7.956953e-10	1.033747e-08	0.1
1.032473e-09	4.7604532703112004e-06	0.1	1.032473e-09	4.242997e-07	0.1	1.032473e-09	6.442425e-09	0.1	1.032473e-09	8.132013e-07	0.1	1.032473e-09	3.326842e-06	0.1	1.032473e-09	6.380556e-07	0.1	1.032473e-09	1.262326e-08	0.1
1.269252e-09	4.0617112670624e-06	0.1	1.269252e-09	4.913369e-07	0.1	1.269252e-09	7.451378e-09	0.1	1.269252e-09	9.477359e-07	0.1	1.269252e-09	3.826713e-06	0.1	1.269252e-09	6.323556e-07	0.1	1.269252e-09	1.462334e-08	0.1
1.50603e-09	3.4754030700777006e-06	0.1	1.50603e-09	5.498695e-07	0.1	1.50603e-09	8.331514e-09	0.1	1.50603e-09	1.066337e-06	0.1	1.50603e-09	4.259295e-06	0.1	1.50603e-09	6.063309e-07	0.1	1.50603e-09	1.637242e-08	0.1
1.742808e-09	2.9807560945085998e-06	0.1	1.742808e-09	6.009275e-07	0.1	1.742808e-09	9.099136e-09	0.1	1.742808e-09	1.170622e-06	0.1	1.742808e-09	4.634332e-06	0.1	1.742808e-09	5.683142e-07	0.1	1.742808e-09	1.790111e-08	0.1
1.979586e-09	2.5614798874686e-06	0.1	1.979586e-09	6.454201e-07	0.1	1.979586e-09	9.768416e-09	0.1	1.979586e-09	1.262121e-06	0.1	1.979586e-09	4.959918e-06	0.1	1.979586e-09	5.240191e-07	0.1	1.979586e-09	1.923637e-08	0.1
