	T[K]	N7a	N7b	N7c
600 0.94382 0.00103 0.05212
700 0.90871 0.00285 0.08601
800 0.86636 0.00603 0.12511
900 0.81930 0.01067 0.16750
1000 0.76918 0.01670 0.21163
1100 0.71749 0.02399 0.25643
1200 0.66493 0.03230 0.30064
1300 0.61317 0.04141 0.34306
1400 0.56378 0.05113 0.38274
1500 0.51694 0.06135 0.41908
1600 0.47260 0.07218 0.45280
1700 0.43016 0.08361 0.48408
1800 0.39032 0.09523 0.51290
1900 0.35398 0.10665 0.53703
2000 0.32148 0.11797 0.55873
