	T[K]	P2	P5
600 0.99833 0.00044
700 0.99726 0.00141
800 0.99540 0.00335
900 0.99229 0.00645
1000 0.98806 0.01069
1100 0.98296 0.01572
1200 0.97760 0.02096
1300 0.97233 0.02608
1400 0.96782 0.03094
1500 0.96331 0.03541
1600 0.95893 0.03927
1700 0.95559 0.04293
1800 0.95251 0.04614
1900 0.94929 0.04907
2000 0.94651 0.05175
2100 0.94401 0.05424
2200 0.94145 0.05676
2300 0.93921 0.05900
