Batch	m_SP	5	Pr1	W1	W2	Pr2	Pr3							
0.001954158	9.848683512180001e-06	0.1	0.001954158	1.076788e-07	0.1	0.001954158	3.786442e-11	0.1	0.001954158	3.026839e-08	0.1	0.001954158	1.323415e-08	0.1
0.00286434	9.7908841110717e-06	0.1	0.00286434	1.322464e-07	0.1	0.00286434	3.927825e-11	0.1	0.00286434	5.519229e-08	0.1	0.00286434	2.153993e-08	0.1
0.003926111	9.7290097360092e-06	0.1	0.003926111	1.501229e-07	0.1	0.003926111	4.024635e-11	0.1	0.003926111	8.881419e-08	0.1	0.003926111	3.191595e-08	0.1
0.004987882	9.6710543542394e-06	0.1	0.004987882	1.608378e-07	0.1	0.004987882	4.076312e-11	0.1	0.004987882	1.254748e-07	0.1	0.004987882	4.249493e-08	0.1
0.006093144	9.6134829414738e-06	0.1	0.006093144	1.674831e-07	0.1	0.006093144	4.101814e-11	0.1	0.006093144	1.655928e-07	0.1	0.006093144	5.330329e-08	0.1
0.007372371	9.549258641622899e-06	0.1	0.007372371	1.719047e-07	0.1	0.007372371	4.110961e-11	0.1	0.007372371	2.135222e-07	0.1	0.007372371	6.517699e-08	0.1
0.008703594	9.4844153095161e-06	0.1	0.008703594	1.744917e-07	0.1	0.008703594	4.108097e-11	0.1	0.008703594	2.6443e-07	0.1	0.008703594	7.652623e-08	0.1
0.0102428	9.411403120389602e-06	0.1	0.0102428	1.761942e-07	0.1	0.0102428	4.097066e-11	0.1	0.0102428	3.240996e-07	0.1	0.0102428	8.816599e-08	0.1
0.01191084	9.33426198922e-06	0.1	0.01191084	1.772749e-07	0.1	0.01191084	4.080747e-11	0.1	0.01191084	3.894077e-07	0.1	0.01191084	9.8918e-08	0.1
0.01377215	9.2503089456858e-06	0.1	0.01377215	1.779956e-07	0.1	0.01377215	4.059967e-11	0.1	0.01377215	4.628283e-07	0.1	0.01377215	1.087301e-07	0.1
0.01600983	9.1520070724765e-06	0.1	0.01600983	1.784259e-07	0.1	0.01600983	4.032814e-11	0.1	0.01600983	5.516085e-07	0.1	0.01600983	1.178222e-07	0.1
0.01858229	9.042094344326399e-06	0.1	0.01858229	1.784357e-07	0.1	0.01858229	3.999189e-11	0.1	0.01858229	6.540476e-07	0.1	0.01858229	1.252869e-07	0.1
0.0215614	8.9183207892438e-06	0.1	0.0215614	1.778714e-07	0.1	0.0215614	3.957336e-11	0.1	0.0215614	7.727428e-07	0.1	0.0215614	1.309305e-07	0.1
0.02527436	8.7683986696944e-06	0.1	0.02527436	1.764639e-07	0.1	0.02527436	3.90165e-11	0.1	0.02527436	9.201055e-07	0.1	0.02527436	1.348973e-07	0.1
0.02998752	8.5836678618432e-06	0.1	0.02998752	1.73909e-07	0.1	0.02998752	3.827399e-11	0.1	0.02998752	1.105298e-06	0.1	0.02998752	1.369931e-07	0.1
0.03495073	8.3946273001578e-06	0.1	0.03495073	1.707032e-07	0.1	0.03495073	3.74737e-11	0.1	0.03495073	1.297223e-06	0.1	0.03495073	1.373145e-07	0.1
0.04034436	8.1946459410044e-06	0.1	0.04034436	1.669598e-07	0.1	0.04034436	3.660305e-11	0.1	0.04034436	1.501646e-06	0.1	0.04034436	1.366176e-07	0.1
0.04638361	7.9767910750566e-06	0.1	0.04638361	1.626815e-07	0.1	0.04638361	3.56409e-11	0.1	0.04638361	1.725131e-06	0.1	0.04638361	1.352672e-07	0.1
0.05317689	7.738876358463e-06	0.1	0.05317689	1.579042e-07	0.1	0.05317689	3.4583e-11	0.1	0.05317689	1.969626e-06	0.1	0.05317689	1.334664e-07	0.1
0.0608512	7.4787502623468e-06	0.1	0.0608512	1.526312e-07	0.1	0.0608512	3.342294e-11	0.1	0.0608512	2.237175e-06	0.1	0.0608512	1.313198e-07	0.1
0.07003892	7.1788718271699e-06	0.1	0.07003892	1.4653e-07	0.1	0.07003892	3.208407e-11	0.1	0.07003892	2.545746e-06	0.1	0.07003892	1.287311e-07	0.1
0.0815719	6.8194653457979995e-06	0.1	0.0815719	1.392081e-07	0.1	0.0815719	3.047878e-11	0.1	0.0815719	2.915681e-06	0.1	0.0815719	1.255278e-07	0.1
0.09576897	6.4017125757135e-06	0.1	0.09576897	1.306943e-07	0.1	0.09576897	2.861265e-11	0.1	0.09576897	3.345793e-06	0.1	0.09576897	1.216869e-07	0.1
0.1130827	5.926811023484e-06	0.1	0.1130827	1.210146e-07	0.1	0.1130827	2.649115e-11	0.1	0.1130827	3.834903e-06	0.1	0.1130827	1.171627e-07	0.1
0.1400339	5.2568562487782e-06	0.1	0.1400339	1.073578e-07	0.1	0.1400339	2.349822e-11	0.1	0.1400339	4.525227e-06	0.1	0.1400339	1.104593e-07	0.1
