Batch	m_SP	2	P2_L	W4_L	
7.505509e-14	9.816677339026471e-06	0.1	7.505509e-14	1.8312280699999998e-07	0.1
1.782143e-13	9.570445893853868e-06	0.1	1.782143e-13	4.2935568000000003e-07	0.1
3.943676e-13	9.074351625237682e-06	0.1	3.943676e-13	9.254508e-07	0.1
7.858194e-13	8.240467245258842e-06	0.1	7.858194e-13	1.75933982e-06	0.1
1.370366e-12	7.135716264220372e-06	0.1	1.370366e-12	2.86409707e-06	0.1
2.056234e-12	6.02681365381615e-06	0.1	2.056234e-12	3.973008730000001e-06	0.1
2.779388e-12	5.043714992882617e-06	0.1	2.779388e-12	4.9561176e-06	0.1
3.651686e-12	4.068772203838381e-06	0.1	3.651686e-12	5.9310713e-06	0.1
4.523984e-12	3.2822868879393005e-06	0.1	4.523984e-12	6.7175693e-06	0.1
5.396281e-12	2.6478276771173054e-06	0.1	5.396281e-12	7.3520369000000005e-06	0.1
6.268579e-12	2.136009006115457e-06	0.1	6.268579e-12	7.8638645e-06	0.1
7.285498e-12	1.6628389212364264e-06	0.1	7.285498e-12	8.3370428e-06	0.1
8.338573e-12	1.2830129380680233e-06	0.1	8.338573e-12	8.7168764e-06	0.1
9.391647e-12	9.899466319473745e-07	0.1	9.391647e-12	9.0099476e-06	0.1
1.044472e-11	7.638230385886929e-07	0.1	1.044472e-11	9.236075699999999e-06	0.1
1.158329e-11	5.77072686562435e-07	0.1	1.158329e-11	9.4228304e-06	0.1
1.285011e-11	4.224289889862453e-07	0.1	1.285011e-11	9.577478000000001e-06	0.1
1.411692e-11	3.0922661045609776e-07	0.1	1.411692e-11	9.690682799999999e-06	0.1
1.538373e-11	2.2636026459316222e-07	0.1	1.538373e-11	9.773551e-06	0.1
1.681141e-11	1.592648769232543e-07	0.1	1.681141e-11	9.8406487e-06	0.1
1.834634e-11	1.0913679633391772e-07	0.1	1.834634e-11	9.890778e-06	0.1
