	T[K]	N7a	N7b	N7c
600 0.72359 0.02120 0.25269
700 0.66302 0.03357 0.30026
800 0.61534 0.04569 0.33606
900 0.57718 0.05656 0.36350
1000 0.54569 0.06585 0.38604
1100 0.51704 0.07346 0.40506
1200 0.49202 0.08002 0.42429
1300 0.46764 0.08565 0.44324
1400 0.44372 0.09074 0.46247
1500 0.41982 0.09557 0.48166
1600 0.39624 0.10034 0.50047
1700 0.37333 0.10521 0.51858
1800 0.35135 0.11022 0.53555
1900 0.33051 0.11541 0.55113
2000 0.31102 0.12078 0.56528
