Batch	m_SP	7	W4_L	R	W3	P1	P2_L	P3	P4											
0.01142478	0.5147461	0.1	0.01142478	0.004599614	0.1	0.01142478	0.0001303412	0.1	0.01142478	0.1633252	0.1	0.01142478	0.0694946155	0.1	0.01142478	0.004682767	0.1	0.01142478	3.255677e-08	0.1
0.01476815	0.43585700000000005	0.1	0.01476815	0.005348904	0.1	0.01476815	0.0001515749	0.1	0.01476815	0.1899535	0.1	0.01476815	0.0808154775	0.1	0.01476815	0.005445603	0.1	0.01476815	3.786036e-08	0.1
0.01811153	0.372027	0.1	0.01811153	0.005955163	0.1	0.01811153	0.0001687553	0.1	0.01811153	0.2114989	0.1	0.01811153	0.089975323	0.1	0.01811153	0.006062822	0.1	0.01811153	4.215155e-08	0.1
0.0214549	0.319625	0.1	0.0214549	0.006452879	0.1	0.0214549	0.0001828598	0.1	0.0214549	0.2291868	0.1	0.0214549	0.097495205	0.1	0.0214549	0.006569536	0.1	0.0214549	4.567446e-08	0.1
0.02479827	0.27608889999999997	0.1	0.02479827	0.006866386	0.1	0.02479827	0.000194578	0.1	0.02479827	0.243882	0.1	0.02479827	0.103742831	0.1	0.02479827	0.006990518	0.1	0.02479827	4.860133e-08	0.1
0.02814165	0.2395591	0.1	0.02814165	0.007213347	0.1	0.02814165	0.0002044103	0.1	0.02814165	0.2562124	0.1	0.02814165	0.108984938	0.1	0.02814165	0.007343752	0.1	0.02814165	5.105717e-08	0.1
0.03148502	0.20865265	0.1	0.03148502	0.007506898	0.1	0.03148502	0.0002127291	0.1	0.03148502	0.2666447	0.1	0.03148502	0.113420138	0.1	0.03148502	0.007642609	0.1	0.03148502	5.313497e-08	0.1
0.03482839	0.18231984	0.1	0.03482839	0.007757007	0.1	0.03482839	0.0002198168	0.1	0.03482839	0.2755331	0.1	0.03482839	0.117199024	0.1	0.03482839	0.007897241	0.1	0.03482839	5.490528e-08	0.1
0.03817177	0.15974942	0.1	0.03817177	0.007971382	0.1	0.03817177	0.0002258918	0.1	0.03817177	0.2831516	0.1	0.03817177	0.120437983	0.1	0.03817177	0.00811549	0.1	0.03817177	5.642266e-08	0.1
0.04151514	0.1403046	0.1	0.04151514	0.008156069	0.1	0.04151514	0.0002311256	0.1	0.04151514	0.289715	0.1	0.04151514	0.123228302	0.1	0.04151514	0.008303517	0.1	0.04151514	5.77299e-08	0.1
0.04485852	0.12347852	0.1	0.04485852	0.008315884	0.1	0.04485852	0.0002356544	0.1	0.04485852	0.2953945	0.1	0.04485852	0.125642947	0.1	0.04485852	0.00846622	0.1	0.04485852	5.88611e-08	0.1
0.04820189	0.1088629	0.1	0.04820189	0.008454703	0.1	0.04820189	0.0002395884	0.1	0.04820189	0.3003279	0.1	0.04820189	0.127740316	0.1	0.04820189	0.00860755	0.1	0.04820189	5.984368e-08	0.1
0.05154526	0.09612523	0.1	0.05154526	0.008575686	0.1	0.05154526	0.0002430168	0.1	0.05154526	0.3046274	0.1	0.05154526	0.12956827699999998	0.1	0.05154526	0.00873072	0.1	0.05154526	6.070002e-08	0.1
0.05488864	0.08499214	0.1	0.05488864	0.008681428	0.1	0.05488864	0.0002460134	0.1	0.05488864	0.3083853	0.1	0.05488864	0.131165896	0.1	0.05488864	0.008838373	0.1	0.05488864	6.144848e-08	0.1
0.05823201	0.07523694	0.1	0.05823201	0.008774084	0.1	0.05823201	0.0002486391	0.1	0.05823201	0.3116781	0.1	0.05823201	0.132565762	0.1	0.05823201	0.008932704	0.1	0.05823201	6.21043e-08	0.1
0.06157539	0.0666702	0.1	0.06157539	0.008855451	0.1	0.06157539	0.0002509449	0.1	0.06157539	0.3145697	0.1	0.06157539	0.133795197	0.1	0.06157539	0.009015542	0.1	0.06157539	6.268023e-08	0.1
0.06491876	0.05913253	0.1	0.06491876	0.008927044	0.1	0.06491876	0.0002529738	0.1	0.06491876	0.317114	0.1	0.06491876	0.134876874	0.1	0.06491876	0.009088429	0.1	0.06491876	6.318698e-08	0.1
0.06826213	0.052488980000000005	0.1	0.06826213	0.008990144	0.1	0.06826213	0.0002547619	0.1	0.06826213	0.3193565	0.1	0.06826213	0.135830224	0.1	0.06826213	0.009152671	0.1	0.06826213	6.363362e-08	0.1
0.07160551	0.04662467	0.1	0.07160551	0.009045844	0.1	0.07160551	0.0002563404	0.1	0.07160551	0.321336	0.1	0.07160551	0.13667174199999998	0.1	0.07160551	0.009209377	0.1	0.07160551	6.402787e-08	0.1
0.07494888	0.04144134	0.1	0.07494888	0.009095075	0.1	0.07494888	0.0002577355	0.1	0.07494888	0.3230856	0.1	0.07494888	0.137415597	0.1	0.07494888	0.009259498	0.1	0.07494888	6.437633e-08	0.1
0.07829226	0.036854529999999996	0.1	0.07829226	0.009138641	0.1	0.07829226	0.0002589701	0.1	0.07829226	0.3246338	0.1	0.07829226	0.138073833	0.1	0.07829226	0.009303851	0.1	0.07829226	6.46847e-08	0.1
0.08176993	0.032638169999999994	0.1	0.08176993	0.009178688	0.1	0.08176993	0.000260105	0.1	0.08176993	0.326057	0.1	0.08176993	0.138678836	0.1	0.08176993	0.009344623	0.1	0.08176993	6.496816e-08	0.1
0.08578484	0.028383070000000003	0.1	0.08578484	0.009219103	0.1	0.08578484	0.0002612503	0.1	0.08578484	0.3274933	0.1	0.08578484	0.139289506	0.1	0.08578484	0.009385768	0.1	0.08578484	6.525422e-08	0.1
0.08979974	0.02469598	0.1	0.08979974	0.009254123	0.1	0.08979974	0.0002622427	0.1	0.08979974	0.3287378	0.1	0.08979974	0.139818605	0.1	0.08979974	0.009421421	0.1	0.08979974	6.55021e-08	0.1
0.09381464	0.021497870000000002	0.1	0.09381464	0.009284499	0.1	0.09381464	0.0002631035	0.1	0.09381464	0.3298173	0.1	0.09381464	0.140277568	0.1	0.09381464	0.009452346	0.1	0.09381464	6.57171e-08	0.1
0.09782955	0.018721475	0.1	0.09782955	0.009310869	0.1	0.09782955	0.0002638508	0.1	0.09782955	0.3307545	0.1	0.09782955	0.140676011	0.1	0.09782955	0.009479193	0.1	0.09782955	6.590375e-08	0.1
0.1018445	0.016309364	0.1	0.1018445	0.009333779	0.1	0.1018445	0.0002645	0.1	0.1018445	0.3315687	0.1	0.1018445	0.141022132	0.1	0.1018445	0.009502518	0.1	0.1018445	6.606592e-08	0.1
0.1058594	0.014212369999999998	0.1	0.1058594	0.009353697	0.1	0.1058594	0.0002650644	0.1	0.1058594	0.3322765	0.1	0.1058594	0.141323015	0.1	0.1058594	0.009522795	0.1	0.1058594	6.62069e-08	0.1
0.1098743	0.012388284999999999	0.1	0.1098743	0.009371022	0.1	0.1098743	0.0002655554	0.1	0.1098743	0.3328922	0.1	0.1098743	0.141584831	0.1	0.1098743	0.009540434	0.1	0.1098743	6.632953e-08	0.1
0.1138892	0.010800804	0.1	0.1138892	0.0093861	0.1	0.1138892	0.0002659827	0.1	0.1138892	0.333428	0.1	0.1138892	0.14181264300000002	0.1	0.1138892	0.009555784	0.1	0.1138892	6.643625e-08	0.1
