Batch	m_SP	2	R	W4_L	
2.487158000000e-13	9.822938769630e-06	1.000000000000e-01	2.487158000000e-13	1.769397600000e-07	1.000000000000e-01
6.133084000000e-13	9.569175307290e-06	1.000000000000e-01	6.133084000000e-13	4.306722100000e-07	1.000000000000e-01
1.397837000000e-12	9.045138547710e-06	1.000000000000e-01	1.397837000000e-12	9.546448000000e-07	1.000000000000e-01
2.824958000000e-12	8.164354355640e-06	1.000000000000e-01	2.824958000000e-12	1.835322800000e-06	1.000000000000e-01
4.863703000000e-12	7.052771471580e-06	1.000000000000e-01	4.863703000000e-12	2.946770600000e-06	1.000000000000e-01
6.210501000000e-12	6.402809971260e-06	1.000000000000e-01	6.210501000000e-12	3.596651900000e-06	1.000000000000e-01
7.807226000000e-12	5.709386905560e-06	1.000000000000e-01	7.807226000000e-12	4.289991600000e-06	1.000000000000e-01
9.778842000000e-12	4.955874440760e-06	1.000000000000e-01	9.778842000000e-12	5.043412200000e-06	1.000000000000e-01
1.337966000000e-11	3.826990729710e-06	1.000000000000e-01	1.337966000000e-11	6.172159000000e-06	1.000000000000e-01
1.698048000000e-11	2.955252447180e-06	1.000000000000e-01	1.698048000000e-11	7.043791000000e-06	1.000000000000e-01
2.058130000000e-11	2.282084178930e-06	1.000000000000e-01	2.058130000000e-11	7.716877000000e-06	1.000000000000e-01
2.418212000000e-11	1.762255377270e-06	1.000000000000e-01	2.418212000000e-11	8.236643000000e-06	1.000000000000e-01
2.778294000000e-11	1.360836391500e-06	1.000000000000e-01	2.778294000000e-11	8.638013000000e-06	1.000000000000e-01
3.138376000000e-11	1.050855491340e-06	1.000000000000e-01	3.138376000000e-11	8.947957000000e-06	1.000000000000e-01
3.498458000000e-11	8.114844850740e-07	1.000000000000e-01	3.498458000000e-11	9.187299000000e-06	1.000000000000e-01
3.888800000000e-11	6.131731682070e-07	1.000000000000e-01	3.888800000000e-11	9.385585000000e-06	1.000000000000e-01
4.324532000000e-11	4.484714152410e-07	1.000000000000e-01	4.324532000000e-11	9.550267000000e-06	1.000000000000e-01
4.760264000000e-11	3.280094198730e-07	1.000000000000e-01	4.760264000000e-11	9.670714000000e-06	1.000000000000e-01
5.195997000000e-11	2.399042009340e-07	1.000000000000e-01	5.195997000000e-11	9.758810000000e-06	1.000000000000e-01
5.687106000000e-11	1.686260137230e-07	1.000000000000e-01	5.687106000000e-11	9.830079000000e-06	1.000000000000e-01
6.215133000000e-11	1.154254457340e-07	1.000000000000e-01	6.215133000000e-11	9.883274000000e-06	1.000000000000e-01
