Batch	m_SP	2	Pr1	W1	
8.846673000000e+18	9.894404054970e-06	1.000000000000e-01	8.846673000000e+18	1.054300000000e-07	1.000000000000e-01
1.795153000000e+19	9.786991129110e-06	1.000000000000e-01	1.795153000000e+19	2.128450000000e-07	1.000000000000e-01
3.616124000000e+19	9.575653242510e-06	1.000000000000e-01	3.616124000000e+19	4.241893000000e-07	1.000000000000e-01
6.893871000000e+19	9.206676932310e-06	1.000000000000e-01	6.893871000000e+19	7.931749000000e-07	1.000000000000e-01
1.272098000000e+20	8.585474144400e-06	1.000000000000e-01	1.272098000000e+20	1.414394000000e-06	1.000000000000e-01
2.268482000000e+20	7.618823811000e-06	1.000000000000e-01	2.268482000000e+20	2.381071000000e-06	1.000000000000e-01
3.666859000000e+20	6.442908570270e-06	1.000000000000e-01	3.666859000000e+20	3.557018000000e-06	1.000000000000e-01
5.375832000000e+20	5.249341506060e-06	1.000000000000e-01	5.375832000000e+20	4.750617000000e-06	1.000000000000e-01
7.162455000000e+20	4.237258626990e-06	1.000000000000e-01	7.162455000000e+20	5.762727000000e-06	1.000000000000e-01
8.949078000000e+20	3.420306796590e-06	1.000000000000e-01	8.949078000000e+20	6.579701000000e-06	1.000000000000e-01
1.073570000000e+21	2.760865391070e-06	1.000000000000e-01	1.073570000000e+21	7.239160000000e-06	1.000000000000e-01
1.252232000000e+21	2.228564714130e-06	1.000000000000e-01	1.252232000000e+21	7.771475000000e-06	1.000000000000e-01
1.438056000000e+21	1.783516164660e-06	1.000000000000e-01	1.438056000000e+21	8.216536000000e-06	1.000000000000e-01
1.652525000000e+21	1.379159208270e-06	1.000000000000e-01	1.652525000000e+21	8.620903000000e-06	1.000000000000e-01
1.866994000000e+21	1.066478335110e-06	1.000000000000e-01	1.866994000000e+21	8.933593000000e-06	1.000000000000e-01
2.081463000000e+21	8.246875530420e-07	1.000000000000e-01	2.081463000000e+21	9.175390000000e-06	1.000000000000e-01
2.295932000000e+21	6.377154227820e-07	1.000000000000e-01	2.295932000000e+21	9.362367000000e-06	1.000000000000e-01
2.545092000000e+21	4.730453694990e-07	1.000000000000e-01	2.545092000000e+21	9.527042000000e-06	1.000000000000e-01
2.802924000000e+21	3.472667272980e-07	1.000000000000e-01	2.802924000000e+21	9.652824000000e-06	1.000000000000e-01
3.060757000000e+21	2.549315506590e-07	1.000000000000e-01	3.060757000000e+21	9.745161000000e-06	1.000000000000e-01
3.318589000000e+21	1.871475285060e-07	1.000000000000e-01	3.318589000000e+21	9.812947000000e-06	1.000000000000e-01
3.630515000000e+21	1.287600123870e-07	1.000000000000e-01	3.630515000000e+21	9.871336000000e-06	1.000000000000e-01
