Batch	m_SP	7	W4_L	R	W3	P1	P2_L	P3	P4											
6.235294e-07	0.287657	0.1	6.235294e-07	0.03362713	0.1	6.235294e-07	0.0004686831	0.1	6.235294e-07	0.1091688	0.1	6.235294e-07	0.17657001300000003	0.1	6.235294e-07	0.03610782	0.1	6.235294e-07	2.2216e-05	0.1
6.778909e-07	0.2630216	0.1	6.778909e-07	0.03479131	0.1	6.778909e-07	0.0004849103	0.1	6.778909e-07	0.1129629	0.1	6.778909e-07	0.182682972	0.1	6.778909e-07	0.03735789	0.1	6.778909e-07	2.298513e-05	0.1
7.476075e-07	0.2350477	0.1	7.476075e-07	0.03611327	0.1	7.476075e-07	0.0005033365	0.1	7.476075e-07	0.1172712	0.1	7.476075e-07	0.189624307	0.1	7.476075e-07	0.03877736	0.1	7.476075e-07	2.385849e-05	0.1
8.295252e-07	0.2065724	0.1	8.295252e-07	0.03745891	0.1	8.295252e-07	0.0005220929	0.1	8.295252e-07	0.1216567	0.1	8.295252e-07	0.196690092	0.1	8.295252e-07	0.04022228	0.1	8.295252e-07	2.47475e-05	0.1
9.19577e-07	0.1798099	0.1	9.19577e-07	0.03872362	0.1	9.19577e-07	0.0005397212	0.1	9.19577e-07	0.1257784	0.1	9.19577e-07	0.203330738	0.1	9.19577e-07	0.04158028	0.1	9.19577e-07	2.558304e-05	0.1
1.009629e-06	0.1569654	0.1	1.009629e-06	0.03980317	0.1	1.009629e-06	0.0005547687	0.1	1.009629e-06	0.1292967	0.1	1.009629e-06	0.208999363	0.1	1.009629e-06	0.04273947	0.1	1.009629e-06	2.629625e-05	0.1
1.099681e-06	0.1373609	0.1	1.099681e-06	0.04072961	0.1	1.099681e-06	0.000567682	0.1	1.099681e-06	0.132316	0.1	1.099681e-06	0.213863939	0.1	1.099681e-06	0.04373426	0.1	1.099681e-06	2.690832e-05	0.1
1.189733e-06	0.1204597	0.1	1.189733e-06	0.04152831	0.1	1.189733e-06	0.0005788147	0.1	1.189733e-06	0.134919	0.1	1.189733e-06	0.21805772	0.1	1.189733e-06	0.04459187	0.1	1.189733e-06	2.743598e-05	0.1
1.279784e-06	0.1058314	0.1	1.279784e-06	0.04221959	0.1	1.279784e-06	0.0005884503	0.1	1.279784e-06	0.1371719	0.1	1.279784e-06	0.22168754	0.1	1.279784e-06	0.04533415	0.1	1.279784e-06	2.789268e-05	0.1
1.369836e-06	0.093127	0.1	1.369836e-06	0.04281996	0.1	1.369836e-06	0.0005968185	0.1	1.369836e-06	0.1391285	0.1	1.369836e-06	0.2248399	0.1	1.369836e-06	0.04597881	0.1	1.369836e-06	2.828932e-05	0.1
1.459888e-06	0.0820608	0.1	1.459888e-06	0.04334291	0.1	1.459888e-06	0.0006041078	0.1	1.459888e-06	0.1408328	0.1	1.459888e-06	0.22758588000000002	0.1	1.459888e-06	0.04654034	0.1	1.459888e-06	2.863481e-05	0.1
1.54994e-06	0.0723966	0.1	1.54994e-06	0.04379961	0.1	1.54994e-06	0.0006104735	0.1	1.54994e-06	0.1423212	0.1	1.54994e-06	0.22998389	0.1	1.54994e-06	0.04703073	0.1	1.54994e-06	2.893653e-05	0.1
1.639992e-06	0.06393774	0.1	1.639992e-06	0.04419934	0.1	1.639992e-06	0.0006160453	0.1	1.639992e-06	0.143624	0.1	1.639992e-06	0.23208288	0.1	1.639992e-06	0.04745995	0.1	1.639992e-06	2.920062e-05	0.1
1.730043e-06	0.05651927	0.1	1.730043e-06	0.04454992	0.1	1.730043e-06	0.0006209318	0.1	1.730043e-06	0.1447665	0.1	1.730043e-06	0.23392363	0.1	1.730043e-06	0.04783639	0.1	1.730043e-06	2.943223e-05	0.1
1.820095e-06	0.05000195	0.1	1.820095e-06	0.0448579	0.1	1.820095e-06	0.0006252247	0.1	1.820095e-06	0.1457703	0.1	1.820095e-06	0.23554086000000002	0.1	1.820095e-06	0.04816709	0.1	1.820095e-06	2.96357e-05	0.1
1.910147e-06	0.04426762	0.1	1.910147e-06	0.04512889	0.1	1.910147e-06	0.0006290018	0.1	1.910147e-06	0.1466534	0.1	1.910147e-06	0.2369637	0.1	1.910147e-06	0.04845807	0.1	1.910147e-06	2.981473e-05	0.1
2.000199e-06	0.03921545	0.1	2.000199e-06	0.04536764	0.1	2.000199e-06	0.0006323297	0.1	2.000199e-06	0.1474315	0.1	2.000199e-06	0.23821733	0.1	2.000199e-06	0.04871443	0.1	2.000199e-06	2.997246e-05	0.1
2.090251e-06	0.03475905	0.1	2.090251e-06	0.04557823	0.1	2.090251e-06	0.0006352651	0.1	2.090251e-06	0.1481178	0.1	2.090251e-06	0.23932312	0.1	2.090251e-06	0.04894056	0.1	2.090251e-06	3.011159e-05	0.1
2.180303e-06	0.03082408	0.1	2.180303e-06	0.04576418	0.1	2.180303e-06	0.000637857	0.1	2.180303e-06	0.1487239	0.1	2.180303e-06	0.24029954	0.1	2.180303e-06	0.04914023	0.1	2.180303e-06	3.023444e-05	0.1
2.270354e-06	0.02734634	0.1	2.270354e-06	0.04592853	0.1	2.270354e-06	0.0006401478	0.1	2.270354e-06	0.1492595	0.1	2.270354e-06	0.24116252000000002	0.1	2.270354e-06	0.0493167	0.1	2.270354e-06	3.034302e-05	0.1
2.360406e-06	0.0242702	0.1	2.360406e-06	0.0460739	0.1	2.360406e-06	0.000642174	0.1	2.360406e-06	0.1497332	0.1	2.360406e-06	0.24192579	0.1	2.360406e-06	0.04947279	0.1	2.360406e-06	3.043906e-05	0.1
2.450458e-06	0.02154735	0.1	2.450458e-06	0.04620257	0.1	2.450458e-06	0.0006439675	0.1	2.450458e-06	0.1501526	0.1	2.450458e-06	0.2426014	0.1	2.450458e-06	0.04961096	0.1	2.450458e-06	3.052407e-05	0.1
2.54051e-06	0.01913567	0.1	2.54051e-06	0.04631654	0.1	2.54051e-06	0.0006455561	0.1	2.54051e-06	0.150524	0.1	2.54051e-06	0.24319986000000002	0.1	2.54051e-06	0.04973333	0.1	2.54051e-06	3.059936e-05	0.1
2.630562e-06	0.01699841	0.1	2.630562e-06	0.04641754	0.1	2.630562e-06	0.0006469639	0.1	2.630562e-06	0.1508532	0.1	2.630562e-06	0.24373016	0.1	2.630562e-06	0.04984178	0.1	2.630562e-06	3.066609e-05	0.1
2.720613e-06	0.01510339	0.1	2.720613e-06	0.04650709	0.1	2.720613e-06	0.0006482121	0.1	2.720613e-06	0.151145	0.1	2.720613e-06	0.24420039000000002	0.1	2.720613e-06	0.04993794	0.1	2.720613e-06	3.072525e-05	0.1
2.810665e-06	0.01342242	0.1	2.810665e-06	0.04658653	0.1	2.810665e-06	0.0006493193	0.1	2.810665e-06	0.1514039	0.1	2.810665e-06	0.24461756	0.1	2.810665e-06	0.05002324	0.1	2.810665e-06	3.077773e-05	0.1
2.900717e-06	0.01193073	0.1	2.900717e-06	0.04665702	0.1	2.900717e-06	0.0006503019	0.1	2.900717e-06	0.1516336	0.1	2.900717e-06	0.24498766	0.1	2.900717e-06	0.05009893	0.1	2.900717e-06	3.08243e-05	0.1
2.990769e-06	0.01060656	0.1	2.990769e-06	0.0467196	0.1	2.990769e-06	0.0006511741	0.1	2.990769e-06	0.1518376	0.1	2.990769e-06	0.24531624999999999	0.1	2.990769e-06	0.05016612	0.1	2.990769e-06	3.086564e-05	0.1
