Batch	m_SP	2	N7a_L	N1a_L	
0.0	1.0	0.1	0.0	0.0	0.1
4.851178e-14	0.9999999441511399	0.1	4.851178e-14	2.106123384e-11	0.1
3.131727e-13	0.9999994213864	0.1	3.131727e-13	1.3595504210000002e-10	0.1
6.745316e-13	0.9999987235962	0.1	6.745316e-13	2.9280453e-10	0.1
1.247384e-12	0.9999975884041999	0.1	1.247384e-12	5.41397731e-10	0.1
1.973926e-12	0.999996320362	0.1	1.973926e-12	8.56581467e-10	0.1
2.77111e-12	0.999994779574	0.1	2.77111e-12	1.2022716999999997e-09	0.1
3.697173e-12	0.9999930655010001	0.1	3.697173e-12	1.60365984e-09	0.1
4.964141e-12	0.999990701213	0.1	4.964141e-12	2.15246948e-09	0.1
6.76025e-12	0.9999873679069999	0.1	6.76025e-12	2.9297880500000003e-09	0.1
9.25929e-12	0.99998269824	0.1	9.25929e-12	4.00990077e-09	0.1
1.26143e-11	0.999976541459	0.1	1.26143e-11	5.4572342e-09	0.1
1.696949e-11	0.999968423412	0.1	1.696949e-11	7.3310854e-09	0.1
2.132467e-11	0.99996037255	0.1	2.132467e-11	9.1990007e-09	0.1
2.586636e-11	0.9999518990340001	0.1	2.586636e-11	1.1140225e-08	0.1
3.115406e-11	0.9999420977539999	0.1	3.115406e-11	1.3391258699999999e-08	0.1
3.73715e-11	0.999930569552	0.1	3.73715e-11	1.6024971799999997e-08	0.1
4.455238e-11	0.9999172233689999	0.1	4.455238e-11	1.90482136e-08	0.1
5.282977e-11	0.999901884357	0.1	5.282977e-11	2.25070153e-08	0.1
6.409805e-11	0.999880877537	0.1	6.409805e-11	2.71681673e-08	0.1
7.781901e-11	0.999855445578	0.1	7.781901e-11	3.2765738999999997e-08	0.1
9.317509e-11	0.9998269128220001	0.1	9.317509e-11	3.89229674e-08	0.1
1.085312e-10	0.99979841045	0.1	1.085312e-10	4.49613961e-08	0.1
1.269718e-10	0.9997641241949999	0.1	1.269718e-10	5.20496889e-08	0.1
1.454124e-10	0.9997299572659999	0.1	1.454124e-10	5.89549471e-08	0.1
1.638529e-10	0.999695716581	0.1	1.638529e-10	6.56734248e-08	0.1
1.822935e-10	0.999661432078	0.1	1.822935e-10	7.22029322e-08	0.1
2.045036e-10	0.9996202476470001	0.1	2.045036e-10	7.981503250000002e-08	0.1
2.267136e-10	0.999578950352	0.1	2.267136e-10	8.71520091e-08	0.1
2.489236e-10	0.999537668151	0.1	2.489236e-10	9.421596820000001e-08	0.1
2.73893e-10	0.9994913660010001	0.1	2.73893e-10	1.018359437e-07	0.1
3.007019e-10	0.9994415498979999	0.1	3.007019e-10	1.0964571940000001e-07	0.1
3.275108e-10	0.99939174983	0.1	3.275108e-10	1.1708055459999998e-07	0.1
3.587045e-10	0.999333832776	0.1	3.587045e-10	1.2527449729999998e-07	0.1
3.909945e-10	0.999273954732	0.1	3.909945e-10	1.332585165e-07	0.1
4.260023e-10	0.999208959687	0.1	4.260023e-10	1.413684614e-07	0.1
4.650869e-10	0.999136309631	0.1	4.650869e-10	1.497872097e-07	0.1
5.075677e-10	0.999057533559	0.1	5.075677e-10	1.582239301e-07	0.1
5.55143e-10	0.99896914746	0.1	5.55143e-10	1.668534573e-07	0.1
6.090034e-10	0.998869200325	0.1	6.090034e-10	1.756655783e-07	0.1
6.695334e-10	0.998756859144	0.1	6.695334e-10	1.8447269279999997e-07	0.1
7.399813e-10	0.9986261889	0.1	7.399813e-10	1.9342667189999998e-07	0.1
8.247918e-10	0.998468755565	0.1	8.247918e-10	2.0260330049999998e-07	0.1
9.249064e-10	0.998283149122	0.1	9.249064e-10	2.1154064430000002e-07	0.1
1.042591e-09	0.99806495355	0.1	1.042591e-09	2.199171122e-07	0.1
1.211412e-09	0.997752000659	0.1	1.211412e-09	2.288635225e-07	0.1
1.440183e-09	0.997328346369	0.1	1.440183e-09	2.3696215989999995e-07	0.1
1.732836e-09	0.996786970645	0.1	1.732836e-09	2.43180616e-07	0.1
2.121156e-09	0.996069619314	0.1	2.121156e-09	2.476987252e-07	0.1
2.575874e-09	0.995231144589	0.1	2.575874e-09	2.506851489e-07	0.1
3.099356e-09	0.994268241501	0.1	3.099356e-09	2.531821883e-07	0.1
3.701087e-09	0.9931647690380001	0.1	3.701087e-09	2.5599408459999997e-07	0.1
4.524358e-09	0.9916613394589999	0.1	4.524358e-09	2.604879658e-07	0.1
5.587823e-09	0.9897312008260001	0.1	5.587823e-09	2.677467785e-07	0.1
6.976288e-09	0.987234311946	0.1	6.976288e-09	2.797345698e-07	0.1
9.024236e-09	0.983605651771	0.1	9.024236e-09	3.02322338e-07	0.1
1.18286e-08	0.9787591310379999	0.1	1.18286e-08	3.41719332e-07	0.1
1.482208e-08	0.9737664937960001	0.1	1.482208e-08	3.9267644e-07	0.1
1.781555e-08	0.9689843286609999	0.1	1.781555e-08	4.50428342e-07	0.1
2.100315e-08	0.964145064132	0.1	2.100315e-08	5.16576598e-07	0.1
2.338162e-08	0.960713939228	0.1	2.338162e-08	5.67361285e-07	0.1
2.615649e-08	0.9569118739760001	0.1	2.615649e-08	6.265269710000001e-07	0.1
