Batch	m_SP	16	T4a_L	C5H5	N1a	N1b	N1c	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	N7a	N7c	N7b																													
0.0	1.0000000500000001	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
6.825344e-14	0.9999999199999999	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1	6.825344e-14	0.0	0.1
7.862212e-13	1.00000007	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1	7.862212e-13	0.0	0.1
2.737362e-12	0.99999996	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1	2.737362e-12	0.0	0.1
6.136291e-12	1.00000003	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1	6.136291e-12	0.0	0.1
1.267797e-11	1.00000005	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1	1.267797e-11	0.0	0.1
1.992839e-11	1.00000004	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1	1.992839e-11	0.0	0.1
3.002295e-11	0.9999999900000001	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1	3.002295e-11	0.0	0.1
4.725586e-11	1.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1	4.725586e-11	0.0	0.1
7.597738e-11	0.99999993	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1	7.597738e-11	0.0	0.1
1.125095e-10	1.0000000299999998	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1	1.125095e-10	0.0	0.1
1.556772e-10	1.00000001	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1	1.556772e-10	0.0	0.1
2.058692e-10	0.99999982	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1	2.058692e-10	0.0	0.1
