	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
700 0.00040 0.00792 0.50816 0.29291 0.17982 0.01079
800 0.00091 0.01444 0.47272 0.29726 0.19576 0.01891
1000 0.00283 0.03218 0.41594 0.29497 0.21401 0.04007
1100 0.00421 0.04238 0.39257 0.29065 0.21831 0.05187
1300 0.00763 0.06323 0.35331 0.27924 0.22106 0.07553
1400 0.00956 0.07331 0.33680 0.27300 0.22055 0.08680
1600 0.01364 0.09198 0.30881 0.26061 0.21749 0.10747
1800 0.01776 0.10831 0.28627 0.24912 0.21309 0.12544
1900 0.01974 0.11560 0.27666 0.24383 0.21071 0.13345
