Batch	m_SP	7	P1	W4_L	W3	R	P2_L	P3	P4											
9.132317e-07	9.9999e-06	0.1	9.132317e-07	1.966086e-15	0.1	9.132317e-07	3.607912e-15	0.1	9.132317e-07	6.068341e-16	0.1	9.132317e-07	1.43933901e-14	0.1	9.132317e-07	7.069628e-16	0.1	9.132317e-07	5.454612e-16	0.1
4.795287e-06	9.9999e-06	0.1	4.795287e-06	8.840265e-15	0.1	4.795287e-06	1.79001e-14	0.1	4.795287e-06	3.269078e-15	0.1	4.795287e-06	7.624477899999999e-14	0.1	4.795287e-06	3.794242e-15	0.1	4.795287e-06	2.978665e-15	0.1
3.060414e-05	9.99989900001e-06	0.1	3.060414e-05	2.38312e-14	0.1	3.060414e-05	7.787121e-14	0.1	3.060414e-05	2.267404e-14	0.1	3.060414e-05	5.01181224e-13	0.1	3.060414e-05	2.601349e-14	0.1	3.060414e-05	2.295656e-14	0.1
0.0002625678	9.99989500005e-06	0.1	0.0002625678	2.545121e-14	0.1	0.0002625678	1.307666e-13	0.1	0.0002625678	2.046922e-13	0.1	0.0002625678	4.38159614e-12	0.1	0.0002625678	2.332995e-13	0.1	0.0002625678	2.5519e-13	0.1
0.001084262	9.999879000210001e-06	0.1	0.001084262	2.539873e-14	0.1	0.001084262	1.275128e-13	0.1	0.001084262	8.499057e-13	0.1	0.001084262	1.8130826700000002e-11	0.1	0.001084262	9.680298e-13	0.1	0.001084262	1.09849e-12	0.1
0.003474643	9.999832000680001e-06	0.1	0.003474643	2.539904e-14	0.1	0.003474643	1.275025e-13	0.1	0.003474643	2.726912e-12	0.1	0.003474643	5.81279299e-11	0.1	0.003474643	3.105419e-12	0.1	0.003474643	3.550695e-12	0.1
0.01184098	9.999669002310002e-06	0.1	0.01184098	2.540352e-14	0.1	0.01184098	1.275006e-13	0.1	0.01184098	9.297942e-12	0.1	0.01184098	1.98100193e-10	0.1	0.01184098	1.058675e-11	0.1	0.01184098	1.213332e-11	0.1
0.03790483	9.999163007370001e-06	0.1	0.03790483	2.545485e-14	0.1	0.03790483	1.27496e-13	0.1	0.03790483	2.98216e-11	0.1	0.03790483	6.33600295e-10	0.1	0.03790483	3.391125e-11	0.1	0.03790483	3.887024e-11	0.1
0.1032231	9.99790301997e-06	0.1	0.1032231	2.583262e-14	0.1	0.1032231	1.274935e-13	0.1	0.1032231	8.219303e-11	0.1	0.1032231	1.71535851e-09	0.1	0.1032231	9.268098e-11	0.1	0.1032231	1.058733e-10	0.1
0.2074702	9.995947039530002e-06	0.1	0.2074702	2.709756e-14	0.1	0.2074702	1.275141e-13	0.1	0.2074702	1.719428e-10	0.1	0.2074702	3.3791621600000003e-09	0.1	0.2074702	1.884472e-10	0.1	0.2074702	2.128157e-10	0.1
0.3656263	9.993204066960001e-06	0.1	0.3656263	3.018793e-14	0.1	0.3656263	1.275935e-13	0.1	0.3656263	3.338237e-10	0.1	0.3656263	5.6460138299999995e-09	0.1	0.3656263	3.403838e-10	0.1	0.3656263	3.751063e-10	0.1
0.580041	9.990073098270002e-06	0.1	0.580041	3.529609e-14	0.1	0.580041	1.277562e-13	0.1	0.580041	6.215719e-10	0.1	0.580041	8.0553631e-09	0.1	0.580041	5.546516e-10	0.1	0.580041	5.951823e-10	0.1
0.8498258	9.98710612794e-06	0.1	0.8498258	4.100312e-14	0.1	0.8498258	1.279857e-13	0.1	0.8498258	1.099307e-09	0.1	0.8498258	1.0012586099999999e-08	0.1	0.8498258	8.097686e-10	0.1	0.8498258	8.717711e-10	0.1
1.175148	9.98460115299e-06	0.1	1.175148	4.549469e-14	0.1	1.175148	1.282538e-13	0.1	1.175148	1.802985e-09	0.1	1.175148	1.1238932e-08	0.1	1.175148	1.053187e-09	0.1	1.175148	1.203618e-09	0.1
1.574969	9.98241417486e-06	0.1	1.574969	4.829784e-14	0.1	1.574969	1.285827e-13	0.1	1.574969	2.760026e-09	0.1	1.574969	1.18732541e-08	0.1	1.574969	1.245129e-09	0.1	1.574969	1.606652e-09	0.1
2.070749	9.980316195840001e-06	0.1	2.070749	4.986963e-14	0.1	2.070749	1.290384e-13	0.1	2.070749	3.958903e-09	0.1	2.070749	1.21573705e-08	0.1	2.070749	1.371853e-09	0.1	2.070749	2.095474e-09	0.1
2.630503	9.97831321587e-06	0.1	2.630503	5.0852e-14	0.1	2.630503	1.29647e-13	0.1	2.630503	5.222408e-09	0.1	2.630503	1.2290439e-08	0.1	2.630503	1.445294e-09	0.1	2.630503	2.628336e-09	0.1
3.31631	9.97618923711e-06	0.1	3.31631	5.180701e-14	0.1	3.31631	1.305222e-13	0.1	3.31631	6.564314e-09	0.1	3.31631	1.23974223e-08	0.1	3.31631	1.500908e-09	0.1	3.31631	3.247653e-09	0.1
4.132278	9.97407425826e-06	0.1	4.132278	5.283787e-14	0.1	4.132278	1.316995e-13	0.1	4.132278	7.836356e-09	0.1	4.132278	1.25078803e-08	0.1	4.132278	1.552639e-09	0.1	4.132278	3.928892e-09	0.1
5.132752	9.972039278610001e-06	0.1	5.132752	5.391744e-14	0.1	5.132752	1.332428e-13	0.1	5.132752	8.958754e-09	0.1	5.132752	1.26231604e-08	0.1	5.132752	1.604959e-09	0.1	5.132752	4.673499e-09	0.1
6.294016	9.97032429576e-06	0.1	6.294016	5.483673e-14	0.1	6.294016	1.350262e-13	0.1	6.294016	9.794987e-09	0.1	6.294016	1.27223501e-08	0.1	6.294016	1.649926e-09	0.1	6.294016	5.408462e-09	0.1
7.744542	9.96889531005e-06	0.1	7.744542	5.554446e-14	0.1	7.744542	1.370563e-13	0.1	7.744542	1.03802e-08	0.1	7.744542	1.27993129e-08	0.1	7.744542	1.684893e-09	0.1	7.744542	6.140212e-09	0.1
9.361111	9.96790931991e-06	0.1	9.361111	5.59523e-14	0.1	9.361111	1.389203e-13	0.1	9.361111	1.069812e-08	0.1	9.361111	1.2843978999999999e-08	0.1	9.361111	1.705185e-09	0.1	9.361111	6.743562e-09	0.1
12.27894	9.966993329070002e-06	0.1	12.27894	5.622118e-14	0.1	12.27894	1.41192e-13	0.1	12.27894	1.090016e-08	0.1	12.27894	1.28736431e-08	0.1	12.27894	1.718646e-09	0.1	12.27894	7.413717e-09	0.1
15.33338	9.966587333130001e-06	0.1	15.33338	5.628866e-14	0.1	15.33338	1.424489e-13	0.1	15.33338	1.094947e-08	0.1	15.33338	1.28812037e-08	0.1	15.33338	1.722061e-09	0.1	15.33338	7.759953e-09	0.1
17.69252	9.9664403346e-06	0.1	17.69252	5.630242e-14	0.1	17.69252	1.429546e-13	0.1	17.69252	1.095933e-08	0.1	17.69252	1.2882775e-08	0.1	17.69252	1.722769e-09	0.1	17.69252	7.895087e-09	0.1
20.71505	9.966347335530001e-06	0.1	20.71505	5.63076e-14	0.1	20.71505	1.432894e-13	0.1	20.71505	1.096293e-08	0.1	20.71505	1.28833828e-08	0.1	20.71505	1.723043e-09	0.1	20.71505	7.983272e-09	0.1
