Batch	m_SP	5	Pr2	W1	W2	Pr1	Pr3							
0.0	9.9999e-06	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
0.0001509393	9.99989700003e-06	0.1	0.0001509393	2.421255e-12	0.1	0.0001509393	1.764975e-16	0.1	0.0001509393	8.229849e-14	0.1	0.0001509393	3.951056e-14	0.1
0.001164054	9.999882000180001e-06	0.1	0.001164054	1.473972e-11	0.1	0.001164054	9.966715e-16	0.1	0.001164054	2.442518e-12	0.1	0.001164054	8.037404e-13	0.1
0.003831507	9.99984900051e-06	0.1	0.003831507	2.788489e-11	0.1	0.003831507	1.871889e-15	0.1	0.003831507	1.752213e-11	0.1	0.003831507	5.262988e-12	0.1
0.006849914	9.999817000830001e-06	0.1	0.006849914	3.133262e-11	0.1	0.006849914	2.101444e-15	0.1	0.006849914	3.983835e-11	0.1	0.006849914	1.175756e-11	0.1
0.01096171	9.99977500125e-06	0.1	0.01096171	3.211118e-11	0.1	0.01096171	2.15329e-15	0.1	0.01096171	7.20417e-11	0.1	0.01096171	2.109683e-11	0.1
0.01761577	9.99970700193e-06	0.1	0.01761577	3.221656e-11	0.1	0.01761577	2.160331e-15	0.1	0.01761577	1.246984e-10	0.1	0.01761577	3.633429e-11	0.1
0.03036289	9.999577003230001e-06	0.1	0.03036289	3.224413e-11	0.1	0.03036289	2.162248e-15	0.1	0.03036289	2.257251e-10	0.1	0.03036289	6.540818e-11	0.1
0.05904392	9.999284006160002e-06	0.1	0.05904392	3.23881e-11	0.1	0.05904392	2.172179e-15	0.1	0.05904392	4.536566e-10	0.1	0.05904392	1.295665e-10	0.1
0.1227795	9.998640012600002e-06	0.1	0.1227795	3.299083e-11	0.1	0.1227795	2.213725e-15	0.1	0.1227795	9.661603e-10	0.1	0.1227795	2.605699e-10	0.1
0.2117708	9.997759021410002e-06	0.1	0.2117708	3.412772e-11	0.1	0.2117708	2.292048e-15	0.1	0.2117708	1.702739e-09	0.1	0.2117708	4.036808e-10	0.1
0.2841599	9.9970600284e-06	0.1	0.2841599	3.498195e-11	0.1	0.2841599	2.350887e-15	0.1	0.2841599	2.321388e-09	0.1	0.2841599	4.834957e-10	0.1
0.4128063	9.995847040530002e-06	0.1	0.4128063	3.599062e-11	0.1	0.4128063	2.420354e-15	0.1	0.4128063	3.454057e-09	0.1	0.4128063	5.632568e-10	0.1
0.639289	9.993756061440001e-06	0.1	0.639289	3.663115e-11	0.1	0.639289	2.464472e-15	0.1	0.639289	5.499055e-09	0.1	0.639289	6.085844e-10	0.1
0.8657716	9.991682082180001e-06	0.1	0.8657716	3.675652e-11	0.1	0.8657716	2.473117e-15	0.1	0.8657716	7.563356e-09	0.1	0.8657716	6.173883e-10	0.1
1.139974	9.98917710723e-06	0.1	1.139974	3.67741e-11	0.1	1.139974	2.474343e-15	0.1	1.139974	1.006687e-08	0.1	1.139974	6.191057e-10	0.1
1.542426	9.98550314397e-06	0.1	1.542426	3.676438e-11	0.1	1.542426	2.473697e-15	0.1	1.542426	1.374146e-08	0.1	1.542426	6.192432e-10	0.1
2.237649	9.97915820742e-06	0.1	2.237649	3.67412e-11	0.1	2.237649	2.472145e-15	0.1	2.237649	2.008625e-08	0.1	2.237649	6.19056e-10	0.1
3.454288	9.968065318350001e-06	0.1	3.454288	3.670063e-11	0.1	3.454288	2.469432e-15	0.1	3.454288	3.117991e-08	0.1	3.454288	6.187259e-10	0.1
5.887567	9.9459145452485e-06	0.1	5.887567	3.661946e-11	0.1	5.887567	2.464029e-15	0.1	5.887567	5.333012e-08	0.1	5.887567	6.180423e-10	0.1
10.27992	9.9060579478042e-06	0.1	10.27992	3.64741e-11	0.1	10.27992	2.454428e-15	0.1	10.27992	9.318858e-08	0.1	10.27992	6.167952e-10	0.1
19.28564	9.8248417855916e-06	0.1	19.28564	3.617928e-11	0.1	19.28564	2.435259e-15	0.1	19.28564	1.74407e-07	0.1	19.28564	6.14311e-10	0.1
42.10963	9.6220429297128e-06	0.1	42.10963	3.54553e-11	0.1	42.10963	2.389987e-15	0.1	42.10963	3.772135e-07	0.1	42.10963	6.081374e-10	0.1
76.17876	9.32740019575e-06	0.1	76.17876	3.443318e-11	0.1	76.17876	2.330719e-15	0.1	76.17876	6.718662e-07	0.1	76.17876	5.993193e-10	0.1
136.6085	8.828411120687999e-06	0.1	136.6085	3.278252e-11	0.1	136.6085	2.247934e-15	0.1	136.6085	1.170872e-06	0.1	136.6085	5.848151e-10	0.1
221.2101	8.179778477474999e-06	0.1	221.2101	3.078785e-11	0.1	221.2101	2.173376e-15	0.1	221.2101	1.819527e-06	0.1	221.2101	5.668278e-10	0.1
281.6398	7.751212434054601e-06	0.1	281.6398	2.956359e-11	0.1	281.6398	2.144614e-15	0.1	281.6398	2.248107e-06	0.1	281.6398	5.555232e-10	0.1
361.9549	7.2247455220736e-06	0.1	361.9549	2.816166e-11	0.1	361.9549	2.131608e-15	0.1	361.9549	2.774592e-06	0.1	361.9549	5.423173e-10	0.1
486.8536	6.4984242700880004e-06	0.1	486.8536	2.641215e-11	0.1	486.8536	2.154072e-15	0.1	486.8536	3.500937e-06	0.1	486.8536	5.25429e-10	0.1
622.8982	5.824518290665801e-06	0.1	622.8982	2.498033e-11	0.1	622.8982	2.216817e-15	0.1	622.8982	4.174862e-06	0.1	622.8982	5.112601e-10	0.1
758.9429	5.2590716905097e-06	0.1	758.9429	2.392112e-11	0.1	758.9429	2.300583e-15	0.1	758.9429	4.740326e-06	0.1	758.9429	5.005787e-10	0.1
894.9875	4.7879282223848e-06	0.1	894.9875	2.313765e-11	0.1	894.9875	2.392066e-15	0.1	894.9875	5.211483e-06	0.1	894.9875	4.925756e-10	0.1
1036.659	4.3830506233435995e-06	0.1	1036.659	2.253633e-11	0.1	1036.659	2.486431e-15	0.1	1036.659	5.616372e-06	0.1	1036.659	4.863825e-10	0.1
1200.84	4.005337913568e-06	0.1	1200.84	2.203533e-11	0.1	1200.84	2.587591e-15	0.1	1200.84	5.994094e-06	0.1	1200.84	4.811986e-10	0.1
1376.023	3.6903928456161e-06	0.1	1376.023	2.166184e-11	0.1	1376.023	2.681628e-15	0.1	1376.023	6.309048e-06	0.1	1376.023	4.773278e-10	0.1
