Batch	m_SP	7	P3	R	W4_L	W3	P1	P2_L	P4											
6.636385e-13	9.894192057090001e-06	0.1	6.636385e-13	6.787626e-09	0.1	6.636385e-13	6.837905e-08	0.1	6.636385e-13	7.893761e-11	0.1	6.636385e-13	6.837905e-09	0.1	6.636385e-13	2.3550547e-08	0.1	6.636385e-13	1.387692e-11	0.1
2.275948e-12	9.64200557898e-06	0.1	2.275948e-12	2.298075e-08	0.1	2.275948e-12	2.315098e-07	0.1	2.275948e-12	2.67258e-10	0.1	2.275948e-12	2.315098e-08	0.1	2.275948e-12	7.973470099999999e-08	0.1	2.275948e-12	4.698288e-11	0.1
4.908956e-12	9.2439136355293e-06	0.1	4.908956e-12	4.854259e-08	0.1	4.908956e-12	4.890216e-07	0.1	4.908956e-12	5.645339e-10	0.1	4.908956e-12	4.890218e-08	0.1	4.908956e-12	1.6842477000000001e-07	0.1	4.908956e-12	9.924267e-11	0.1
8.495305e-12	8.727990973584e-06	0.1	8.495305e-12	8.167048e-08	0.1	8.495305e-12	8.227543e-07	0.1	8.495305e-12	9.49802e-10	0.1	8.495305e-12	8.227549e-08	0.1	8.495305e-12	2.8336631000000004e-07	0.1	8.495305e-12	1.669709e-10	0.1
1.447255e-11	7.931311306652098e-06	0.1	1.447255e-11	1.328261e-07	0.1	1.447255e-11	1.338099e-06	0.1	1.447255e-11	1.544731e-09	0.1	1.447255e-11	1.338101e-07	0.1	1.447255e-11	4.6085731e-07	0.1	1.447255e-11	2.715559e-10	0.1
2.527338e-11	6.671596614673601e-06	0.1	2.527338e-11	2.137138e-07	0.1	2.527338e-11	2.152967e-06	0.1	2.527338e-11	2.485449e-09	0.1	2.527338e-11	2.152972e-07	0.1	2.527338e-11	7.4150748e-07	0.1	2.527338e-11	4.369268e-10	0.1
3.726709e-11	5.505776638149e-06	0.1	3.726709e-11	2.885724e-07	0.1	3.726709e-11	2.907097e-06	0.1	3.726709e-11	3.356066e-09	0.1	3.726709e-11	2.907106e-07	0.1	3.726709e-11	1.0012391e-06	0.1	3.726709e-11	5.899719e-10	0.1
5.10501e-11	4.415333755423299e-06	0.1	5.10501e-11	3.58591e-07	0.1	5.10501e-11	3.612468e-06	0.1	5.10501e-11	4.170415e-09	0.1	5.10501e-11	3.612485e-07	0.1	5.10501e-11	1.2441780000000001e-06	0.1	5.10501e-11	7.331224e-10	0.1
6.483312e-11	3.5408577583232004e-06	0.1	6.483312e-11	4.147422e-07	0.1	6.483312e-11	4.178138e-06	0.1	6.483312e-11	4.823501e-09	0.1	6.483312e-11	4.178162e-07	0.1	6.483312e-11	1.4390010999999999e-06	0.1	6.483312e-11	8.479217e-10	0.1
7.861614e-11	2.8395760482837e-06	0.1	7.861614e-11	4.597725e-07	0.1	7.861614e-11	4.631775e-06	0.1	7.861614e-11	5.347265e-09	0.1	7.861614e-11	4.631808e-07	0.1	7.861614e-11	1.5952395e-06	0.1	7.861614e-11	9.39985e-10	0.1
9.239916e-11	2.2771859506790003e-06	0.1	9.239916e-11	4.958844e-07	0.1	9.239916e-11	4.995566e-06	0.1	9.239916e-11	5.767318e-09	0.1	9.239916e-11	4.99561e-07	0.1	9.239916e-11	1.7205342e-06	0.1	9.239916e-11	1.013815e-09	0.1
1.061822e-10	1.8261797291799998e-06	0.1	1.061822e-10	5.248442e-07	0.1	1.061822e-10	5.287308e-06	0.1	1.061822e-10	6.1042e-09	0.1	1.061822e-10	5.287361e-07	0.1	1.061822e-10	1.8210139e-06	0.1	1.061822e-10	1.073023e-09	0.1
1.228004e-10	1.3994934654500998e-06	0.1	1.228004e-10	5.522424e-07	0.1	1.228004e-10	5.563317e-06	0.1	1.228004e-10	6.422947e-09	0.1	1.228004e-10	5.563384e-07	0.1	1.228004e-10	1.9160756e-06	0.1	1.228004e-10	1.129039e-09	0.1
1.394186e-10	1.072502987832e-06	0.1	1.394186e-10	5.732391e-07	0.1	1.394186e-10	5.774837e-06	0.1	1.394186e-10	6.667252e-09	0.1	1.394186e-10	5.774918e-07	0.1	1.394186e-10	1.9889263999999998e-06	0.1	1.394186e-10	1.171967e-09	0.1
1.560368e-10	8.219130944702401e-07	0.1	1.560368e-10	5.893299e-07	0.1	1.560368e-10	5.936936e-06	0.1	1.560368e-10	6.854507e-09	0.1	1.560368e-10	5.93703e-07	0.1	1.560368e-10	2.0447556e-06	0.1	1.560368e-10	1.204865e-09	0.1
1.726551e-10	6.2987374533504e-07	0.1	1.726551e-10	6.016612e-07	0.1	1.726551e-10	6.06116e-06	0.1	1.726551e-10	6.998043e-09	0.1	1.726551e-10	6.061269e-07	0.1	1.726551e-10	2.0875403e-06	0.1	1.726551e-10	1.230077e-09	0.1
1.913563e-10	4.6686847101456003e-07	0.1	1.913563e-10	6.121281e-07	0.1	1.913563e-10	6.166603e-06	0.1	1.913563e-10	7.119916e-09	0.1	1.913563e-10	6.166728e-07	0.1	1.913563e-10	2.123856e-06	0.1	1.913563e-10	1.251477e-09	0.1
2.114463e-10	3.3843700946304e-07	0.1	2.114463e-10	6.203751e-07	0.1	2.114463e-10	6.249681e-06	0.1	2.114463e-10	7.215985e-09	0.1	2.114463e-10	6.249824e-07	0.1	2.114463e-10	2.1524698000000003e-06	0.1	2.114463e-10	1.268339e-09	0.1
2.315362e-10	2.4533592767269e-07	0.1	2.315362e-10	6.263533e-07	0.1	2.315362e-10	6.309906e-06	0.1	2.315362e-10	7.285671e-09	0.1	2.315362e-10	6.310065e-07	0.1	2.315362e-10	2.1732127e-06	0.1	2.315362e-10	1.280562e-09	0.1
2.516262e-10	1.7784629031420998e-07	0.1	2.516262e-10	6.306871e-07	0.1	2.516262e-10	6.353563e-06	0.1	2.516262e-10	7.336234e-09	0.1	2.516262e-10	6.35374e-07	0.1	2.516262e-10	2.1882487e-06	0.1	2.516262e-10	1.289423e-09	0.1
2.758419e-10	1.2068003630017997e-07	0.1	2.758419e-10	6.343579e-07	0.1	2.758419e-10	6.390542e-06	0.1	2.758419e-10	7.379122e-09	0.1	2.758419e-10	6.39074e-07	0.1	2.758419e-10	2.2009851e-06	0.1	2.758419e-10	1.296929e-09	0.1
