	T[K]	N7a	N7b	N7c
600 0.03149 0.15794 0.80563
700 0.03779 0.17273 0.78459
800 0.04509 0.19445 0.75561
900 0.05096 0.21059 0.73361
1000 0.05582 0.22178 0.71759
1100 0.05929 0.22619 0.70839
1200 0.06292 0.23031 0.70064
1300 0.06609 0.23203 0.69574
1400 0.06871 0.23165 0.69350
1500 0.07067 0.22954 0.69365
1600 0.07220 0.22722 0.69461
1700 0.07255 0.22239 0.69906
1800 0.07226 0.21683 0.70488
1900 0.07214 0.21339 0.70885
2000 0.07137 0.20802 0.71502
