Batch	m_SP	21	N1a_L	C5H5	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h	N7a	N7c	N7b																																							
1.560233e-11	9.7240685422936e-06	0.1	1.560233e-11	1.353838e-07	0.1	1.560233e-11	4.186468e-09	0.1	1.560233e-11	2.798441e-08	0.1	1.560233e-11	4.30311e-08	0.1	1.560233e-11	4.863309e-08	0.1	1.560233e-11	4.440454e-08	0.1	1.560233e-11	3.974425e-08	0.1	1.560233e-11	1.325352e-11	0.1	1.560233e-11	4.518409e-11	0.1	1.560233e-11	1.231745e-12	0.1	1.560233e-11	1.452817e-12	0.1	1.560233e-11	3.2461e-13	0.1	1.560233e-11	5.263344e-14	0.1	1.560233e-11	1.972046e-14	0.1	1.560233e-11	1.314535e-12	0.1	1.560233e-11	1.731909e-14	0.1	1.560233e-11	5.575601e-15	0.1	1.560233e-11	5.65948e-19	0.1	1.560233e-11	8.609321e-18	0.1	1.560233e-11	1.921397e-18	0.1
3.332623e-11	9.420073652713702e-06	0.1	3.332623e-11	2.845703e-07	0.1	3.332623e-11	8.774329e-09	0.1	3.332623e-11	5.857515e-08	0.1	3.332623e-11	9.0843e-08	0.1	3.332623e-11	1.025476e-07	0.1	3.332623e-11	9.340504e-08	0.1	3.332623e-11	8.317902e-08	0.1	3.332623e-11	2.785959e-11	0.1	3.332623e-11	9.498765e-11	0.1	3.332623e-11	2.585639e-12	0.1	3.332623e-11	3.061711e-12	0.1	3.332623e-11	6.82672e-13	0.1	3.332623e-11	1.106523e-13	0.1	3.332623e-11	4.159727e-14	0.1	3.332623e-11	2.763095e-12	0.1	3.332623e-11	3.637707e-14	0.1	3.332623e-11	1.162747e-14	0.1	3.332623e-11	2.536119e-18	0.1	3.332623e-11	3.829291e-17	0.1	3.332623e-11	8.610946e-18	0.1
7.45899e-11	8.748708397614201e-06	0.1	7.45899e-11	6.137591e-07	0.1	7.45899e-11	1.879526e-08	0.1	7.45899e-11	1.25097e-07	0.1	7.45899e-11	1.979054e-07	0.1	7.45899e-11	2.2278e-07	0.1	7.45899e-11	2.017973e-07	0.1	7.45899e-11	1.775837e-07	0.1	7.45899e-11	6.009298e-11	0.1	7.45899e-11	2.049316e-10	0.1	7.45899e-11	5.559372e-12	0.1	7.45899e-11	6.643695e-12	0.1	7.45899e-11	1.474194e-12	0.1	7.45899e-11	2.387507e-13	0.1	7.45899e-11	9.044969e-14	0.1	7.45899e-11	5.959479e-12	0.1	7.45899e-11	7.832162e-14	0.1	7.45899e-11	2.461781e-14	0.1	7.45899e-11	1.218625e-17	0.1	7.45899e-11	1.808555e-16	0.1	7.45899e-11	4.138538e-17	0.1
1.488645e-10	7.658735226804199e-06	0.1	1.488645e-10	1.147323e-06	0.1	1.488645e-10	3.469097e-08	0.1	1.488645e-10	2.297003e-07	0.1	1.488645e-10	3.765889e-07	0.1	1.488645e-10	4.217405e-07	0.1	1.488645e-10	3.78355e-07	0.1	1.488645e-10	3.258541e-07	0.1	1.488645e-10	1.123461e-10	0.1	1.488645e-10	3.832884e-10	0.1	1.488645e-10	1.033361e-11	0.1	1.488645e-10	1.255626e-11	0.1	1.488645e-10	2.761984e-12	0.1	1.488645e-10	4.466319e-13	0.1	1.488645e-10	1.715514e-13	0.1	1.488645e-10	1.114072e-11	0.1	1.488645e-10	1.459428e-13	0.1	1.488645e-10	4.448949e-14	0.1	1.488645e-10	4.506139e-17	0.1	1.488645e-10	6.487052e-16	0.1	1.488645e-10	1.530933e-16	0.1
2.203057e-10	6.7388993279784e-06	0.1	2.203057e-10	1.596695e-06	0.1	2.203057e-10	4.767041e-08	0.1	2.203057e-10	3.141519e-07	0.1	2.203057e-10	5.329366e-07	0.1	2.203057e-10	5.937992e-07	0.1	2.203057e-10	5.280147e-07	0.1	2.203057e-10	4.453228e-07	0.1	2.203057e-10	1.563534e-10	0.1	2.203057e-10	5.336655e-10	0.1	2.203057e-10	1.430176e-11	0.1	2.203057e-10	1.765997e-11	0.1	2.203057e-10	3.852308e-12	0.1	2.203057e-10	6.220021e-13	0.1	2.203057e-10	2.420516e-13	0.1	2.203057e-10	1.55053e-11	0.1	2.203057e-10	2.024663e-13	0.1	2.203057e-10	5.990307e-14	0.1	2.203057e-10	9.194933e-17	0.1	2.203057e-10	1.286466e-15	0.1	2.203057e-10	3.125152e-16	0.1
2.751175e-10	6.1089248098849e-06	0.1	2.751175e-10	1.903949e-06	0.1	2.751175e-10	5.627744e-08	0.1	2.751175e-10	3.695976e-07	0.1	2.751175e-10	6.435449e-07	0.1	2.751175e-10	7.141823e-07	0.1	2.751175e-10	6.309321e-07	0.1	2.751175e-10	5.235823e-07	0.1	2.751175e-10	1.864357e-10	0.1	2.751175e-10	6.36579e-10	0.1	2.751175e-10	1.698104e-11	0.1	2.751175e-10	2.123001e-11	0.1	2.751175e-10	4.601586e-12	0.1	2.751175e-10	7.420955e-13	0.1	2.751175e-10	2.916538e-13	0.1	2.751175e-10	1.849044e-11	0.1	2.751175e-10	2.408337e-13	0.1	2.751175e-10	6.962105e-14	0.1	2.751175e-10	1.358883e-16	0.1	2.751175e-10	1.860975e-15	0.1	2.751175e-10	4.619953e-16	0.1
3.505737e-10	5.33703468619197e-06	0.1	3.505737e-10	2.27982e-06	0.1	3.505737e-10	6.643924e-08	0.1	3.505737e-10	4.343904e-07	0.1	3.505737e-10	7.837777e-07	0.1	3.505737e-10	8.649511e-07	0.1	3.505737e-10	7.575916e-07	0.1	3.505737e-10	6.147663e-07	0.1	3.505737e-10	2.232178e-10	0.1	3.505737e-10	7.625908e-10	0.1	3.505737e-10	2.021307e-11	0.1	3.505737e-10	2.570679e-11	0.1	3.505737e-10	5.523444e-12	0.1	3.505737e-10	8.892585e-13	0.1	3.505737e-10	3.542038e-13	0.1	3.505737e-10	2.214395e-11	0.1	3.505737e-10	2.873857e-13	0.1	3.505737e-10	8.044068e-14	0.1	3.505737e-10	2.050563e-16	0.1	3.505737e-10	2.728685e-15	0.1	3.505737e-10	6.974523e-16	0.1
4.569531e-10	4.411840084601701e-06	0.1	4.569531e-10	2.729435e-06	0.1	4.569531e-10	7.791222e-08	0.1	4.569531e-10	5.064978e-07	0.1	4.569531e-10	9.603341e-07	0.1	4.569531e-10	1.051276e-06	0.1	4.569531e-10	9.104093e-07	0.1	4.569531e-10	7.156904e-07	0.1	4.569531e-10	2.671646e-10	0.1	4.569531e-10	9.135101e-10	0.1	4.569531e-10	2.399637e-11	0.1	4.569531e-10	3.126361e-11	0.1	4.569531e-10	6.636081e-12	0.1	4.569531e-10	1.06575e-12	0.1	4.569531e-10	4.324039e-13	0.1	4.569531e-10	2.651863e-11	0.1	4.569531e-10	3.42358e-13	0.1	4.569531e-10	9.15157e-14	0.1	4.569531e-10	3.146362e-16	0.1	4.569531e-10	4.026451e-15	0.1	4.569531e-10	1.070822e-15	0.1
6.019759e-10	3.4037220780150403e-06	0.1	6.019759e-10	3.218195e-06	0.1	6.019759e-10	8.919772e-08	0.1	6.019759e-10	5.760291e-07	0.1	6.019759e-10	1.166863e-06	0.1	6.019759e-10	1.263063e-06	0.1	6.019759e-10	1.078593e-06	0.1	6.019759e-10	8.119106e-07	0.1	6.019759e-10	3.148078e-10	0.1	6.019759e-10	1.077829e-09	0.1	6.019759e-10	2.796945e-11	0.1	6.019759e-10	3.765253e-11	0.1	6.019759e-10	7.863371e-12	0.1	6.019759e-10	1.258386e-12	0.1	6.019759e-10	5.2309e-13	0.1	6.019759e-10	3.12849e-11	0.1	6.019759e-10	4.008759e-13	0.1	6.019759e-10	1.005644e-13	0.1	6.019759e-10	4.765329e-16	0.1	6.019759e-10	5.79797e-15	0.1	6.019759e-10	1.62321e-15	0.1
7.469988e-10	2.6263045453127606e-06	0.1	7.469988e-10	3.594356e-06	0.1	7.469988e-10	9.66147e-08	0.1	7.469988e-10	6.20686e-07	0.1	7.469988e-10	1.340617e-06	0.1	7.469988e-10	1.434605e-06	0.1	7.469988e-10	1.209994e-06	0.1	7.469988e-10	8.723229e-07	0.1	7.469988e-10	3.51288e-10	0.1	7.469988e-10	1.204503e-09	0.1	7.469988e-10	3.088325e-11	0.1	7.469988e-10	4.294118e-11	0.1	7.469988e-10	8.827853e-12	0.1	7.469988e-10	1.407471e-12	0.1	7.469988e-10	5.987535e-13	0.1	7.469988e-10	3.496914e-11	0.1	7.469988e-10	4.445821e-13	0.1	7.469988e-10	1.04624e-13	0.1	7.469988e-10	6.424381e-16	0.1	7.469988e-10	7.4557e-15	0.1	7.469988e-10	2.190267e-15	0.1
