Batch	m_SP	5	Flvln	N1a_L	N7a_L	Nphln	Azln							
1.056248e-11	9.87200727894e-06	0.1	1.056248e-11	1.2472846709999997e-07	0.1	1.056248e-11	5.5992968e-10	0.1	1.056248e-11	2.08849e-09	0.1	1.056248e-11	4.791309e-10	0.1
1.843634e-11	9.77773322169e-06	0.1	1.843634e-11	2.1666921239999997e-07	0.1	1.843634e-11	9.888483e-10	0.1	1.843634e-11	3.628527e-09	0.1	1.843634e-11	8.323132e-10	0.1
3.408927e-11	9.59298706917e-06	0.1	3.408927e-11	3.968442553e-07	0.1	3.408927e-11	1.8306929000000001e-09	0.1	3.408927e-11	6.647717e-09	0.1	3.408927e-11	1.52444e-09	0.1
6.157624e-11	9.27697322934e-06	0.1	6.157624e-11	7.050377759999999e-07	0.1	6.157624e-11	3.273866e-09	0.1	6.157624e-11	1.181544e-08	0.1	6.157624e-11	2.70834e-09	0.1
9.434374e-11	8.91382386087e-06	0.1	9.434374e-11	1.0592011930000002e-06	0.1	9.434374e-11	4.9365832e-09	0.1	9.434374e-11	1.775846e-08	0.1	9.434374e-11	4.068829e-09	0.1
1.336647e-10	8.49676003155e-06	0.1	1.336647e-10	1.4659453309999998e-06	0.1	1.336647e-10	6.8508178999999995e-09	0.1	1.336647e-10	2.458869e-08	0.1	1.336647e-10	5.631303e-09	0.1
1.991997e-10	7.844564553570001e-06	0.1	1.991997e-10	2.1020021050000003e-06	0.1	1.991997e-10	9.851957e-09	0.1	1.991997e-10	3.527773e-08	0.1	1.991997e-10	8.074666e-09	0.1
3.302697e-10	6.686514134190001e-06	0.1	3.302697e-10	3.231397134e-06	0.1	3.302697e-10	1.5195945e-08	0.1	3.302697e-10	5.427319e-08	0.1	3.302697e-10	1.241315e-08	0.1
4.790331e-10	5.57784622098e-06	0.1	4.790331e-10	4.31263214e-06	0.1	4.790331e-10	2.0321731e-08	0.1	4.790331e-10	7.246879e-08	0.1	4.790331e-10	1.656663e-08	0.1
6.543365e-10	4.50491795037e-06	0.1	6.543365e-10	5.3590101099999995e-06	0.1	6.543365e-10	2.5286104e-08	0.1	6.543365e-10	9.008183e-08	0.1	6.543365e-10	2.058621e-08	0.1
8.296399e-10	3.6383736159000003e-06	0.1	8.296399e-10	6.20411218e-06	0.1	8.296399e-10	2.9296624e-08	0.1	8.296399e-10	1.04308e-07	0.1	8.296399e-10	2.383261e-08	0.1
1.004943e-09	2.93851361457e-06	0.1	1.004943e-09	6.88665462e-06	0.1	1.004943e-09	3.2535957e-08	0.1	1.004943e-09	1.15798e-07	0.1	1.004943e-09	2.645454e-08	0.1
1.180247e-09	2.3732742670200003e-06	0.1	1.180247e-09	7.437907410000001e-06	0.1	1.180247e-09	3.5152236999999996e-08	0.1	1.180247e-09	1.250779e-07	0.1	1.180247e-09	2.857213e-08	0.1
1.35555e-09	1.91676283218e-06	0.1	1.35555e-09	7.883121629999999e-06	0.1	1.35555e-09	3.726528e-08	0.1	1.35555e-09	1.325727e-07	0.1	1.35555e-09	3.028239e-08	0.1
1.530853e-09	1.54806351921e-06	0.1	1.530853e-09	8.24269864e-06	0.1	1.530853e-09	3.8971863999999996e-08	0.1	1.530853e-09	1.386259e-07	0.1	1.530853e-09	3.166368e-08	0.1
1.741314e-09	1.19784902139e-06	0.1	1.741314e-09	8.584247040000001e-06	0.1	1.741314e-09	4.0592892000000004e-08	0.1	1.741314e-09	1.443756e-07	0.1	1.741314e-09	3.297571e-08	0.1
1.951775e-09	9.26862331284e-07	0.1	1.951775e-09	8.848528480000002e-06	0.1	1.951775e-09	4.1847215e-08	0.1	1.951775e-09	1.488246e-07	0.1	1.951775e-09	3.399093e-08	0.1
2.162236e-09	7.17180428124e-07	0.1	2.162236e-09	9.05302226e-06	0.1	2.162236e-09	4.2817766e-08	0.1	2.162236e-09	1.522671e-07	0.1	2.162236e-09	3.477647e-08	0.1
2.372697e-09	5.549344506e-07	0.1	2.372697e-09	9.21125311e-06	0.1	2.372697e-09	4.3568743000000005e-08	0.1	2.372697e-09	1.549308e-07	0.1	2.372697e-09	3.53843e-08	0.1
2.608444e-09	4.1636283633e-07	0.1	2.608444e-09	9.34639609e-06	0.1	2.608444e-09	4.4210144e-08	0.1	2.608444e-09	1.572058e-07	0.1	2.608444e-09	3.590345e-08	0.1
2.861049e-09	3.06041339556e-07	0.1	2.861049e-09	9.45398642e-06	0.1	2.861049e-09	4.472079e-08	0.1	2.861049e-09	1.59017e-07	0.1	2.861049e-09	3.631675e-08	0.1
3.113655e-09	2.24951250465e-07	0.1	3.113655e-09	9.533070759999998e-06	0.1	3.113655e-09	4.5096123e-08	0.1	3.113655e-09	1.603483e-07	0.1	3.113655e-09	3.662054e-08	0.1
3.36626e-09	1.65347146512e-07	0.1	3.36626e-09	9.591200409999998e-06	0.1	3.36626e-09	4.5372015999999996e-08	0.1	3.36626e-09	1.613269e-07	0.1	3.36626e-09	3.684384e-08	0.1
3.660987e-09	1.1545484544e-07	0.1	3.660987e-09	9.639858140000002e-06	0.1	3.660987e-09	4.5602956e-08	0.1	3.660987e-09	1.62146e-07	0.1	3.660987e-09	3.703076e-08	0.1
