Batch	m_SP	5	Nphln	N1a_L	N7a_L	Flvln	Azln							
3.255168e-08	9.874060258410001e-06	0.1	3.255168e-08	3.0819964700000005e-11	0.1	3.255168e-08	1.24153432e-07	0.1	3.255168e-08	5.295518e-12	0.1	3.255168e-08	4.089876e-12	0.1
6.649608e-08	9.74558054322e-06	0.1	6.649608e-08	6.25508868e-11	0.1	6.649608e-08	2.52615592e-07	0.1	6.649608e-08	1.077246e-11	0.1	6.649608e-08	8.322547e-12	0.1
1.343849e-07	9.4936150629e-06	0.1	1.343849e-07	1.2477947600000002e-10	0.1	1.343849e-07	5.0454716e-07	0.1	1.343849e-07	2.151348e-11	0.1	1.343849e-07	1.662338e-11	0.1
2.701625e-07	9.00905790852e-06	0.1	2.701625e-07	2.444515948e-10	0.1	2.701625e-07	9.8903796e-07	0.1	2.701625e-07	4.216959e-11	0.1	2.701625e-07	3.258676e-11	0.1
4.981921e-07	8.250277496400001e-06	0.1	4.981921e-07	4.31849573e-10	0.1	4.981921e-07	1.74771631e-06	0.1	4.981921e-07	7.451559e-11	0.1	4.981921e-07	5.758427e-11	0.1
8.101716e-07	7.3145938533300005e-06	0.1	8.101716e-07	6.62937513e-10	0.1	8.101716e-07	2.6832724399999998e-06	0.1	8.101716e-07	1.144027e-10	0.1	8.101716e-07	8.840969e-11	0.1
1.252176e-06	6.16770732231e-06	0.1	1.252176e-06	9.46186947e-10	0.1	1.252176e-06	3.8300041e-06	0.1	1.252176e-06	1.632933e-10	0.1	1.252176e-06	1.261931e-10	0.1
1.69418e-06	5.20064599302e-06	0.1	1.69418e-06	1.185024544e-09	0.1	1.69418e-06	4.796934099999999e-06	0.1	1.69418e-06	2.04518e-10	0.1	1.69418e-06	1.580523e-10	0.1
2.367193e-06	4.01125888701e-06	0.1	2.367193e-06	1.478770206e-09	0.1	2.367193e-06	5.986159899999999e-06	0.1	2.367193e-06	2.552203e-10	0.1	2.367193e-06	1.972358e-10	0.1
3.040206e-06	3.09388506084e-06	0.1	3.040206e-06	1.7053367929999998e-09	0.1	3.040206e-06	6.9034088e-06	0.1	3.040206e-06	2.943269e-10	0.1	3.040206e-06	2.27458e-10	0.1
3.713218e-06	2.38631413662e-06	0.1	3.713218e-06	1.8800867300000004e-09	0.1	3.713218e-06	7.6108831e-06	0.1	3.713218e-06	3.244899e-10	0.1	3.713218e-06	2.507684e-10	0.1
4.386231e-06	1.84056459417e-06	0.1	4.386231e-06	2.014872012e-09	0.1	4.386231e-06	8.1565601e-06	0.1	4.386231e-06	3.477546e-10	0.1	4.386231e-06	2.687478e-10	0.1
5.059244e-06	1.4196278035800002e-06	0.1	5.059244e-06	2.1188317929999997e-09	0.1	5.059244e-06	8.5774396e-06	0.1	5.059244e-06	3.656987e-10	0.1	5.059244e-06	2.826152e-10	0.1
5.732257e-06	1.0949590503e-06	0.1	5.732257e-06	2.199015813e-09	0.1	5.732257e-06	8.9020642e-06	0.1	5.732257e-06	3.795389e-10	0.1	5.732257e-06	2.933112e-10	0.1
6.40527e-06	8.4454255449e-07	0.1	6.40527e-06	2.260862118e-09	0.1	6.40527e-06	9.1524465e-06	0.1	6.40527e-06	3.902139e-10	0.1	6.40527e-06	3.01561e-10	0.1
7.078282e-06	6.513958859760001e-07	0.1	7.078282e-06	2.308563981e-09	0.1	7.078282e-06	9.3455677e-06	0.1	7.078282e-06	3.984476e-10	0.1	7.078282e-06	3.079241e-10	0.1
7.751295e-06	5.02421775732e-07	0.1	7.751295e-06	2.345356331e-09	0.1	7.751295e-06	9.494521e-06	0.1	7.751295e-06	4.047982e-10	0.1	7.751295e-06	3.12832e-10	0.1
8.480376e-06	3.79224807714e-07	0.1	8.480376e-06	2.3757824980000003e-09	0.1	8.480376e-06	9.6177018e-06	0.1	8.480376e-06	4.100499e-10	0.1	8.480376e-06	3.168906e-10	0.1
9.293557e-06	2.77097229e-07	0.1	9.293557e-06	2.4010057600000003e-09	0.1	9.293557e-06	9.7198154e-06	0.1	9.293557e-06	4.144035e-10	0.1	9.293557e-06	3.202551e-10	0.1
1.010674e-05	2.02473175248e-07	0.1	1.010674e-05	2.419435307e-09	0.1	1.010674e-05	9.7944292e-06	0.1	1.010674e-05	4.175847e-10	0.1	1.010674e-05	3.227136e-10	0.1
1.091992e-05	1.47945920526e-07	0.1	1.091992e-05	2.432902213e-09	0.1	1.091992e-05	9.8489491e-06	0.1	1.091992e-05	4.199091e-10	0.1	1.091992e-05	3.245099e-10	0.1
1.18369e-05	1.03859261397e-07	0.1	1.18369e-05	2.4437900500000003e-09	0.1	1.18369e-05	9.89303e-06	0.1	1.18369e-05	4.217885e-10	0.1	1.18369e-05	3.259623e-10	0.1
