Batch	m_SP	7	P2_L	R	W4_L	W3	P1	P3	P4											
2.576208e-10	9.716894714761799e-06	0.1	2.576208e-10	2.495071e-08	0.1	2.576208e-10	4.189182e-08	0.1	2.576208e-10	2.889424e-10	0.1	2.576208e-10	1.721909e-07	0.1	2.576208e-10	3.033975e-08	0.1	2.576208e-10	1.32733e-10	0.1
5.593108e-10	9.4101940281256e-06	0.1	5.593108e-10	5.331445e-08	0.1	5.593108e-10	8.951238e-08	0.1	5.593108e-10	6.17401e-10	0.1	5.593108e-10	3.679263e-07	0.1	5.593108e-10	6.48298e-08	0.1	5.593108e-10	2.83621e-10	0.1
1.266417e-09	8.7287685649241e-06	0.1	1.266417e-09	1.163371e-07	0.1	1.266417e-09	1.953159e-07	0.1	1.266417e-09	1.347184e-09	0.1	1.266417e-09	8.02801e-07	0.1	1.266417e-09	1.414651e-07	0.1	1.266417e-09	6.188787e-10	0.1
2.539208e-09	7.6242115510191e-06	0.1	2.539208e-09	2.185064e-07	0.1	2.539208e-09	3.668192e-07	0.1	2.539208e-09	2.53017e-09	0.1	2.539208e-09	1.507681e-06	0.1	2.539208e-09	2.657038e-07	0.1	2.539208e-09	1.162362e-09	0.1
3.761093e-09	6.6956330144608e-06	0.1	3.761093e-09	3.044112e-07	0.1	3.761093e-09	5.109995e-07	0.1	3.761093e-09	3.524729e-09	0.1	3.761093e-09	2.100228e-06	0.1	3.761093e-09	3.70166e-07	0.1	3.761093e-09	1.619307e-09	0.1
4.694488e-09	6.063291147452999e-06	0.1	4.694488e-09	3.629183e-07	0.1	4.694488e-09	6.091838e-07	0.1	4.694488e-09	4.202029e-09	0.1	4.694488e-09	2.503723e-06	0.1	4.694488e-09	4.413126e-07	0.1	4.694488e-09	1.930504e-09	0.1
5.976011e-09	5.2912791811698e-06	0.1	5.976011e-09	4.343574e-07	0.1	5.976011e-09	7.290559e-07	0.1	5.976011e-09	5.028965e-09	0.1	5.976011e-09	2.99632e-06	0.1	5.976011e-09	5.281858e-07	0.1	5.976011e-09	2.310473e-09	0.1
7.79196e-09	4.362692856568201e-06	0.1	7.79196e-09	5.202999e-07	0.1	7.79196e-09	8.732405e-07	0.1	7.79196e-09	6.023666e-09	0.1	7.79196e-09	3.588788e-06	0.1	7.79196e-09	6.326971e-07	0.1	7.79196e-09	2.767558e-09	0.1
1.0279e-08	3.3495939280103995e-06	0.1	1.0279e-08	6.140853e-07	0.1	1.0279e-08	1.03055e-06	0.1	1.0279e-08	7.108977e-09	0.1	1.0279e-08	4.23513e-06	0.1	1.0279e-08	7.467478e-07	0.1	1.0279e-08	3.266322e-09	0.1
1.276604e-08	2.57184577345806e-06	0.1	1.276604e-08	6.861012e-07	0.1	1.276604e-08	1.151316e-06	0.1	1.276604e-08	7.942229e-09	0.1	1.276604e-08	4.73128e-06	0.1	1.276604e-08	8.343266e-07	0.1	1.276604e-08	3.649285e-09	0.1
