Batch	m_SP	2	P2_L	W4_L	
1.077841e-11	9.737990536294e-06	0.1	1.077841e-11	2.6150190999999995e-07	0.1
2.307471e-11	9.44767078080524e-06	0.1	2.307471e-11	5.5148017e-07	0.1
5.152913e-11	8.80860935028948e-06	0.1	5.152913e-11	1.1897925399999999e-06	0.1
1.027471e-10	7.765262891635999e-06	0.1	1.027471e-10	2.23192373e-06	0.1
1.671543e-10	6.626831364721921e-06	0.1	1.671543e-10	3.3690366e-06	0.1
2.365604e-10	5.5861442858797795e-06	0.1	2.365604e-10	4.408527e-06	0.1
3.172649e-10	4.57973769441418e-06	0.1	3.172649e-10	5.4137828e-06	0.1
4.055018e-10	3.68567895794654e-06	0.1	4.055018e-10	6.3068291999999995e-06	0.1
4.937386e-10	2.9661596296209197e-06	0.1	4.937386e-10	7.0255383e-06	0.1
5.819754e-10	2.3871055169348e-06	0.1	5.819754e-10	7.6039441999999996e-06	0.1
6.738442e-10	1.90399775028338e-06	0.1	6.738442e-10	8.0865136e-06	0.1
7.802407e-10	1.465316845976942e-06	0.1	7.802407e-10	8.5247081e-06	0.1
8.866373e-10	1.127708294583016e-06	0.1	8.866373e-10	8.8619448e-06	0.1
9.930338e-10	8.6788447746329e-07	0.1	9.930338e-10	9.1214812e-06	0.1
1.09943e-09	6.679243007468099e-07	0.1	1.09943e-09	9.3212226e-06	0.1
1.223266e-09	4.92437293857144e-07	0.1	1.223266e-09	9.496518099999999e-06	0.1
1.351461e-09	3.5918185821915996e-07	0.1	1.351461e-09	9.629629e-06	0.1
1.479656e-09	2.6198582727865794e-07	0.1	1.479656e-09	9.726719e-06	0.1
1.613008e-09	1.88681448895548e-07	0.1	1.613008e-09	9.7999433e-06	0.1
1.766986e-09	1.2916123149370458e-07	0.1	1.766986e-09	9.8593991e-06	0.1
