Batch	m_SP	5	Flvln	N1a_L	N7a_L	Nphln	Azln							
8.435174e-12	9.87502324878e-06	0.1	8.435174e-12	1.246747445e-07	0.1	8.435174e-12	1.45810568e-10	0.1	8.435174e-12	4.975783e-11	0.1	8.435174e-12	2.811872e-12	0.1
1.59122e-11	9.76563534267e-06	0.1	1.59122e-11	2.3388548e-07	0.1	1.59122e-11	2.7739637e-10	0.1	1.59122e-11	9.33509e-11	0.1	1.59122e-11	5.274975e-12	0.1
3.086626e-11	9.55048149423e-06	0.1	3.086626e-11	4.48691104e-07	0.1	3.086626e-11	5.3621259e-10	0.1	3.086626e-11	1.791125e-10	0.1	3.086626e-11	1.011963e-11	0.1
6.077437e-11	9.134288656200001e-06	0.1	6.077437e-11	8.642090340000001e-07	0.1	6.077437e-11	1.0368669499999998e-09	0.1	6.077437e-11	3.450829e-10	0.1	6.077437e-11	1.949108e-11	0.1
1.14609e-10	8.43031669599e-06	0.1	1.14609e-10	1.567041821e-06	0.1	1.14609e-10	1.8837143999999996e-09	0.1	1.14609e-10	6.260559e-10	0.1	1.14609e-10	3.534254e-11	0.1
1.941453e-10	7.488314116110001e-06	0.1	1.941453e-10	2.5075189e-06	0.1	1.941453e-10	3.0169219999999998e-09	0.1	1.941453e-10	1.002573e-09	0.1	1.941453e-10	5.655374e-11	0.1
3.032616e-10	6.364817351190001e-06	0.1	3.032616e-10	3.62919561e-06	0.1	3.032616e-10	4.3685028000000004e-09	0.1	3.032616e-10	1.452621e-09	0.1	3.032616e-10	8.185167e-11	0.1
4.359227e-10	5.22341476533e-06	0.1	4.359227e-10	4.76875043e-06	0.1	4.359227e-10	5.7416806e-09	0.1	4.359227e-10	1.911274e-09	0.1	4.359227e-10	1.075528e-10	0.1
5.744698e-10	4.2492735068399996e-06	0.1	5.744698e-10	5.7413125e-06	0.1	5.744698e-10	6.9136936e-09	0.1	5.744698e-10	2.304277e-09	0.1	5.744698e-10	1.294876e-10	0.1
7.13017e-10	3.4568054316e-06	0.1	7.13017e-10	6.53249803e-06	0.1	7.13017e-10	7.8671913e-09	0.1	7.13017e-10	2.625476e-09	0.1	7.13017e-10	1.473318e-10	0.1
8.515641e-10	2.8121288784299997e-06	0.1	8.515641e-10	7.1761304e-06	0.1	8.515641e-10	8.6429218e-09	0.1	8.515641e-10	2.888163e-09	0.1	8.515641e-10	1.61848e-10	0.1
9.901113e-10	2.28768112296e-06	0.1	9.901113e-10	7.69972878e-06	0.1	9.901113e-10	9.2740348e-09	0.1	9.901113e-10	3.103157e-09	0.1	9.901113e-10	1.736571e-10	0.1
1.128658e-09	1.86104038941e-06	0.1	1.128658e-09	8.125679089999998e-06	0.1	1.128658e-09	9.7874952e-09	0.1	1.128658e-09	3.279268e-09	0.1	1.128658e-09	1.832638e-10	0.1
1.295521e-09	1.4514284855699999e-06	0.1	1.295521e-09	8.534627400000002e-06	0.1	1.295521e-09	1.02805194e-08	0.1	1.295521e-09	3.449824e-09	0.1	1.295521e-09	1.924871e-10	0.1
1.462384e-09	1.13197268016e-06	0.1	1.462384e-09	8.853566139999999e-06	0.1	1.462384e-09	1.06650888e-08	0.1	1.462384e-09	3.58432e-09	0.1	1.462384e-09	1.996804e-10	0.1
1.629247e-09	8.828274716370001e-07	0.1	1.629247e-09	9.102307549999999e-06	0.1	1.629247e-09	1.0965068600000001e-08	0.1	1.629247e-09	3.690577e-09	0.1	1.629247e-09	2.052904e-10	0.1
1.79611e-09	6.885189147420001e-07	0.1	1.79611e-09	9.2963019e-06	0.1	1.79611e-09	1.1199074e-08	0.1	1.79611e-09	3.7747e-09	0.1	1.79611e-09	2.096657e-10	0.1
1.976521e-09	5.26247437473e-07	0.1	1.976521e-09	9.4583096e-06	0.1	1.976521e-09	1.1394547799999999e-08	0.1	1.976521e-09	3.846241e-09	0.1	1.976521e-09	2.133195e-10	0.1
2.177255e-09	3.90225297708e-07	0.1	2.177255e-09	9.59411144e-06	0.1	2.177255e-09	1.15584586e-08	0.1	2.177255e-09	3.907627e-09	0.1	2.177255e-09	2.163824e-10	0.1
2.377989e-09	2.89361506356e-07	0.1	2.377989e-09	9.694811500000002e-06	0.1	2.377989e-09	1.1680054899999999e-08	0.1	2.377989e-09	3.954495e-09	0.1	2.377989e-09	2.186535e-10	0.1
2.578724e-09	2.1456865429200003e-07	0.1	2.578724e-09	9.76948392e-06	0.1	2.578724e-09	1.17702703e-08	0.1	2.578724e-09	3.990471e-09	0.1	2.578724e-09	2.203377e-10	0.1
2.803764e-09	1.5344946549e-07	0.1	2.803764e-09	9.83050356e-06	0.1	2.803764e-09	1.18440434e-08	0.1	2.803764e-09	4.021164e-09	0.1	2.803764e-09	2.217139e-10	0.1
3.045009e-09	1.07122428765e-07	0.1	3.045009e-09	9.8767565e-06	0.1	3.045009e-09	1.19000147e-08	0.1	3.045009e-09	4.045771e-09	0.1	3.045009e-09	2.22757e-10	0.1
