	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
700 0.00040 0.00791 0.50735 0.29244 0.17954 0.01077
800 0.00091 0.01442 0.47201 0.29682 0.19547 0.01889
900 0.00172 0.02266 0.44178 0.29708 0.20651 0.02884
1000 0.00282 0.03211 0.41515 0.29444 0.21363 0.03999
1100 0.00419 0.04229 0.39195 0.29029 0.21808 0.05180
1200 0.00576 0.05266 0.37110 0.28499 0.22036 0.06373
1300 0.00744 0.06283 0.35245 0.27920 0.22125 0.07545
1400 0.00914 0.07248 0.33566 0.27330 0.22124 0.08671
1500 0.01078 0.08138 0.32066 0.26765 0.22079 0.09739
1600 0.01229 0.08936 0.30718 0.26233 0.22005 0.10735
1700 0.01366 0.09634 0.29499 0.25734 0.21907 0.11651
1800 0.01496 0.10265 0.28456 0.25317 0.21827 0.12506
1900 0.01623 0.10828 0.27503 0.24909 0.21692 0.13269
2000 0.01760 0.11376 0.26652 0.24518 0.21499 0.13951
