Batch	m_SP	4	Pr3	W1	Pr1	Pr2					
3.900742e-11	9.74766452238e-06	0.1	3.900742e-11	2.04555e-07	0.1	3.900742e-11	2.546182e-08	0.1	3.900742e-11	1.877369e-08	0.1
8.363087e-11	9.466905383289901e-06	0.1	8.363087e-11	4.322407e-07	0.1	8.363087e-11	5.380284e-08	0.1	8.363087e-11	3.967027e-08	0.1
1.865774e-10	8.849655732590801e-06	0.1	1.865774e-10	9.328097e-07	0.1	1.865774e-10	1.161109e-07	0.1	1.865774e-10	8.561159e-08	0.1
3.71881e-10	7.838255481295201e-06	0.1	3.71881e-10	1.753022e-06	0.1	3.71881e-10	2.182065e-07	0.1	3.71881e-10	1.608892e-07	0.1
6.068148e-10	6.7204117628801995e-06	0.1	6.068148e-10	2.659558e-06	0.1	6.068148e-10	3.310475e-07	0.1	6.068148e-10	2.440893e-07	0.1
8.611092e-10	5.68938855394e-06	0.1	8.611092e-10	3.495686e-06	0.1	8.611092e-10	4.35125e-07	0.1	8.611092e-10	3.208276e-07	0.1
1.156947e-09	4.687258908321e-06	0.1	1.156947e-09	4.308382e-06	0.1	1.156947e-09	5.362863e-07	0.1	1.156947e-09	3.954153e-07	0.1
1.48048e-09	3.7922309057696998e-06	0.1	1.48048e-09	5.034223e-06	0.1	1.48048e-09	6.26637e-07	0.1	1.48048e-09	4.620315e-07	0.1
1.804013e-09	3.0681086367984e-06	0.1	1.804013e-09	5.621466e-06	0.1	1.804013e-09	6.99736e-07	0.1	1.804013e-09	5.159274e-07	0.1
2.127546e-09	2.4822559501907997e-06	0.1	2.127546e-09	6.096577e-06	0.1	2.127546e-09	7.588776e-07	0.1	2.127546e-09	5.59532e-07	0.1
2.477017e-09	1.9744434910875997e-06	0.1	2.477017e-09	6.5084e-06	0.1	2.477017e-09	8.101421e-07	0.1	2.477017e-09	5.973282e-07	0.1
2.865397e-09	1.53100239327e-06	0.1	2.865397e-09	6.86802e-06	0.1	2.865397e-09	8.549092e-07	0.1	2.865397e-09	6.303332e-07	0.1
3.253777e-09	1.1871543475679999e-06	0.1	3.253777e-09	7.146874e-06	0.1	3.253777e-09	8.896232e-07	0.1	3.253777e-09	6.559256e-07	0.1
3.642157e-09	9.2053062172092e-07	0.1	3.642157e-09	7.363101e-06	0.1	3.642157e-09	9.165418e-07	0.1	3.642157e-09	6.757702e-07	0.1
4.030537e-09	7.1378841995828e-07	0.1	4.030537e-09	7.530766e-06	0.1	4.030537e-09	9.374159e-07	0.1	4.030537e-09	6.911579e-07	0.1
4.483895e-09	5.3041839403218e-07	0.1	4.483895e-09	7.679478e-06	0.1	4.483895e-09	9.559315e-07	0.1	4.483895e-09	7.04806e-07	0.1
4.953498e-09	3.899844371287e-07	0.1	4.953498e-09	7.79337e-06	0.1	4.953498e-09	9.701133e-07	0.1	4.953498e-09	7.152585e-07	0.1
5.4231e-09	2.8673184519816e-07	0.1	5.4231e-09	7.877109e-06	0.1	5.4231e-09	9.805419e-07	0.1	5.4231e-09	7.229435e-07	0.1
5.892703e-09	2.108165334177e-07	0.1	5.892703e-09	7.938679e-06	0.1	5.892703e-09	9.882109e-07	0.1	5.892703e-09	7.285939e-07	0.1
6.460154e-09	1.4537909904464002e-07	0.1	6.460154e-09	7.991752e-06	0.1	6.460154e-09	9.948236e-07	0.1	6.460154e-09	7.334644e-07	0.1
7.027606e-09	1.0025342702118e-07	0.1	7.027606e-09	8.028354e-06	0.1	7.027606e-09	9.993859e-07	0.1	7.027606e-09	7.368231e-07	0.1
