Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
1.280092e-06	0.9892252	0.1	1.280092e-06	1.284575e-07	0.1	1.280092e-06	2.3864444000000002e-05	0.1	1.280092e-06	0.004212898	0.1	1.280092e-06	5.52541906e-06	0.1	1.280092e-06	1.443148e-07	0.1	1.280092e-06	0.0006669398	0.1
1.399746e-06	0.988164	0.1	1.399746e-06	1.40455e-07	0.1	1.399746e-06	2.6132797e-05	0.1	1.399746e-06	0.004678345	0.1	1.399746e-06	6.05251463e-06	0.1	1.399746e-06	1.577773e-07	0.1	1.399746e-06	0.0007286966	0.1
1.5194e-06	0.987103	0.1	1.5194e-06	1.524332e-07	0.1	1.5194e-06	2.8397827e-05	0.1	1.5194e-06	0.005144476	0.1	1.5194e-06	6.5790452e-06	0.1	1.5194e-06	1.712182e-07	0.1	1.5194e-06	0.0007903533	0.1
1.644141e-06	0.9859978	0.1	1.644141e-06	1.649001e-07	0.1	1.644141e-06	3.0755503e-05	0.1	1.644141e-06	0.005630658	0.1	1.644141e-06	7.1272622999999995e-06	0.1	1.644141e-06	1.852074e-07	0.1	1.644141e-06	0.000854525	0.1
1.789228e-06	0.9847137	0.1	1.789228e-06	1.793742e-07	0.1	1.789228e-06	3.3492974e-05	0.1	1.789228e-06	0.006195989	0.1	1.789228e-06	7.76391412e-06	0.1	1.789228e-06	2.014489e-07	0.1	1.789228e-06	0.0009290277	0.1
1.934315e-06	0.9834315	0.1	1.934315e-06	1.9382e-07	0.1	1.934315e-06	3.6225237e-05	0.1	1.934315e-06	0.006760821	0.1	1.934315e-06	8.39944463e-06	0.1	1.934315e-06	2.176587e-07	0.1	1.934315e-06	0.001003385	0.1
2.098225e-06	0.9819855	0.1	2.098225e-06	2.101062e-07	0.1	2.098225e-06	3.9305709000000003e-05	0.1	2.098225e-06	0.007398059	0.1	2.098225e-06	9.11602968e-06	0.1	2.098225e-06	2.359336e-07	0.1	2.098225e-06	0.001087215	0.1
2.274686e-06	0.9804321	0.1	2.274686e-06	2.275993e-07	0.1	2.274686e-06	4.2614514e-05	0.1	2.274686e-06	0.008082836	0.1	2.274686e-06	9.88578024e-06	0.1	2.274686e-06	2.555628e-07	0.1	2.274686e-06	0.001177257	0.1
2.473215e-06	0.9786886	0.1	2.473215e-06	2.472308e-07	0.1	2.473215e-06	4.6327836999999995e-05	0.1	2.473215e-06	0.008851539	0.1	2.473215e-06	1.074966949e-05	0.1	2.473215e-06	2.775914e-07	0.1	2.473215e-06	0.001278306	0.1
2.686456e-06	0.9768208	0.1	2.686456e-06	2.68259e-07	0.1	2.686456e-06	5.0305399999999994e-05	0.1	2.686456e-06	0.009675075	0.1	2.686456e-06	1.167505441e-05	0.1	2.686456e-06	3.011874e-07	0.1	2.686456e-06	0.001386544	0.1
2.935285e-06	0.974648	0.1	2.935285e-06	2.927208e-07	0.1	2.935285e-06	5.4932469e-05	0.1	2.935285e-06	0.01063317	0.1	2.935285e-06	1.2751548409999999e-05	0.1	2.935285e-06	3.286363e-07	0.1	2.935285e-06	0.001512456	0.1
