Batch	m_SP	5	Azln	N1a_L	N7a_L	Nphln	Flvln							
3.511584e-11	9.80818891713e-06	0.1	3.511584e-11	6.69754231e-12	0.1	3.511584e-11	1.9158675e-07	0.1	3.511584e-11	2.496459e-12	0.1	3.511584e-11	1.811182e-14	0.1
7.124991e-11	9.61475485149e-06	0.1	7.124991e-11	1.345527639e-11	0.1	7.124991e-11	3.8492422e-07	0.1	7.124991e-11	9.737578e-12	0.1	7.124991e-11	3.638756e-14	0.1
1.365784e-10	9.27466825239e-06	0.1	1.365784e-10	2.5336401200000003e-11	0.1	1.365784e-10	7.2484235e-07	0.1	1.365784e-10	3.367781e-11	0.1	1.365784e-10	6.851919e-14	0.1
2.082017e-10	8.91561984291e-06	0.1	2.082017e-10	3.78799676e-11	0.1	2.082017e-10	1.08371518e-06	0.1	2.082017e-10	7.397741e-11	0.1	2.082017e-10	1.024425e-13	0.1
3.084744e-10	8.43618163734e-06	0.1	3.084744e-10	5.46293987e-11	0.1	3.084744e-10	1.5629216e-06	0.1	3.084744e-10	1.508316e-10	0.1	3.084744e-10	1.477404e-13	0.1
4.803704e-10	7.673499264240001e-06	0.1	4.803704e-10	8.12741389e-11	0.1	4.803704e-10	2.3252424999999998e-06	0.1	4.803704e-10	3.24126e-10	0.1	4.803704e-10	2.198002e-13	0.1
7.668637e-10	6.55248547449e-06	0.1	7.668637e-10	1.204374312e-10	0.1	7.668637e-10	3.4457419e-06	0.1	7.668637e-10	6.818664e-10	0.1	7.668637e-10	3.257168e-13	0.1
1.114511e-09	5.40976390182e-06	0.1	1.114511e-09	1.603591013e-10	0.1	1.114511e-09	4.5879543e-06	0.1	1.114511e-09	1.155895e-09	0.1	1.114511e-09	4.336853e-13	0.1
1.502927e-09	4.36707132885e-06	0.1	1.502927e-09	1.9678613890000002e-10	0.1	1.502927e-09	5.6301936999999995e-06	0.1	1.502927e-09	1.668549e-09	0.1	1.502927e-09	5.322034e-13	0.1
1.891343e-09	3.52534974615e-06	0.1	1.891343e-09	2.261922215e-10	0.1	1.891343e-09	6.471555200000001e-06	0.1	1.891343e-09	2.127826e-09	0.1	1.891343e-09	6.117333e-13	0.1
2.279759e-09	2.84586354108e-06	0.1	2.279759e-09	2.499304202e-10	0.1	2.279759e-09	7.150754e-06	0.1	2.279759e-09	2.522486e-09	0.1	2.279759e-09	6.759345e-13	0.1
2.668175e-09	2.29734402633e-06	0.1	2.668175e-09	2.690933459e-10	0.1	2.668175e-09	7.699044199999999e-06	0.1	2.668175e-09	2.853654e-09	0.1	2.668175e-09	7.277615e-13	0.1
3.056592e-09	1.85454745434e-06	0.1	3.056592e-09	2.845626124e-10	0.1	3.056592e-09	8.1416553e-06	0.1	3.056592e-09	3.127608e-09	0.1	3.056592e-09	7.695993e-13	0.1
3.445008e-09	1.49709702888e-06	0.1	3.445008e-09	2.97050377e-10	0.1	3.445008e-09	8.4989581e-06	0.1	3.445008e-09	3.35224e-09	0.1	3.445008e-09	8.033732e-13	0.1
3.897416e-09	1.1666533333500002e-06	0.1	3.897416e-09	3.0859467499999996e-10	0.1	3.897416e-09	8.8292655e-06	0.1	3.897416e-09	3.562113e-09	0.1	3.897416e-09	8.345953e-13	0.1
4.365823e-09	9.01164388266e-07	0.1	4.365823e-09	3.1786967000000004e-10	0.1	4.365823e-09	9.0946442e-06	0.1	4.365823e-09	3.731947e-09	0.1	4.365823e-09	8.596802e-13	0.1
4.834229e-09	6.96091139019e-07	0.1	4.834229e-09	3.2503401e-10	0.1	4.834229e-09	9.299632799999999e-06	0.1	4.834229e-09	3.863708e-09	0.1	4.834229e-09	8.790567e-13	0.1
5.302635e-09	5.37685223094e-07	0.1	5.302635e-09	3.30567992e-10	0.1	5.302635e-09	9.4579733e-06	0.1	5.302635e-09	3.96575e-09	0.1	5.302635e-09	8.940238e-13	0.1
5.808875e-09	4.0675473241200003e-07	0.1	5.808875e-09	3.3514213099999996e-10	0.1	5.808875e-09	9.5888496e-06	0.1	5.808875e-09	4.050226e-09	0.1	5.808875e-09	9.063948e-13	0.1
6.371866e-09	2.98229717673e-07	0.1	6.371866e-09	3.38933508e-10	0.1	6.371866e-09	9.6973294e-06	0.1	6.371866e-09	4.120316e-09	0.1	6.371866e-09	9.166489e-13	0.1
6.934856e-09	2.18660013378e-07	0.1	6.934856e-09	3.4171341300000003e-10	0.1	6.934856e-09	9.7768666e-06	0.1	6.934856e-09	4.171735e-09	0.1	6.934856e-09	9.241671e-13	0.1
7.497847e-09	1.6031999678400002e-07	0.1	7.497847e-09	3.4375154799999997e-10	0.1	7.497847e-09	9.835183099999999e-06	0.1	7.497847e-09	4.209447e-09	0.1	7.497847e-09	9.296794e-13	0.1
8.131901e-09	1.1302986969e-07	0.1	8.131901e-09	3.4540358100000004e-10	0.1	8.131901e-09	9.882453e-06	0.1	8.131901e-09	4.240022e-09	0.1	8.131901e-09	9.341476e-13	0.1
