Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4											
7.751709e-10	9.781728561516e-06	0.1	7.751709e-10	1.72972941e-07	0.1	7.751709e-10	9.651518e-12	0.1	7.751709e-10	2.991516e-10	0.1	7.751709e-10	1.496514e-08	0.1	7.751709e-10	3.049365e-10	0.1	7.751709e-10	1.42648e-16	0.1
2.116747e-09	9.463762920956e-06	0.1	2.116747e-09	4.6465919999999994e-07	0.1	2.116747e-09	2.592662e-11	0.1	2.116747e-09	8.036115e-10	0.1	2.116747e-09	4.019552e-08	0.1	2.116747e-09	7.975173e-10	0.1	2.116747e-09	3.831933e-16	0.1
5.671966e-09	8.670275123967062e-06	0.1	5.671966e-09	1.1927054199999998e-06	0.1	5.671966e-09	6.654713e-11	0.1	5.671966e-09	2.062722e-09	0.1	5.671966e-09	1.031398e-07	0.1	5.671966e-09	1.906399e-09	0.1	5.671966e-09	9.835722e-16	0.1
1.0214e-08	7.75262806904361e-06	0.1	1.0214e-08	2.03492563e-06	0.1	1.0214e-08	1.135342e-10	0.1	1.0214e-08	3.519256e-09	0.1	1.0214e-08	1.758996e-07	0.1	1.0214e-08	2.968064e-09	0.1	1.0214e-08	1.678067e-15	0.1
1.34065e-08	7.16642293533246e-06	0.1	1.34065e-08	2.5730950499999996e-06	0.1	1.34065e-08	1.435562e-10	0.1	1.34065e-08	4.449945e-09	0.1	1.34065e-08	2.223604e-07	0.1	1.34065e-08	3.517802e-09	0.1	1.34065e-08	2.121818e-15	0.1
1.814929e-08	6.37641965605327e-06	0.1	1.814929e-08	3.29855133e-06	0.1	1.814929e-08	1.840232e-10	0.1	1.814929e-08	5.704492e-09	0.1	1.814929e-08	2.849493e-07	0.1	1.814929e-08	4.093815e-09	0.1	1.814929e-08	2.719969e-15	0.1
2.537438e-08	5.337139753863571e-06	0.1	2.537438e-08	4.2532623999999996e-06	0.1	2.537438e-08	2.372734e-10	0.1	2.537438e-08	7.355444e-09	0.1	2.537438e-08	3.672444e-07	0.1	2.537438e-08	4.54941e-09	0.1	2.537438e-08	3.50709e-15	0.1
3.322004e-08	4.39957464684624e-06	0.1	3.322004e-08	5.1148920000000006e-06	0.1	3.322004e-08	2.853265e-10	0.1	3.322004e-08	8.845371e-09	0.1	3.322004e-08	4.414417e-07	0.1	3.322004e-08	4.647032e-09	0.1	3.322004e-08	4.217408e-15	0.1
4.316665e-08	3.4439392977970503e-06	0.1	4.316665e-08	5.993503e-06	0.1	4.316665e-08	3.343208e-10	0.1	4.316665e-08	1.036459e-08	0.1	4.316665e-08	5.170251e-07	0.1	4.316665e-08	4.41574e-09	0.1	4.316665e-08	4.941659e-15	0.1
5.451389e-08	2.6045600449577795e-06	0.1	5.451389e-08	6.7655678e-06	0.1	5.451389e-08	3.773685e-10	0.1	5.451389e-08	1.169952e-08	0.1	5.451389e-08	5.833751e-07	0.1	5.451389e-08	3.91099e-09	0.1	5.451389e-08	5.57802e-15	0.1
6.586113e-08	1.9698011712599496e-06	0.1	6.586113e-08	7.349655199999999e-06	0.1	6.586113e-08	4.099315e-10	0.1	6.586113e-08	1.270937e-08	0.1	6.586113e-08	6.335256e-07	0.1	6.586113e-08	3.321769e-09	0.1	6.586113e-08	6.059398e-15	0.1
7.720837e-08	1.489764951227147e-06	0.1	7.720837e-08	7.7915165e-06	0.1	7.720837e-08	4.345631e-10	0.1	7.720837e-08	1.347329e-08	0.1	7.720837e-08	6.71437e-07	0.1	7.720837e-08	2.744011e-09	0.1	7.720837e-08	6.42353e-15	0.1
8.855561e-08	1.1267285962352561e-06	0.1	8.855561e-08	8.1257767e-06	0.1	8.855561e-08	4.531948e-10	0.1	8.855561e-08	1.405115e-08	0.1	8.855561e-08	7.000992e-07	0.1	8.855561e-08	2.222906e-09	0.1	8.855561e-08	6.698968e-15	0.1
9.990285e-08	8.52168379749386e-07	0.1	9.990285e-08	8.378632799999998e-06	0.1	9.990285e-08	4.672881e-10	0.1	9.990285e-08	1.448827e-08	0.1	9.990285e-08	7.217707e-07	0.1	9.990285e-08	1.775204e-09	0.1	9.990285e-08	6.907314e-15	0.1
1.112501e-07	6.445186281882209e-07	0.1	1.112501e-07	8.5699043e-06	0.1	1.112501e-07	4.779483e-10	0.1	1.112501e-07	1.481891e-08	0.1	1.112501e-07	7.381577e-07	0.1	1.112501e-07	1.402475e-09	0.1	1.112501e-07	7.064907e-15	0.1
1.225973e-07	4.87470919143093e-07	0.1	1.225973e-07	8.7145901e-06	0.1	1.225973e-07	4.860116e-10	0.1	1.225973e-07	1.506901e-08	0.1	1.225973e-07	7.505494e-07	0.1	1.225973e-07	1.098842e-09	0.1	1.225973e-07	7.184111e-15	0.1
1.353718e-07	3.55966741335923e-07	0.1	1.353718e-07	8.835758499999999e-06	0.1	1.353718e-07	4.92764e-10	0.1	1.353718e-07	1.527846e-08	0.1	1.353718e-07	7.609243e-07	0.1	1.353718e-07	8.285062e-10	0.1	1.353718e-07	7.283935e-15	0.1
1.490978e-07	2.53923503281272e-07	0.1	1.490978e-07	8.9297945e-06	0.1	1.490978e-07	4.980042e-10	0.1	1.490978e-07	1.5441e-08	0.1	1.490978e-07	7.689741e-07	0.1	1.490978e-07	6.073669e-10	0.1	1.490978e-07	7.361403e-15	0.1
1.628238e-07	1.811334683454912e-07	0.1	1.628238e-07	8.9968802e-06	0.1	1.628238e-07	5.017425e-10	0.1	1.628238e-07	1.555696e-08	0.1	1.628238e-07	7.747158e-07	0.1	1.628238e-07	4.427377e-10	0.1	1.628238e-07	7.416667e-15	0.1
1.771077e-07	1.2744804402554402e-07	0.1	1.771077e-07	9.0463629e-06	0.1	1.771077e-07	5.044997e-10	0.1	1.771077e-07	1.564248e-08	0.1	1.771077e-07	7.789502e-07	0.1	1.771077e-07	3.171299e-10	0.1	1.771077e-07	7.457428e-15	0.1
