Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
1.089904e-07	0.9845791	0.1	1.089904e-07	5.634263e-06	0.1	1.089904e-07	6.603847e-06	0.1	1.089904e-07	0.006464607	0.1	1.089904e-07	4.1809889e-05	0.1	1.089904e-07	6.38837e-06	0.1	1.089904e-07	0.001185027	0.1
2.011828e-07	0.9718098	0.1	2.011828e-07	1.029929e-05	0.1	2.011828e-07	1.207169e-05	0.1	2.011828e-07	0.01181826	0.1	2.011828e-07	7.6427423e-05	0.1	2.011828e-07	1.167778e-05	0.1	2.011828e-07	0.002166198	0.1
3.450177e-07	0.9523742	0.1	3.450177e-07	1.739918e-05	0.1	3.450177e-07	2.039345e-05	0.1	3.450177e-07	0.01996783	0.1	3.450177e-07	0.000129113293	0.1	3.450177e-07	1.972794e-05	0.1	3.450177e-07	0.003659484	0.1
5.207568e-07	0.9294003	0.1	5.207568e-07	2.579084e-05	0.1	5.207568e-07	3.022933e-05	0.1	5.207568e-07	0.02960216	0.1	5.207568e-07	0.000191384871	0.1	5.207568e-07	2.924277e-05	0.1	5.207568e-07	0.005424459	0.1
7.04472e-07	0.9062492	0.1	7.04472e-07	3.424663e-05	0.1	7.04472e-07	4.014041e-05	0.1	7.04472e-07	0.03931182	0.1	7.04472e-07	0.000254132238	0.1	7.04472e-07	3.883031e-05	0.1	7.04472e-07	0.007202923	0.1
9.431897e-07	0.8774148	0.1	9.431897e-07	4.477756e-05	0.1	9.431897e-07	5.248383e-05	0.1	9.431897e-07	0.05140605	0.1	9.431897e-07	0.00033227866	0.1	9.431897e-07	5.077074e-05	0.1	9.431897e-07	0.009417843	0.1
1.218576e-06	0.845792	0.1	1.218576e-06	5.632637e-05	0.1	1.218576e-06	6.602032e-05	0.1	1.218576e-06	0.06467074	0.1	1.218576e-06	0.0004179783	0.1	1.218576e-06	6.386527e-05	0.1	1.218576e-06	0.01184684	0.1
1.493962e-06	0.8158031	0.1	1.493962e-06	6.72781e-05	0.1	1.493962e-06	7.8857e-05	0.1	1.493962e-06	0.07725061	0.1	1.493962e-06	0.00049924737	0.1	1.493962e-06	7.628281e-05	0.1	1.493962e-06	0.01415027	0.1
1.769348e-06	0.7873304	0.1	1.769348e-06	7.767592e-05	0.1	1.769348e-06	9.104446e-05	0.1	1.769348e-06	0.08919475	0.1	1.769348e-06	0.00057640601	0.1	1.769348e-06	8.807232e-05	0.1	1.769348e-06	0.01633719	0.1
2.044734e-06	0.7602671	0.1	2.044734e-06	8.755895e-05	0.1	2.044734e-06	0.0001026285	0.1	2.044734e-06	0.1005479	0.1	2.044734e-06	0.00064974456	0.1	2.044734e-06	9.927812e-05	0.1	2.044734e-06	0.01841584	0.1
2.365787e-06	0.7303663	0.1	2.365787e-06	9.847808e-05	0.1	2.365787e-06	0.000115427	0.1	2.365787e-06	0.1130914	0.1	2.365787e-06	0.00073077164	0.1	2.365787e-06	0.0001116587	0.1	2.365787e-06	0.0207124	0.1
2.698257e-06	0.7011342	0.1	2.698257e-06	0.000109153	0.1	2.698257e-06	0.0001279393	0.1	2.698257e-06	0.1253545	0.1	2.698257e-06	0.00080998648	0.1	2.698257e-06	0.0001237624	0.1	2.698257e-06	0.02295761	0.1
3.097585e-06	0.6681605	0.1	3.097585e-06	0.0001211942	0.1	3.097585e-06	0.000142053	0.1	3.097585e-06	0.1391873	0.1	3.097585e-06	0.0008993402800000001	0.1	3.097585e-06	0.0001374152	0.1	3.097585e-06	0.02549018	0.1
3.529998e-06	0.6348524	0.1	3.529998e-06	0.0001333575	0.1	3.529998e-06	0.0001563098	0.1	3.529998e-06	0.1531604	0.1	3.529998e-06	0.00098959999	0.1	3.529998e-06	0.0001512065	0.1	3.529998e-06	0.02804843	0.1
4.012039e-06	0.6003772	0.1	4.012039e-06	0.0001459471	0.1	4.012039e-06	0.0001710662	0.1	4.012039e-06	0.1676231	0.1	4.012039e-06	0.0010830221	0.1	4.012039e-06	0.0001654811	0.1	4.012039e-06	0.03069632	0.1
4.609027e-06	0.5611496	0.1	4.609027e-06	0.000160272	0.1	4.609027e-06	0.0001878567	0.1	4.609027e-06	0.1840796	0.1	4.609027e-06	0.00118932309	0.1	4.609027e-06	0.0001817234	0.1	4.609027e-06	0.03370922	0.1
