Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
1.802278e-12	1.000000019	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1	1.802278e-12	0.0	0.1
1.980202e-12	0.999999949	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1	1.980202e-12	0.0	0.1
2.158127e-12	1.000000038	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1	2.158127e-12	0.0	0.1
2.336051e-12	1.000000038	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1	2.336051e-12	0.0	0.1
2.513976e-12	0.999999968	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1	2.513976e-12	0.0	0.1
2.6919e-12	0.999999952	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1	2.6919e-12	0.0	0.1
2.869825e-12	1.000000021	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1	2.869825e-12	0.0	0.1
3.04775e-12	0.9999999540000001	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1	3.04775e-12	0.0	0.1
3.225674e-12	1.000000067	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1	3.225674e-12	0.0	0.1
3.439886e-12	0.999999922	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1	3.439886e-12	0.0	0.1
3.654097e-12	0.9999999110000002	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1	3.654097e-12	0.0	0.1
3.868309e-12	0.9999999989999999	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1	3.868309e-12	0.0	0.1
4.08252e-12	1.0000000199999999	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1	4.08252e-12	0.0	0.1
4.296732e-12	0.9999999493	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1	4.296732e-12	0.0	0.1
4.510943e-12	1.0000001206	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1	4.510943e-12	0.0	0.1
4.760056e-12	1.0000000437999998	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1	4.760056e-12	0.0	0.1
