Batch	m_SP	7	W3	W4_L	R	P1	P2_L	P3	P4											
1.308794e-08	0.9888148	0.1	1.308794e-08	2.643034e-06	0.1	1.308794e-08	5.387435e-06	0.1	1.308794e-08	0.003893475	0.1	1.308794e-08	3.7879109e-05	0.1	1.308794e-08	6.347797e-06	0.1	1.308794e-08	0.001648178	0.1
2.710906e-08	0.9770388	0.1	2.710906e-08	5.387599e-06	0.1	2.710906e-08	1.106402e-05	0.1	2.710906e-08	0.007992896	0.1	2.710906e-08	7.778201e-05	0.1	2.710906e-08	1.303533e-05	0.1	2.710906e-08	0.003383147	0.1
5.047758e-08	0.9578729	0.1	5.047758e-08	9.769653e-06	0.1	5.047758e-08	2.031825e-05	0.1	5.047758e-08	0.01466617	0.1	5.047758e-08	0.00014278947500000002	0.1	5.047758e-08	2.393407e-05	0.1	5.047758e-08	0.006205468	0.1
8.067896e-08	0.9339229	0.1	8.067896e-08	1.509489e-05	0.1	8.067896e-08	3.192274e-05	0.1	8.067896e-08	0.02300941	0.1	8.067896e-08	0.00022417089899999998	0.1	8.067896e-08	3.759086e-05	0.1	8.067896e-08	0.009727889	0.1
1.209336e-07	0.9033619	0.1	1.209336e-07	2.164057e-05	0.1	1.209336e-07	4.682831e-05	0.1	1.209336e-07	0.03366711	0.1	1.209336e-07	0.0003283391	0.1	1.209336e-07	5.510764e-05	0.1	1.209336e-07	0.01421083	0.1
1.766435e-07	0.8634556	0.1	1.766435e-07	2.975202e-05	0.1	1.766435e-07	6.65397e-05	0.1	1.766435e-07	0.04761467	0.1	1.766435e-07	0.00046511461	0.1	1.766435e-07	7.820674e-05	0.1	1.766435e-07	0.02003281	0.1
2.517665e-07	0.8136373	0.1	2.517665e-07	3.915443e-05	0.1	2.517665e-07	9.17446e-05	0.1	2.517665e-07	0.06510349	0.1	2.517665e-07	0.00063754932	0.1	2.517665e-07	0.0001075788	0.1	2.517665e-07	0.02722139	0.1
3.517512e-07	0.7536223	0.1	3.517512e-07	4.93544e-05	0.1	3.517512e-07	0.0001234681	0.1	3.517512e-07	0.08634992	0.1	3.517512e-07	0.00084882244	0.1	3.517512e-07	0.0001441501	0.1	3.517512e-07	0.03569783	0.1
4.517358e-07	0.6998428	0.1	4.517358e-07	5.738488e-05	0.1	4.517358e-07	0.0001537984	0.1	4.517358e-07	0.1056374	0.1	4.517358e-07	0.0010426638000000002	0.1	4.517358e-07	0.0001785196	0.1	4.517358e-07	0.04303755	0.1
5.517205e-07	0.6514391	0.1	5.517205e-07	6.36631e-05	0.1	5.517205e-07	0.0001833211	0.1	5.517205e-07	0.1232828	0.1	5.517205e-07	0.00122183892	0.1	5.517205e-07	0.0002112242	0.1	5.517205e-07	0.04934946	0.1
6.517052e-07	0.6076988	0.1	6.517052e-07	6.852357e-05	0.1	6.517052e-07	0.0002124817	0.1	6.517052e-07	0.1395391	0.1	6.517052e-07	0.00138832356	0.1	6.517052e-07	0.0002426266	0.1	6.517052e-07	0.05473385	0.1
7.601963e-07	0.5648223	0.1	7.601963e-07	7.25063e-05	0.1	7.601963e-07	0.0002441006	0.1	7.601963e-07	0.1558416	0.1	7.601963e-07	0.0015561942	0.1	7.601963e-07	0.0002754878	0.1	7.601963e-07	0.05963527	0.1
8.814472e-07	0.5217935	0.1	8.814472e-07	7.569553e-05	0.1	8.814472e-07	0.0002797766	0.1	8.814472e-07	0.1726592	0.1	8.814472e-07	0.00172940679	0.1	8.814472e-07	0.0003108931	0.1	8.814472e-07	0.0640861	0.1
1.002698e-06	0.48322	0.1	1.002698e-06	7.78451e-05	0.1	1.002698e-06	0.0003160894	0.1	1.002698e-06	0.1882122	0.1	1.002698e-06	0.0018883167500000002	0.1	1.002698e-06	0.0003449552	0.1	1.002698e-06	0.06758947	0.1
1.123949e-06	0.4484931	0.1	1.123949e-06	7.919267e-05	0.1	1.123949e-06	0.0003532167	0.1	1.123949e-06	0.2026749	0.1	1.123949e-06	0.0020334377	0.1	1.123949e-06	0.0003776226	0.1	1.123949e-06	0.07027462	0.1
1.2452e-06	0.4171062	0.1	1.2452e-06	7.992334e-05	0.1	1.2452e-06	0.0003912464	0.1	1.2452e-06	0.2161836	0.1	1.2452e-06	0.0021650557	0.1	1.2452e-06	0.0004087819	0.1	1.2452e-06	0.07225824	0.1
1.366451e-06	0.3886347	0.1	1.366451e-06	8.018083e-05	0.1	1.366451e-06	0.0004301968	0.1	1.366451e-06	0.2288459	0.1	1.366451e-06	0.0022833751	0.1	1.366451e-06	0.000438292	0.1	1.366451e-06	0.07364475	0.1
1.487702e-06	0.3627206	0.1	1.487702e-06	8.007627e-05	0.1	1.487702e-06	0.0004700316	0.1	1.487702e-06	0.2407483	0.1	1.487702e-06	0.0023886173	0.1	1.487702e-06	0.0004660097	0.1	1.487702e-06	0.07452669	0.1
