Batch	m_SP	5	Pr2	W1	W2	Pr1	Pr3							
5.6295e+22	9.9999e-06	0.1	5.6295e+22	4.384888e-17	0.1	5.6295e+22	8.837551e-32	0.1	5.6295e+22	8.370735e-20	0.1	5.6295e+22	9.916298e-31	0.1
1.68885e+23	9.9999e-06	0.1	1.68885e+23	1.289968e-16	0.1	1.68885e+23	2.599873e-31	0.1	1.68885e+23	7.839893e-19	0.1	1.68885e+23	5.964769e-30	0.1
5.6295e+23	9.9999e-06	0.1	5.6295e+23	4.032607e-16	0.1	5.6295e+23	8.127534e-31	0.1	5.6295e+23	8.199136e-18	0.1	5.6295e+23	0.0	0.1
1.80144e+24	9.9999e-06	0.1	1.80144e+24	1.075124e-15	0.1	1.80144e+24	2.166864e-30	0.1	1.80144e+24	7.123318e-17	0.1	1.80144e+24	7.601931e-29	0.1
5.40432e+24	9.9999e-06	0.1	5.40432e+24	1.981271e-15	0.1	5.40432e+24	3.993204e-30	0.1	5.40432e+24	4.736801e-16	0.1	5.40432e+24	0.0	0.1
1.80144e+25	9.9999e-06	0.1	1.80144e+25	2.438933e-15	0.1	1.80144e+25	4.916743e-30	0.1	1.80144e+25	2.447876e-15	0.1	1.80144e+25	1.44506e-28	0.1
5.764608e+25	9.9999e-06	0.1	5.764608e+25	2.442623e-15	0.1	5.764608e+25	4.939078e-30	0.1	5.764608e+25	8.890022e-15	0.1	5.764608e+25	0.0	0.1
1.729382e+26	9.9999e-06	0.1	1.729382e+26	2.553082e-15	0.1	1.729382e+26	5.290637e-30	0.1	1.729382e+26	2.566725e-14	0.1	1.729382e+26	1.537824e-28	0.1
5.764608e+26	9.9999e-06	0.1	5.764608e+26	3.053455e-15	0.1	5.764608e+26	6.864805e-30	0.1	5.764608e+26	4.988879e-14	0.1	5.764608e+26	0.0	0.1
1.844674e+27	9.9999e-06	0.1	1.844674e+27	3.082303e-15	0.1	1.844674e+27	6.951122e-30	0.1	1.844674e+27	5.714595e-14	0.1	1.844674e+27	0.0	0.1
5.534023e+27	9.9999e-06	0.1	5.534023e+27	3.070435e-15	0.1	5.534023e+27	6.913989e-30	0.1	5.534023e+27	5.659332e-14	0.1	5.534023e+27	2.393849e-30	0.1
1.844674e+28	9.9999e-06	0.1	1.844674e+28	3.070421e-15	0.1	1.844674e+28	6.913946e-30	0.1	1.844674e+28	5.659114e-14	0.1	1.844674e+28	1.596342e-29	0.1
5.902958e+28	9.9999e-06	0.1	5.902958e+28	3.070421e-15	0.1	5.902958e+28	6.913946e-30	0.1	5.902958e+28	5.659113e-14	0.1	5.902958e+28	2.460017e-29	0.1
1.770887e+29	9.9999e-06	0.1	1.770887e+29	3.070421e-15	0.1	1.770887e+29	6.913946e-30	0.1	1.770887e+29	5.659113e-14	0.1	1.770887e+29	8.882638e-31	0.1
5.902958e+29	9.9999e-06	0.1	5.902958e+29	3.070421e-15	0.1	5.902958e+29	6.913946e-30	0.1	5.902958e+29	5.659113e-14	0.1	5.902958e+29	1.480113e-30	0.1
1.888947e+30	9.9999e-06	0.1	1.888947e+30	3.070421e-15	0.1	1.888947e+30	6.913946e-30	0.1	1.888947e+30	5.659113e-14	0.1	1.888947e+30	1.248176e-29	0.1
5.66684e+30	9.9999e-06	0.1	5.66684e+30	3.070421e-15	0.1	5.66684e+30	6.913946e-30	0.1	5.66684e+30	5.659113e-14	0.1	5.66684e+30	2.545737e-29	0.1
1.888947e+31	9.9999e-06	0.1	1.888947e+31	3.070421e-15	0.1	1.888947e+31	6.913946e-30	0.1	1.888947e+31	5.659113e-14	0.1	1.888947e+31	6.62664e-30	0.1
6.044629e+31	9.9999e-06	0.1	6.044629e+31	3.070421e-15	0.1	6.044629e+31	6.913946e-30	0.1	6.044629e+31	5.659113e-14	0.1	6.044629e+31	7.414385e-31	0.1
1.813389e+32	9.9999e-06	0.1	1.813389e+32	3.070421e-15	0.1	1.813389e+32	6.913946e-30	0.1	1.813389e+32	5.659113e-14	0.1	1.813389e+32	0.0	0.1
6.044629e+32	9.9999e-06	0.1	6.044629e+32	3.070421e-15	0.1	6.044629e+32	6.913946e-30	0.1	6.044629e+32	5.659113e-14	0.1	6.044629e+32	4.477668e-29	0.1
1.934281e+33	9.9999e-06	0.1	1.934281e+33	3.070421e-15	0.1	1.934281e+33	6.913946e-30	0.1	1.934281e+33	5.659113e-14	0.1	1.934281e+33	0.0	0.1
5.802844e+33	9.9999e-06	0.1	5.802844e+33	3.070421e-15	0.1	5.802844e+33	6.913946e-30	0.1	5.802844e+33	5.659113e-14	0.1	5.802844e+33	4.477877e-29	0.1
1.934281e+34	9.9999e-06	0.1	1.934281e+34	3.070421e-15	0.1	1.934281e+34	6.913946e-30	0.1	1.934281e+34	5.659113e-14	0.1	1.934281e+34	0.0	0.1
6.1897e+34	9.9999e-06	0.1	6.1897e+34	3.070421e-15	0.1	6.1897e+34	6.913946e-30	0.1	6.1897e+34	5.659113e-14	0.1	6.1897e+34	6.717189e-29	0.1
1.85691e+35	9.9999e-06	0.1	1.85691e+35	3.070421e-15	0.1	1.85691e+35	6.913946e-30	0.1	1.85691e+35	5.659113e-14	0.1	1.85691e+35	0.0	0.1
6.1897e+35	9.9999e-06	0.1	6.1897e+35	3.070421e-15	0.1	6.1897e+35	6.913946e-30	0.1	6.1897e+35	5.659113e-14	0.1	6.1897e+35	4.418719e-29	0.1
