Batch	m_SP	5	W2	W1	Pr1	Pr2	Pr3							
1.005899e-09	0.9773459	0.1	1.005899e-09	0.004910143	0.1	1.005899e-09	0.008167886	0.1	1.005899e-09	0.0005090276	0.1	1.005899e-09	0.0001950787	0.1
2.181901e-09	0.951752	0.1	2.181901e-09	0.0104563	0.1	2.181901e-09	0.0173958	0.1	2.181901e-09	0.001084477	0.1	2.181901e-09	0.0004155711	0.1
3.792856e-09	0.9181681	0.1	3.792856e-09	0.01773191	0.1	3.792856e-09	0.02950475	0.1	3.792856e-09	0.001840207	0.1	3.792856e-09	0.0007050627	0.1
6.052189e-09	0.8737436	0.1	6.052189e-09	0.02735219	0.1	6.052189e-09	0.0455227	0.1	6.052189e-09	0.00284109	0.1	6.052189e-09	0.001088296	0.1
9.519636e-09	0.81106	0.1	9.519636e-09	0.04091827	0.1	9.519636e-09	0.06812518	0.1	9.519636e-09	0.00425603	0.1	9.519636e-09	0.001629651	0.1
1.425961e-08	0.7347512	0.1	1.425961e-08	0.0574175	0.1	1.425961e-08	0.09564233	0.1	1.425961e-08	0.005983599	0.1	1.425961e-08	0.002289699	0.1
2.075623e-08	0.6448082	0.1	2.075623e-08	0.07683691	0.1	2.075623e-08	0.1280792	0.1	2.075623e-08	0.008028963	0.1	2.075623e-08	0.003069241	0.1
2.769201e-08	0.5638758	0.1	2.769201e-08	0.094277	0.1	2.769201e-08	0.1572707	0.1	2.769201e-08	0.009880676	0.1	2.769201e-08	0.003772253	0.1
3.462778e-08	0.4953832	0.1	3.462778e-08	0.1090027	0.1	3.462778e-08	0.1819795	0.1	3.462778e-08	0.01145911	0.1	3.462778e-08	0.004368445	0.1
4.156356e-08	0.4369216	0.1	4.156356e-08	0.1215391	0.1	4.156356e-08	0.2030739	0.1	4.156356e-08	0.01281746	0.1	4.156356e-08	0.004878258	0.1
4.849933e-08	0.3866575	0.1	4.849933e-08	0.1322859	0.1	4.849933e-08	0.2212148	0.1	4.849933e-08	0.01399622	0.1	4.849933e-08	0.005317282	0.1
5.68553e-08	0.3349955	0.1	5.68553e-08	0.1432908	0.1	5.68553e-08	0.2398659	0.1	5.68553e-08	0.01522179	0.1	5.68553e-08	0.005769162	0.1
6.521128e-08	0.2912702	0.1	6.521128e-08	0.1525617	0.1	6.521128e-08	0.2556579	0.1	6.521128e-08	0.01627406	0.1	6.521128e-08	0.006152084	0.1
7.356725e-08	0.2540186	0.1	7.356725e-08	0.1604178	0.1	7.356725e-08	0.2691179	0.1	7.356725e-08	0.01718526	0.1	7.356725e-08	0.006478578	0.1
8.192322e-08	0.2221045	0.1	8.192322e-08	0.1671068	0.1	8.192322e-08	0.2806555	0.1	8.192322e-08	0.01798039	0.1	8.192322e-08	0.006758403	0.1
9.027919e-08	0.194632	0.1	9.027919e-08	0.1728241	0.1	9.027919e-08	0.2905935	0.1	9.027919e-08	0.01867914	0.1	9.027919e-08	0.006999277	0.1
9.863516e-08	0.1708853	0.1	9.863516e-08	0.177726	0.1	9.863516e-08	0.2991898	0.1	9.863516e-08	0.01929722	0.1	9.863516e-08	0.007207384	0.1
1.069911e-07	0.150286	0.1	1.069911e-07	0.1819386	0.1	1.069911e-07	0.3066527	0.1	1.069911e-07	0.01984731	0.1	1.069911e-07	0.007387737	0.1
1.153471e-07	0.1323616	0.1	1.153471e-07	0.1855651	0.1	1.153471e-07	0.3131524	0.1	1.153471e-07	0.02033975	0.1	1.153471e-07	0.007544443	0.1
1.237031e-07	0.1167229	0.1	1.237031e-07	0.1886906	0.1	1.237031e-07	0.3188293	0.1	1.237031e-07	0.02078304	0.1	1.237031e-07	0.007680894	0.1
1.32059e-07	0.1030465	0.1	1.32059e-07	0.1913856	0.1	1.32059e-07	0.3237998	0.1	1.32059e-07	0.02118423	0.1	1.32059e-07	0.007799918	0.1
1.40415e-07	0.09106152	0.1	1.40415e-07	0.1937095	0.1	1.40415e-07	0.3281614	0.1	1.40415e-07	0.0215492	0.1	1.40415e-07	0.007903887	0.1
1.48771e-07	0.08053997	0.1	1.48771e-07	0.1957121	0.1	1.48771e-07	0.3319963	0.1	1.48771e-07	0.02188293	0.1	1.48771e-07	0.007994805	0.1
1.57127e-07	0.07128859	0.1	1.57127e-07	0.1974356	0.1	1.57127e-07	0.335374	0.1	1.57127e-07	0.02218958	0.1	1.57127e-07	0.008074375	0.1
1.654829e-07	0.06314276	0.1	1.654829e-07	0.1989161	0.1	1.654829e-07	0.3383538	0.1	1.654829e-07	0.02247272	0.1	1.654829e-07	0.008144048	0.1
1.738389e-07	0.05596161	0.1	1.738389e-07	0.2001845	0.1	1.738389e-07	0.3409865	0.1	1.738389e-07	0.02273539	0.1	1.738389e-07	0.008205072	0.1
1.821949e-07	0.0496241	0.1	1.821949e-07	0.2012673	0.1	1.821949e-07	0.3433156	0.1	1.821949e-07	0.02298019	0.1	1.821949e-07	0.00825852	0.1
1.905508e-07	0.04402579	0.1	1.905508e-07	0.2021874	0.1	1.905508e-07	0.3453788	0.1	1.905508e-07	0.02320935	0.1	1.905508e-07	0.008305318	0.1
1.989068e-07	0.03907632	0.1	1.989068e-07	0.2029646	0.1	1.989068e-07	0.3472085	0.1	1.989068e-07	0.02342482	0.1	1.989068e-07	0.00834627	0.1
2.072628e-07	0.03469724	0.1	2.072628e-07	0.2036162	0.1	2.072628e-07	0.3488329	0.1	2.072628e-07	0.02362826	0.1	2.072628e-07	0.008382076	0.1
2.156187e-07	0.03082027	0.1	2.156187e-07	0.2041572	0.1	2.156187e-07	0.3502768	0.1	2.156187e-07	0.02382112	0.1	2.156187e-07	0.008413345	0.1
2.239747e-07	0.02738585	0.1	2.239747e-07	0.2046007	0.1	2.239747e-07	0.3515614	0.1	2.239747e-07	0.02400468	0.1	2.239747e-07	0.008440609	0.1
2.323307e-07	0.0243419	0.1	2.323307e-07	0.2049582	0.1	2.323307e-07	0.3527056	0.1	2.323307e-07	0.02418003	0.1	2.323307e-07	0.008464334	0.1
2.406867e-07	0.02164278	0.1	2.406867e-07	0.2052396	0.1	2.406867e-07	0.3537257	0.1	2.406867e-07	0.02434813	0.1	2.406867e-07	0.008484929	0.1
2.490426e-07	0.01924846	0.1	2.490426e-07	0.2054539	0.1	2.490426e-07	0.3546362	0.1	2.490426e-07	0.02450982	0.1	2.490426e-07	0.008502754	0.1
2.573986e-07	0.01712376	0.1	2.573986e-07	0.2056088	0.1	2.573986e-07	0.3554497	0.1	2.573986e-07	0.02466585	0.1	2.573986e-07	0.008518123	0.1
2.657546e-07	0.01523771	0.1	2.657546e-07	0.2057112	0.1	2.657546e-07	0.3561774	0.1	2.657546e-07	0.02481685	0.1	2.657546e-07	0.008531316	0.1
