Batch	m_SP	13	R	W1	W2	W3	W4	W5	W6	P1	P2	P3	P4	P5	P6																							
7.860965e-11	9.73480167751e-06	0.1	7.860965e-11	1.251927e-117	0.1	7.860965e-11	6.817414e-13	0.1	7.860965e-11	2.09974e-10	0.1	7.860965e-11	1.251927e-117	0.1	7.860965e-11	1.458338e-07	0.1	7.860965e-11	4.35483e-11	0.1	7.860965e-11	2.835663e-08	0.1	7.860965e-11	6.454504e-08	0.1	7.860965e-11	2.099738e-08	0.1	7.860965e-11	2.417062e-11	0.1	7.860965e-11	5.090684e-09	0.1	7.860965e-11	7.224178e-14	0.1
1.682942e-10	9.440925757463099e-06	0.1	1.682942e-10	4.040466e-117	0.1	1.682942e-10	1.43708e-12	0.1	1.682942e-10	4.427412e-10	0.1	1.682942e-10	4.040466e-117	0.1	1.682942e-10	3.074975e-07	0.1	1.682942e-10	9.182541e-11	0.1	1.682942e-10	5.979145e-08	0.1	1.682942e-10	1.360965e-07	0.1	1.682942e-10	4.427404e-08	0.1	1.682942e-10	5.096495e-11	0.1	1.682942e-10	1.073396e-08	0.1	1.682942e-10	1.523254e-13	0.1
3.760841e-10	8.793685665331e-06	0.1	3.760841e-10	1.583902e-116	0.1	3.760841e-10	3.099028e-12	0.1	3.760841e-10	9.553982e-10	0.1	3.760841e-10	1.583902e-116	0.1	3.760841e-10	6.635503e-07	0.1	3.760841e-10	1.981594e-10	0.1	3.760841e-10	1.290251e-07	0.1	3.760841e-10	2.936844e-07	0.1	3.760841e-10	9.553942e-08	0.1	3.760841e-10	1.099778e-10	0.1	3.760841e-10	2.316293e-08	0.1	3.760841e-10	3.287043e-13	0.1
7.501059e-10	7.738420876434e-06	0.1	7.501059e-10	5.449478e-116	0.1	7.501059e-10	5.803072e-12	0.1	7.501059e-10	1.791246e-09	0.1	7.501059e-10	5.449478e-116	0.1	7.501059e-10	1.244058e-06	0.1	7.501059e-10	3.715506e-10	0.1	7.501059e-10	2.419054e-07	0.1	7.501059e-10	5.50618e-07	0.1	7.501059e-10	1.79123e-07	0.1	7.501059e-10	2.061928e-10	0.1	7.501059e-10	4.342724e-08	0.1	7.501059e-10	6.162735e-13	0.1
1.219011e-09	6.592492185468e-06	0.1	1.219011e-09	1.3105e-115	0.1	1.219011e-09	8.729478e-12	0.1	1.219011e-09	2.698921e-09	0.1	1.219011e-09	1.3105e-115	0.1	1.219011e-09	1.874435e-06	0.1	1.219011e-09	5.598816e-10	0.1	1.219011e-09	3.644869e-07	0.1	1.219011e-09	8.296289e-07	0.1	1.219011e-09	2.698881e-07	0.1	1.219011e-09	3.106745e-10	0.1	1.219011e-09	6.543266e-08	0.1	1.219011e-09	9.285496e-13	0.1
1.723467e-09	5.548429418048e-06	0.1	1.723467e-09	2.433593e-115	0.1	1.723467e-09	1.138353e-11	0.1	1.723467e-09	3.52593e-09	0.1	1.723467e-09	2.433593e-115	0.1	1.723467e-09	2.448769e-06	0.1	1.723467e-09	7.315245e-10	0.1	1.723467e-09	4.761752e-07	0.1	1.723467e-09	1.083841e-06	0.1	1.723467e-09	3.525852e-07	0.1	1.723467e-09	4.058689e-10	0.1	1.723467e-09	8.548205e-08	0.1	1.723467e-09	1.213067e-12	0.1
2.309995e-09	4.5405462424625e-06	0.1	2.309995e-09	4.066355e-115	0.1	2.309995e-09	1.392991e-11	0.1	2.309995e-09	4.324306e-09	0.1	2.309995e-09	4.066355e-115	0.1	2.309995e-09	3.003193e-06	0.1	2.309995e-09	8.972889e-10	0.1	2.309995e-09	5.83998e-07	0.1	2.309995e-09	1.329247e-06	0.1	2.309995e-09	4.324171e-07	0.1	2.309995e-09	4.977652e-10	0.1	2.309995e-09	1.048368e-07	0.1	2.309995e-09	1.487724e-12	0.1
2.951239e-09	3.6469059543063002e-06	0.1	2.951239e-09	6.181899e-115	0.1	2.951239e-09	1.616863e-11	0.1	2.951239e-09	5.032217e-09	0.1	2.951239e-09	6.181899e-115	0.1	2.951239e-09	3.494764e-06	0.1	2.951239e-09	1.044349e-09	0.1	2.951239e-09	6.796049e-07	0.1	2.951239e-09	1.546841e-06	0.1	2.951239e-09	5.032006e-07	0.1	2.951239e-09	5.792458e-10	0.1	2.951239e-09	1.219978e-07	0.1	2.951239e-09	1.73125e-12	0.1
3.592483e-09	2.9291473347448e-06	0.1	3.592483e-09	8.576518e-115	0.1	3.592483e-09	1.7947e-11	0.1	3.592483e-09	5.600832e-09	0.1	3.592483e-09	8.576518e-115	0.1	3.592483e-09	3.889575e-06	0.1	3.592483e-09	1.162555e-09	0.1	3.592483e-09	7.564011e-07	0.1	3.592483e-09	1.721614e-06	0.1	3.592483e-09	5.600533e-07	0.1	3.592483e-09	6.446904e-10	0.1	3.592483e-09	1.357815e-07	0.1	3.592483e-09	1.926845e-12	0.1
4.233726e-09	2.3526544740075998e-06	0.1	4.233726e-09	1.119528e-114	0.1	4.233726e-09	1.935571e-11	0.1	4.233726e-09	6.057567e-09	0.1	4.233726e-09	1.119528e-114	0.1	4.233726e-09	4.206671e-06	0.1	4.233726e-09	1.257585e-09	0.1	4.233726e-09	8.180888e-07	0.1	4.233726e-09	1.861993e-06	0.1	4.233726e-09	6.057169e-07	0.1	4.233726e-09	6.972553e-10	0.1	4.233726e-09	1.468524e-07	0.1	4.233726e-09	2.083945e-12	0.1
4.901233e-09	1.8727375304232e-06	0.1	4.901233e-09	1.411199e-114	0.1	4.901233e-09	2.050769e-11	0.1	4.901233e-09	6.437821e-09	0.1	4.901233e-09	1.411199e-114	0.1	4.901233e-09	4.470635e-06	0.1	4.901233e-09	1.336791e-09	0.1	4.901233e-09	8.694488e-07	0.1	4.901233e-09	1.978859e-06	0.1	4.901233e-09	6.437312e-07	0.1	4.901233e-09	7.410151e-10	0.1	4.901233e-09	1.560688e-07	0.1	4.901233e-09	2.214726e-12	0.1
5.673791e-09	1.438145153323e-06	0.1	5.673791e-09	1.767947e-114	0.1	5.673791e-09	2.152494e-11	0.1	5.673791e-09	6.782204e-09	0.1	5.673791e-09	1.767947e-114	0.1	5.673791e-09	4.709656e-06	0.1	5.673791e-09	1.408635e-09	0.1	5.673791e-09	9.159664e-07	0.1	5.673791e-09	2.084694e-06	0.1	5.673791e-09	6.781558e-07	0.1	5.673791e-09	7.80643e-10	0.1	5.673791e-09	1.64415e-07	0.1	5.673791e-09	2.333155e-12	0.1
6.44635e-09	1.104406538092e-06	0.1	6.44635e-09	2.140694e-114	0.1	6.44635e-09	2.227858e-11	0.1	6.44635e-09	7.046712e-09	0.1	6.44635e-09	2.140694e-114	0.1	6.44635e-09	4.893192e-06	0.1	6.44635e-09	1.463934e-09	0.1	6.44635e-09	9.516976e-07	0.1	6.44635e-09	2.165974e-06	0.1	6.44635e-09	7.045921e-07	0.1	6.44635e-09	8.110756e-10	0.1	6.44635e-09	1.708244e-07	0.1	6.44635e-09	2.4241e-12	0.1
7.218908e-09	8.4811684138392e-07	0.1	7.218908e-09	2.525728e-114	0.1	7.218908e-09	2.282994e-11	0.1	7.218908e-09	7.249881e-09	0.1	7.218908e-09	2.525728e-114	0.1	7.218908e-09	5.034122e-06	0.1	7.218908e-09	1.506528e-09	0.1	7.218908e-09	9.791456e-07	0.1	7.218908e-09	2.228398e-06	0.1	7.218908e-09	7.24894e-07	0.1	7.218908e-09	8.344468e-10	0.1	7.218908e-09	1.757467e-07	0.1	7.218908e-09	2.493939e-12	0.1
