Batch	m_SP	2	Pr1	W1	
1.799136000000e+13	9.883740161610e-06	1.000000000000e-01	1.799136000000e+13	1.161395000000e-07	1.000000000000e-01
3.666830000000e+13	9.764583353190e-06	1.000000000000e-01	3.666830000000e+13	2.352985000000e-07	1.000000000000e-01
6.868593000000e+13	9.563646362580e-06	1.000000000000e-01	6.868593000000e+13	4.362386000000e-07	1.000000000000e-01
1.220486000000e+14	9.237898620090e-06	1.000000000000e-01	1.220486000000e+14	7.619919000000e-07	1.000000000000e-01
2.287740000000e+14	8.619311806020e-06	1.000000000000e-01	2.287740000000e+14	1.380590000000e-06	1.000000000000e-01
4.208798000000e+14	7.608367915560e-06	1.000000000000e-01	4.208798000000e+14	2.391552000000e-06	1.000000000000e-01
6.608875000000e+14	6.510287896470e-06	1.000000000000e-01	6.608875000000e+14	3.489652000000e-06	1.000000000000e-01
9.407307000000e+14	5.428424715210e-06	1.000000000000e-01	9.407307000000e+14	4.571534000000e-06	1.000000000000e-01
1.255644000000e+15	4.424420755350e-06	1.000000000000e-01	1.255644000000e+15	5.575556000000e-06	1.000000000000e-01
1.593936000000e+15	3.551771481930e-06	1.000000000000e-01	1.593936000000e+15	6.448220000000e-06	1.000000000000e-01
1.932229000000e+15	2.851239487320e-06	1.000000000000e-01	1.932229000000e+15	7.148765000000e-06	1.000000000000e-01
2.270522000000e+15	2.288876111010e-06	1.000000000000e-01	2.270522000000e+15	7.711138000000e-06	1.000000000000e-01
2.608814000000e+15	1.837430625510e-06	1.000000000000e-01	2.608814000000e+15	8.162592000000e-06	1.000000000000e-01
2.961232000000e+15	1.461556384290e-06	1.000000000000e-01	2.961232000000e+15	8.538473000000e-06	1.000000000000e-01
3.370153000000e+15	1.120687793010e-06	1.000000000000e-01	3.370153000000e+15	8.879348000000e-06	1.000000000000e-01
3.779073000000e+15	8.593173067410e-07	1.000000000000e-01	3.779073000000e+15	9.140723000000e-06	1.000000000000e-01
4.187993000000e+15	6.589046108880e-07	1.000000000000e-01	4.187993000000e+15	9.341139000000e-06	1.000000000000e-01
4.596913000000e+15	5.052327476220e-07	1.000000000000e-01	4.596913000000e+15	9.494813000000e-06	1.000000000000e-01
5.074309000000e+15	3.705508944540e-07	1.000000000000e-01	5.074309000000e+15	9.629498000000e-06	1.000000000000e-01
5.568823000000e+15	2.687671123020e-07	1.000000000000e-01	5.568823000000e+15	9.731283000000e-06	1.000000000000e-01
6.063337000000e+15	1.949415505650e-07	1.000000000000e-01	6.063337000000e+15	9.805110000000e-06	1.000000000000e-01
6.578153000000e+15	1.395426045600e-07	1.000000000000e-01	6.578153000000e+15	9.860510000000e-06	1.000000000000e-01
