Batch	m_SP	5	N1a_L	C5H5	T1a_L	T4a_L	N7a_L							
1.815156e-11	9.73544381364605e-06	0.1	1.815156e-11	1.637583e-07	0.1	1.815156e-11	1.823597e-07	0.1	1.815156e-11	1.013470371e-11	0.1	1.815156e-11	3.4739097e-16	0.1
3.884261e-11	9.442619655229921e-06	0.1	3.884261e-11	3.45143e-07	0.1	3.884261e-11	3.84362796e-07	0.1	3.884261e-11	2.1405180169999998e-11	0.1	3.884261e-11	1.57465865e-15	0.1
8.676942e-11	8.79774022243812e-06	0.1	8.676942e-11	7.445656e-07	0.1	8.676942e-11	8.292461199999999e-07	0.1	8.676942e-11	4.640475132e-11	0.1	8.676942e-11	7.6763104e-15	0.1
1.730377e-10	7.74594492562091e-06	0.1	1.730377e-10	1.395911e-06	0.1	1.730377e-10	1.55490603e-06	0.1	1.730377e-10	8.779332199999999e-11	0.1	1.730377e-10	2.9290473e-14	0.1
2.812082e-10	6.60300417367215e-06	0.1	2.812082e-10	2.103524e-06	0.1	2.812082e-10	2.34353734e-06	0.1	2.812082e-10	1.338628281e-10	0.1	2.812082e-10	7.3534758e-14	0.1
3.9759e-10	5.560956282988794e-06	0.1	3.9759e-10	2.748491e-06	0.1	3.9759e-10	3.0626461899999998e-06	0.1	3.9759e-10	1.7721288249999997e-10	0.1	3.9759e-10	1.39402489e-13	0.1
5.328833e-10	4.5545038951207585e-06	0.1	5.328833e-10	3.37123e-06	0.1	5.328833e-10	3.7572883599999997e-06	0.1	5.328833e-10	2.2081819960000003e-10	0.1	5.328833e-10	2.3588285000000003e-13	0.1
6.807844e-10	3.6614939953599e-06	0.1	6.807844e-10	3.923586e-06	0.1	6.807844e-10	4.37373175e-06	0.1	6.807844e-10	2.6162134529999997e-10	0.1	6.807844e-10	3.6143613e-13	0.1
8.286855e-10	2.94361970019189e-06	0.1	8.286855e-10	4.367457e-06	0.1	8.286855e-10	4.869360790000001e-06	0.1	8.286855e-10	2.966214161e-10	0.1	8.286855e-10	5.0390206e-13	0.1
9.765866e-10	2.366523318690208e-06	0.1	9.765866e-10	4.724156e-06	0.1	9.765866e-10	5.26785864e-06	0.1	9.765866e-10	3.269558676e-10	0.1	9.765866e-10	6.5990014e-13	0.1
1.130525e-09	1.885720560332725e-06	0.1	1.130525e-09	5.021232e-06	0.1	1.130525e-09	5.59991747e-06	0.1	1.130525e-09	3.5455510720000003e-10	0.1	1.130525e-09	8.3371789e-13	0.1
1.308615e-09	1.4500316585438823e-06	0.1	1.308615e-09	5.290332e-06	0.1	1.308615e-09	5.9008722e-06	0.1	1.308615e-09	3.8248575210000005e-10	0.1	1.308615e-09	1.04622666e-12	0.1
1.486705e-09	1.115027598298943e-06	0.1	1.486705e-09	5.49716e-06	0.1	1.486705e-09	6.1323194e-06	0.1	1.486705e-09	4.0707359650000003e-10	0.1	1.486705e-09	1.2681634e-12	0.1
1.664794e-09	8.574362710072812e-07	0.1	1.664794e-09	5.656132e-06	0.1	1.664794e-09	6.3103171e-06	0.1	1.664794e-09	4.290880392e-10	0.1	1.664794e-09	1.49722862e-12	0.1
1.842884e-09	6.593652951889544e-07	0.1	1.842884e-09	5.778325e-06	0.1	1.842884e-09	6.4472102999999995e-06	0.1	1.842884e-09	4.491202352e-10	0.1	1.842884e-09	1.731652e-12	0.1
2.050313e-09	4.855870228025253e-07	0.1	2.050313e-09	5.885487e-06	0.1	2.050313e-09	6.5673374e-06	0.1	2.050313e-09	4.705515037e-10	0.1	2.050313e-09	2.0096512e-12	0.1
2.265076e-09	3.5376998410321707e-07	0.1	2.265076e-09	5.966737e-06	0.1	2.265076e-09	6.6584783999999994e-06	0.1	2.265076e-09	4.911273483e-10	0.1	2.265076e-09	2.3014646e-12	0.1
2.479839e-09	2.5774247478673104e-07	0.1	2.479839e-09	6.025902e-06	0.1	2.479839e-09	6.7248874e-06	0.1	2.479839e-09	5.104948988e-10	0.1	2.479839e-09	2.5960166e-12	0.1
2.703301e-09	1.85392566872887e-07	0.1	2.703301e-09	6.070459e-06	0.1	2.703301e-09	6.7749336e-06	0.1	2.703301e-09	5.297073041e-10	0.1	2.703301e-09	2.9043569e-12	0.1
2.961555e-09	1.2668735395452046e-07	0.1	2.961555e-09	6.106597e-06	0.1	2.961555e-09	6.815550899999999e-06	0.1	2.961555e-09	5.510492359e-10	0.1	2.961555e-09	3.2620414e-12	0.1
