Batch	m_SP	5	Flvln	N1a_L	N7a_L	Nphln	Azln							
1.32181e-11	9.8098319007e-06	0.1	1.32181e-11	1.89407469e-07	0.1	1.32181e-11	3.7758995999999996e-10	0.1	1.32181e-11	2.510027e-10	0.1	1.32181e-11	2.391312e-11	0.1
2.548268e-11	9.636706631970001e-06	0.1	2.548268e-11	3.6193028999999995e-07	0.1	2.548268e-11	7.2662422e-10	0.1	2.548268e-11	4.797453e-10	0.1	2.548268e-11	4.569453e-11	0.1
4.711526e-11	9.338758611480001e-06	0.1	4.711526e-11	6.588424700000001e-07	0.1	4.711526e-11	1.3273502099999999e-09	0.1	4.711526e-11	8.736724e-10	0.1	4.711526e-11	8.318035e-11	0.1
8.316955e-11	8.86250837403e-06	0.1	8.316955e-11	1.133436669e-06	0.1	8.316955e-11	2.287672e-09	0.1	8.316955e-11	1.504043e-09	0.1	8.316955e-11	1.430989e-10	0.1
1.550993e-10	7.98370416216e-06	0.1	1.550993e-10	2.0091845629999998e-06	0.1	1.550993e-10	4.0600571e-09	0.1	1.550993e-10	2.66964e-09	0.1	1.550993e-10	2.536641e-10	0.1
2.534389e-10	6.9215057842500004e-06	0.1	2.534389e-10	3.067688622e-06	0.1	2.534389e-10	6.2029647e-09	0.1	2.534389e-10	4.083004e-09	0.1	2.534389e-10	3.873027e-10	0.1
3.693851e-10	5.84918950752e-06	0.1	3.693851e-10	4.1362776599999995e-06	0.1	3.693851e-10	8.367098e-09	0.1	3.693851e-10	5.515482e-09	0.1	3.693851e-10	5.222144e-10	0.1
5.100412e-10	4.76882031132e-06	0.1	5.100412e-10	5.2128888e-06	0.1	5.100412e-10	1.0548436e-08	0.1	5.100412e-10	6.965362e-09	0.1	5.100412e-10	6.58139e-10	0.1
6.877621e-10	3.6843141564900002e-06	0.1	6.877621e-10	6.29362452e-06	0.1	6.877621e-10	1.2739282e-08	0.1	6.877621e-10	8.428812e-09	0.1	6.877621e-10	7.945843e-10	0.1
8.654831e-10	2.8464415353000004e-06	0.1	8.654831e-10	7.12858244e-06	0.1	8.654831e-10	1.4432863999999999e-08	0.1	8.654831e-10	9.5662e-09	0.1	8.654831e-10	8.999998e-10	0.1
1.043204e-09	2.19911500863e-06	0.1	1.043204e-09	7.77365775e-06	0.1	1.043204e-09	1.5742021999999997e-08	0.1	1.043204e-09	1.044996e-08	0.1	1.043204e-09	9.81442e-10	0.1
1.220925e-09	1.69900100982e-06	0.1	1.220925e-09	8.272034190000001e-06	0.1	1.220925e-09	1.6753995e-08	0.1	1.220925e-09	1.113649e-08	0.1	1.220925e-09	1.044363e-09	0.1
1.398646e-09	1.3126208736600002e-06	0.1	1.398646e-09	8.657069379999999e-06	0.1	1.398646e-09	1.753623e-08	0.1	1.398646e-09	1.166968e-08	0.1	1.398646e-09	1.092975e-09	0.1
1.576367e-09	1.0141098588e-06	0.1	1.576367e-09	8.95454296e-06	0.1	1.576367e-09	1.8140873e-08	0.1	1.576367e-09	1.20837e-08	0.1	1.576367e-09	1.130531e-09	0.1
1.754088e-09	7.834846650750001e-07	0.1	1.754088e-09	9.184365729999998e-06	0.1	1.754088e-09	1.8608233e-08	0.1	1.754088e-09	1.240512e-08	0.1	1.754088e-09	1.159547e-09	0.1
1.931809e-09	6.053075468640001e-07	0.1	1.931809e-09	9.36192314e-06	0.1	1.931809e-09	1.8969475e-08	0.1	1.931809e-09	1.26546e-08	0.1	1.931809e-09	1.181964e-09	0.1
2.10953e-09	4.6765092344400005e-07	0.1	2.10953e-09	9.49910129e-06	0.1	2.10953e-09	1.9248690000000003e-08	0.1	2.10953e-09	1.284821e-08	0.1	2.10953e-09	1.199283e-09	0.1
2.32376e-09	3.4264797348600005e-07	0.1	2.32376e-09	9.623669200000002e-06	0.1	2.32376e-09	1.9502349e-08	0.1	2.32376e-09	1.302484e-08	0.1	2.32376e-09	1.21501e-09	0.1
2.53799e-09	2.5105828939200003e-07	0.1	2.53799e-09	9.71494077e-06	0.1	2.53799e-09	1.9688302999999998e-08	0.1	2.53799e-09	1.31549e-08	0.1	2.53799e-09	1.226533e-09	0.1
2.75222e-09	1.83950560476e-07	0.1	2.75222e-09	9.78181528e-06	0.1	2.75222e-09	1.9824622e-08	0.1	2.75222e-09	1.325065e-08	0.1	2.75222e-09	1.234976e-09	0.1
2.975476e-09	1.33025969727e-07	0.1	2.975476e-09	9.832562159999998e-06	0.1	2.975476e-09	1.9928105000000002e-08	0.1	2.975476e-09	1.332364e-08	0.1	2.975476e-09	1.241383e-09	0.1
