Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
3.652161e-14	0.9834588144	0.1	3.652161e-14	0.0001510631	0.1	3.652161e-14	3.288137e-06	0.1	3.652161e-14	1.353792e-05	0.1	3.652161e-14	1.538306e-05	0.1	3.652161e-14	0.0001082769	0.1	3.652161e-14	0.0002170217	0.1	3.652161e-14	4.78167e-05	0.1	3.652161e-14	0.007990036	0.1	3.652161e-14	1.928333e-06	0.1	3.652161e-14	4.257495e-07	0.1
6.746794e-14	0.9697590637	0.1	6.746794e-14	0.0002731414	0.1	6.746794e-14	5.96972e-06	0.1	6.746794e-14	2.482971e-05	0.1	6.746794e-14	2.808037e-05	0.1	6.746794e-14	0.0001970346	0.1	6.746794e-14	0.0003990291	0.1	6.746794e-14	8.905897e-05	0.1	6.746794e-14	0.01460756	0.1	6.746794e-14	3.538458e-06	0.1	6.746794e-14	7.837263e-07	0.1
9.841427e-14	0.9563405006000001	0.1	9.841427e-14	0.0003900123	0.1	9.841427e-14	8.55865e-06	0.1	9.841427e-14	3.59604e-05	0.1	9.841427e-14	4.047666e-05	0.1	9.841427e-14	0.0002831281	0.1	9.841427e-14	0.0005793075	0.1	9.841427e-14	0.0001309528	0.1	9.841427e-14	0.02108931	0.1	9.841427e-14	5.127412e-06	0.1	9.841427e-14	1.139296e-06	0.1
1.603069e-13	0.9303139397	0.1	1.603069e-13	0.0006089405	0.1	1.603069e-13	1.34704e-05	0.1	1.603069e-13	5.775126e-05	0.1	1.603069e-13	6.439691e-05	0.1	1.603069e-13	0.0004476079	0.1	1.603069e-13	0.0009346789	0.1	1.603069e-13	0.0002166451	0.1	1.603069e-13	0.0336612	0.1	1.603069e-13	8.244299e-06	0.1	1.603069e-13	1.843724e-06	0.1
2.717137e-13	0.8860230252	0.1	2.717137e-13	0.0009573681	0.1	2.717137e-13	2.147864e-05	0.1	2.717137e-13	9.546091e-05	0.1	2.717137e-13	0.0001046817	0.1	2.717137e-13	0.0007192659	0.1	2.717137e-13	0.001556955	0.1	2.717137e-13	0.0003770266	0.1	2.717137e-13	0.05505564	0.1	2.717137e-13	1.366252e-05	0.1	2.717137e-13	3.091745e-06	0.1
4.099718e-13	0.8352166093000001	0.1	4.099718e-13	0.001318182	0.1	4.099718e-13	3.007864e-05	0.1	4.099718e-13	0.0001397213	0.1	4.099718e-13	0.0001501164	0.1	4.099718e-13	0.0010165	0.1	4.099718e-13	0.002298278	0.1	4.099718e-13	0.0005863548	0.1	4.099718e-13	0.07959744	0.1	4.099718e-13	2.007473e-05	0.1	4.099718e-13	4.61123e-06	0.1
5.699392e-13	0.781530485	0.1	5.699392e-13	0.001652224	0.1	5.699392e-13	3.841839e-05	0.1	5.699392e-13	0.0001876991	0.1	5.699392e-13	0.0001970196	0.1	5.699392e-13	0.001311323	0.1	5.699392e-13	0.0031137	0.1	5.699392e-13	0.0008416405	0.1	5.699392e-13	0.1055303	0.1	5.699392e-13	2.711294e-05	0.1	5.699392e-13	6.338612e-06	0.1
7.667543e-13	0.7220078872	0.1	7.667543e-13	0.001963015	0.1	7.667543e-13	4.666734e-05	0.1	7.667543e-13	0.0002423999	0.1	7.667543e-13	0.0002473583	0.1	7.667543e-13	0.001611174	0.1	7.667543e-13	0.004055781	0.1	7.667543e-13	0.001173168	0.1	7.667543e-13	0.1342826	0.1	7.667543e-13	3.528729e-05	0.1	7.667543e-13	8.433141e-06	0.1
9.635694e-13	0.6686941707	0.1	9.635694e-13	0.002185586	0.1	9.635694e-13	5.306397e-05	0.1	9.635694e-13	0.0002927856	0.1	9.635694e-13	0.000290583	0.1	9.635694e-13	0.001851536	0.1	9.635694e-13	0.00493205	0.1	9.635694e-13	0.001521901	0.1	9.635694e-13	0.1600356	0.1	9.635694e-13	4.300396e-05	0.1	9.635694e-13	1.050807e-05	0.1
1.160384e-12	0.6207168972	0.1	1.160384e-12	0.002338752	0.1	1.160384e-12	5.793028e-05	0.1	1.160384e-12	0.0003392812	0.1	1.160384e-12	0.000327607	0.1	1.160384e-12	0.002041369	0.1	1.160384e-12	0.005744567	0.1	1.160384e-12	0.001885892	0.1	1.160384e-12	0.1832109	0.1	1.160384e-12	5.033125e-05	0.1	1.160384e-12	1.257555e-05	0.1
1.3572e-12	0.5773587166	0.1	1.3572e-12	0.00243729	0.1	1.3572e-12	6.153011e-05	0.1	1.3572e-12	0.000382255	0.1	1.3572e-12	0.0003592016	0.1	1.3572e-12	0.002188262	0.1	1.3572e-12	0.006495596	0.1	1.3572e-12	0.002263379	0.1	1.3572e-12	0.2041549	0.1	1.3572e-12	5.732552e-05	0.1	1.3572e-12	1.464514e-05	0.1
1.554015e-12	0.5380250099	0.1	1.554015e-12	0.002492874	0.1	1.554015e-12	6.408108e-05	0.1	1.554015e-12	0.0004220288	0.1	1.554015e-12	0.0003860234	0.1	1.554015e-12	0.002298673	0.1	1.554015e-12	0.007187535	0.1	1.554015e-12	0.002652766	0.1	1.554015e-12	0.2231548	0.1	1.554015e-12	6.403376e-05	0.1	1.554015e-12	1.672441e-05	0.1
1.77511e-12	0.4980237038	0.1	1.77511e-12	0.002515512	0.1	1.77511e-12	6.591869e-05	0.1	1.77511e-12	0.0004632434	0.1	1.77511e-12	0.000411159	0.1	1.77511e-12	0.002386012	0.1	1.77511e-12	0.007897445	0.1	1.77511e-12	0.003102576	0.1	1.77511e-12	0.2424769	0.1	1.77511e-12	7.127716e-05	0.1	1.77511e-12	1.907915e-05	0.1
2.012393e-12	0.4593783815	0.1	2.012393e-12	0.002504179	0.1	2.012393e-12	6.691029e-05	0.1	2.012393e-12	0.0005037811	0.1	2.012393e-12	0.0004330027	0.1	2.012393e-12	0.002443791	0.1	2.012393e-12	0.00858394	0.1	2.012393e-12	0.003597835	0.1	2.012393e-12	0.2611437	0.1	2.012393e-12	7.875769e-05	0.1	2.012393e-12	2.163584e-05	0.1
